rank	username	minecraft:picked_up/minecraft:wither_skeleton_skull
1	Frozil12	14096
2	Spacewardharpy7	8598
3	EcksD	3546
4	thewindmillman	2741
5	noam464	2501
6	eitanzaki	1910
7	SvenskaHugo	576
8	HellsSponge	310
9	Blaiku	299
10	Di_infiri	279
11	joethahobo	173
12	thescout7	140
13	NomadicRobin_	93
14	vandmanden	81
15	beeperbeeper5	75
16	ImpavidArcher	64
17	Freak_Genius	61
18	r123moore	57
18	EveryonesUncle	57
20	chipklip	56
21	Smoke____	53
22	Corbsman	52
23	Mahoose	44
24	YungMaki	43
25	PigDab	41
26	EcksDofficial	37
27	Inbefour	36
28	rarrq	33
29	Arceus1975	30
30	RebelAndroid	27
31	fred870d	25
32	Hyp3rion_	24
33	SaucyDark	23
33	claivin	23
35	_Nuf	22
36	Rasmanden	21
36	MilleGrug	21
38	Maenara	20
38	Skippeh	20
38	Ezekson	20
41	gcaisawesome	19
41	wezzzi	19
41	SingedBread	19
44	Werbe	18
44	Onennon	18
46	Bandito_Roamer	16
46	Cocoamallows	16
48	xxPipperDipperxx	15
48	TheShyPig	15
50	301851	14
50	fr0stss	14
50	Blackberry1310	14
50	PortlyPete69	14
54	fw3xywashere	13
55	Rumpletaezer	12
56	Merv__	11
56	M_Patata	11
56	MasterNueve	11
56	pixelviolin	11
56	oxfordschool	11
56	Nicserso	11
56	Powowowow	11
63	m_be9	10
63	gabriels543	10
63	ApophisNova	10
63	RobotMinion101	10
63	stavgod	10
63	_TCARREIRA_	10
63	fffMike	10
63	alderban107	10
63	MyNamaSheff	10
72	Kakolbus	9
72	AlphaWolfPlaysMC	9
72	Legendosh	9
72	PlasticOtari	9
76	TooManyDuck	8
76	zorin123	8
76	mwrty	8
76	Mobstr	8
76	Leonidas2k17	8
76	NotMeowMix	8
76	AssFullaCum	8
83	tuckerdoodle	7
83	Comma__	7
83	RefluxRatio	7
83	_Karmaa	7
83	MightyWertu	7
83	Kyrum2169	7
83	__tomato	7
83	Zoeyfortnite	7
83	diggydog67	7
92	Incinere	6
92	Euclidoris	6
92	TheSecondLord	6
92	kekhon	6
92	Scathra	6
92	Mewar	6
92	King_Pancake1	6
92	_8man	6
92	TheSeismicDuck	6
92	GoofyBread	6
92	MAns_44	6
92	Blu3beast	6
92	Xclax101	6
92	MakeHistory157	6
92	stahouo	6
92	trexgb	6
108	pintsizedrogue	5
108	Groovy_MoonBird	5
108	ShedJr_	5
108	H72l9w	5
108	Guillemet	5
108	Jackattack53	5
108	Bumpy419	5
108	Wowful	5
108	Steelynan	5
108	TechnoNinja64	5
118	titanlax	4
118	Kamflame10	4
118	SellyZ	4
118	XboxPanda	4
118	ImDisconnected_	4
118	SuperPooch06	4
118	Zythose	4
118	_Boipl_	4
118	MangoTheFish	4
118	YungWali	4
118	Groundler	4
118	TheTommyGun63	4
118	33sudo	4
118	guccipucci_	4
118	Eczbek	4
118	OfficerAnvil	4
118	2blox	4
135	JEWISHBadenBeele	3
135	AuroraValkyrie	3
135	Nesquiczek	3
135	Iagoku	3
135	T045RTY	3
135	MSK__	3
135	nocturne78	3
135	500am	3
135	boog4loo	3
135	KGTV	3
135	ROY4LE	3
135	Zaridey	3
135	Hiryu27	3
135	audiocracked	3
135	Deodorante	3
135	Quincannon	3
135	Vindogster	3
135	fluddd	3
135	Hisiste	3
135	h2p_emrld	3
155	q_wq	2
155	diamondgolem35	2
155	ColeSnyder	2
155	jimintyy	2
155	gaziter10	2
155	BobDeBouwer1337	2
155	Nicky_H225	2
155	MattieHD	2
155	ProfessorBee	2
155	Awyrlas	2
155	eiC_	2
155	whoaluv	2
155	fxiryglitch	2
155	Leyna3	2
155	RodSerlingCringe	2
155	Deathkob	2
155	Soap_Bender	2
155	Racengan	2
155	lordpipe	2
155	CSG_Haru	2
155	ayamefag	2
155	SSytex_X	2
155	GlitchyPlate810	2
155	Miko_Fullbuster	2
155	SWSN	2
155	FelixPSY375	2
155	Enderslayerxz3	2
182	Jovaphobic	1
182	PhantomsGhost_	1
182	Harotio	1
182	Ninzyyy	1
182	dudcreeper	1
182	Cowison	1
182	soundad	1
182	Drlzyy	1
182	Ailmast	1
182	teslawolf38	1
182	6king6colt6	1
182	Sabby65	1
182	openatheclose	1
182	youhjjhhhjj	1
182	WarHammer3	1
182	shneed	1
182	Whiterooster001	1
182	Shadoko_	1
182	xPixelRainx	1
182	jushykins	1
182	ThePoliteG	1
182	AngalexikCZ	1
182	UncreativeArtist	1
182	surfinggiraffejp	1
182	2Stout	1
182	ayqq	1
182	Gorilladam	1
182	Minecraftmad687	1
182	benediktine1	1
182	loveseeker	1
182	Lil_Breadboy	1
182	xambsam	1
182	Snowflowe	1
182	SamZombie	1
182	Zombie_Striker	1
182	k1ngGilgamesh	1
182	Afinnity	1
182	Kouridragon	1
182	_naturell	1
182	Kim_Jong_eel	1
182	CJPerson	1
182	Akoot_	1
182	SpookyDraggin	1
182	Syropatathe	1
182	Fuhrer_Teemo	1
182	lillips	1
182	drumine	1
182	DarlaMeow	1
182	The_slideV3	1
182	Deerfoot	1
182	EfficientC52	1
182	SwooshBoi	1
182	Dusk_95	1
182	Soplight	1
182	Spenduh	1
182	obzii	1
182	Winston_Ingram	1
182	striker90333	1
182	Vellu21	1
182	Kubeusz2010	1
182	VentiHilton	1
182	tartanboy	1
182	little_dUki	1
182	jnp_gaming	1
