rank	username	minecraft:picked_up/minecraft:paper
1	noam464	28600
2	Spacewardharpy7	18744
3	Freak_Genius	8529
4	KG1999	5457
5	nataliecool	3457
6	Werbe	3254
7	kekhon	2574
8	Hyp3rion_	2510
9	joethahobo	2425
10	PhantomsGhost_	2245
11	Blaiku	2218
12	Houstonion	2210
13	Ezekson	2012
14	PigDab	2005
15	eitanzaki	1965
16	Di_infiri	1927
17	ImpavidArcher	1849
18	Mahoose	1756
19	Akoot_	1685
20	EMC_	1670
21	Smoke____	1614
22	Historical_Sand	1512
23	KGTV	1472
24	MeetTheWollo	1371
25	eviltunix	1324
26	Chromary	1299
26	HellsSponge	1299
28	Enderslayerxz3	1147
29	FishyBoy3811	1082
30	Kubeusz2010	1008
31	Marbz_	976
32	gabriels543	974
33	Eczbek	960
34	set67	950
35	TheShyPig	937
36	thewindmillman	911
37	_Virify_	877
38	beeperbeeper5	831
39	TechnoNinja64	819
40	MilleGrug	811
41	Blackberry1310	761
42	_Karmaa	758
43	Racengan	726
44	oxfordschool	716
45	gcaisawesome	702
45	Eraxa	702
47	pintsizedrogue	658
48	EveryonesUncle	624
49	YungMaki	610
50	12Magner05	601
51	Airem_Core	585
52	Nagasaki_Riku	577
53	fallingemma	573
54	sufjanlover	569
55	fffMike	565
56	EcksDofficial	557
57	Legendosh	517
58	bananamix994	512
59	Maenara	502
60	VentiHilton	485
61	CollinMH06	474
62	stahouo	456
63	rarrq	454
64	KnightmareD	448
65	kinas45y5	441
66	Frozil12	434
67	chipklip	430
68	lordpipe	427
69	Zoeyfortnite	423
70	Lord_Jord	422
71	sp00ky_ghost977	402
72	jnp_gaming	400
73	Spenduh	369
74	Fullut	344
75	LexMakesHistory	339
76	Incinere	338
77	Soplight	327
78	Bumpy419	320
79	MightyWertu	311
80	XxCookiequeenxX	304
81	monky_irl	303
82	Groovy_MoonBird	287
83	EcksD	260
84	diamondgolem35	259
85	ROY4LE	258
86	Russiancat1	256
87	thescout7	252
88	fluddd	251
89	El_Jalapeno	250
90	xxPipperDipperxx	245
91	JayToe	237
92	APS_Dan	235
93	Snowflowe	232
93	Hermanni__	232
95	Jackattack53	231
95	Zythose	231
97	OfficerAnvil	222
98	Euclidoris	219
99	Dogcorn69420	211
100	SteveCraftBlocks	208
101	__Auspicious	206
102	Inchef	204
103	Ssor69	199
104	PlzNoBM	198
105	500am	195
106	XboxPanda	194
107	Nicserso	193
107	little_dUki	193
109	byFlixxx	192
110	T045RTY	191
111	_naturell	177
112	diggydog67	174
113	burbankbuilder28	171
114	lcvezra	168
115	King_Pancake1	167
116	Blu3beast	160
117	_Bguette_	159
118	jewbacaman	158
119	TheTrueClipse	149
120	Steelynan	148
121	r123moore	139
122	CarryLine	133
122	Jiminie	133
122	Kferno	133
125	bigstankyy	130
125	fred870d	130
127	2Stout	129
128	Flores991	128
128	ZaneABrain	128
128	Shogunite	128
131	KarlKaek	127
132	vandmanden	124
133	Masssonnn	117
134	Arceus1975	116
135	Quotary	111
136	Nicky_H225	108
137	ProfessorBee	104
138	NoChumpChange	102
139	mwrty	99
140	stavgod	98
141	ssleepless	96
142	Inbefour	94
143	The_slideV3	93
144	ayamefag	91
145	Mr_Byzantine	90
145	picardred	90
147	laron58	89
147	FishisTTV	89
149	redikul	87
150	Hpdinosaur	85
150	Xclax101	85
152	TheEnderman548	84
152	CalebDHawk	84
154	TheOuterCore	83
154	mobunni	83
156	anbbang	82
157	Nyxiom_	81
157	ComplexSquirrel	81
157	ProbsNotNova	81
160	fanofbands101	79
160	wobn	79
162	GreedyFern8581	78
162	pixelviolin	78
164	DanTheBuilderino	76
165	ooga47	75
165	claivin	75
167	Awyrlas	74
167	SuperPooch06	74
167	NameGenerat0r	74
167	censorsheep	74
167	starbits140	74
167	The_SlideV5	74
173	fr0stss	72
173	Lutres_Torane	72
175	lillips	71
176	seanitoo	70
176	eclipseboi	70
178	ApophisNova	69
178	DarlaMeow	69
178	MyNamaSheff	69
181	Dusk_95	68
182	Auseawesome	66
182	eiC_	66
182	SammiWolfGirl	66
182	Wanjibon	66
186	hm947	65
186	Franco093	65
186	Kynigito	65
186	cog	65
190	Batman922	64
190	elmer1234	64
190	Upstro10	64
190	Z3braYTIL	64
190	emrekn	64
190	Karetoko	64
190	AltnumberF4	64
197	Bandito_Roamer	63
197	AuroraValkyrie	63
197	Frxnkz	63
197	hcb238	63
197	Zaridey	63
197	ZeroKraken	63
197	BreadBacon	63
204	ayqq	62
205	NotMeanttoChange	61
205	Soap_Bender	61
207	6king6colt6	60
207	NebulousBadger	60
209	SquadMonster	59
209	mimbo1211	59
209	jcool7	59
212	q_wq	55
212	epiksk8erduck	55
214	BumbleBeever	53
215	loveseeker	51
215	Sral7	51
217	_Dean_123	50
217	LiquidFenrir	50
219	MrExplorer	49
219	SingedBread	49
221	TinMaster	48
221	SvenskaHugo	48
221	stellarjay	48
224	Skylord_Luke	47
224	DiamondShaff	47
226	nocturne78	46
227	Bobby808	45
228	Cryptacity	44
228	John6970	44
230	Iagoku	43
230	CliffEmAll	43
230	MinttyFressh	43
230	rpmm	43
230	egglapras	43
230	Vorlice	43
230	Vellu21	43
237	livingdaydreams	42
237	shdesolt	42
237	Warlord324	42
237	Powowowow	42
241	SaucyDark	41
241	Kim_Jong_eel	41
243	BlossomOwO	40
243	MyNameIsDakar	40
243	Njensen7	40
246	FirsTimeGamingTV	39
246	RodSerlingCringe	39
248	gaziter10	37
249	Motsaro	36
249	funnyblitz123	36
249	impossibleteapot	36
252	thgrocks	35
253	Sna_Ke	34
254	Wowful	33
254	SwooshBoi	33
254	Decaying_Lotus	33
254	WYFYoyo	33
258	Ozixar	32
259	MOSS000	30
259	thebluehippo	30
259	Lord_Zacler	30
259	QueenShuvi	30
263	dudcreeper	29
263	MSK__	29
263	Kakolbus	29
263	NomadicRobin_	29
267	Fildyr	28
268	Merv__	26
268	cichy096	26
270	ThePoliteG	25
270	fw3xywashere	25
272	Skomo	24
272	Typadopoulos	24
272	CoryJJ	24
272	_3Stump_	24
272	Earlesstrain4	24
277	SlayerCrypto	23
277	wezzzi	23
277	_TCARREIRA_	23
280	Lumien_	22
280	HyperCave	22
282	SaltineDream	21
282	JohnnyFyes	21
282	Seyaboy	21
285	m_be9	20
285	Paintz	20
285	OverallConcept	20
285	__tomato	20
285	Rainaldus	20
290	PuFY	19
290	Jimi7hits	19
290	Kyrum2169	19
290	KingMatthew506	19
294	Vizzoid	18
294	Rich_Kat	18
294	Oxygen16	18
297	BilboBaggins23	17
297	jambvds	17
297	TitanCrafting	17
300	Cowison	16
