rank	username	minecraft:picked_up/minecraft:sign
1	Russiancat1	66
2	DAD_1996	65
3	sufjanlover	29
4	OfficerAnvil	26
5	grislgrobl	18
6	SlowMoNinja1994	15
7	LilLizardWizard	11
8	DigiBlox	7
8	bbrothers_5	7
8	GingerNeutron	7
8	stuy9	7
12	Setoply	6
13	BlossomOwO	5
14	popcanter	4
14	ProbsNotNova	4
16	2xil2	3
16	Meteora4	3
16	5712	3
19	Cidah	2
19	byFlixxx	2
19	OnlyOfficial	2
19	Captain_Hardtak	2
23	Claw262	1
23	sonichugoddess	1
23	Genuss	1
23	bbrothers4	1
23	Andy__Dufresne	1
23	Nicole_Plus	1
23	Blackerstons	1
23	atz513v2	1
23	ihomango	1
23	qu1ntometry	1
23	NeoJordache	1
23	krutas2000	1
23	Guestify	1
23	FedirSpectator	1
