rank	username	minecraft:picked_up/minecraft:purpur_block
1	beeperbeeper5	9765
2	YungMaki	4680
3	eiC_	4322
4	thewindmillman	3353
5	Mr_Byzantine	2864
6	masskedman	2432
7	Bandito_Roamer	2265
8	mwrty	2241
9	Mewar	1986
10	PhantomsGhost_	1691
11	AdmiralSmoke	1628
12	bigstankyy	1364
13	PigDab	1228
14	Blu3beast	1128
15	FreakGenius	1073
16	500am	969
17	lordpipe	940
18	MilleGrug	822
19	Inbefour	819
20	NameGenerat0r	795
21	TheBananaKat	729
22	m_be9	721
23	yulgur1	705
24	Ecplosive	695
25	MightyWertu	688
26	HellsSponge	639
27	Manaateee	570
28	mihimihimihi	566
29	Werbe	557
30	6king6colt6	548
31	Nicserso	521
32	Fullut	519
33	Lez_	449
34	Comma__	439
35	Arceus1975	434
36	F_Uhre	428
37	Lepthymo	427
38	OG_Songsee	411
39	yheece	394
39	Spacewardharpy7	394
41	Tyrannosplart	389
42	El_Jalapeno	386
43	diamondgolem35	383
44	Hermanni__	378
45	Frozil20	372
46	Kowcio_	349
47	Maenara	348
48	wwwwinnebagoooo	336
49	_TCARREIRA_	308
50	Bumpy419	307
50	Dogcorn69420	307
52	Covalents	290
53	jnp_gaming	282
54	Ryan_GEMS	279
55	Di_infiri	278
55	Jackattack53	278
57	thescout7	276
58	TheSecondLord	275
59	joethahobo	267
60	ROY4LE	256
61	eviltunix	255
62	Donutt	254
62	TheEnderMan548	254
64	noam464	245
65	SmashingPump	244
66	Marbz_	243
67	Legendosh	220
68	lizardfightclub	205
69	_Meow_Mix	200
70	gcaisawesome	199
70	MustaLoordi	199
72	Sral7	198
73	Blackberry1310	191
74	eitanzaki	187
75	Racengan	183
76	AuroraValkyrie	178
77	pintsizedrogue	177
78	AuroraSkies	176
79	Onennon	175
79	striker90333	175
81	surfinggiraffejp	174
82	Ailmast	173
82	Awyrlas	173
84	OreTheBear	172
85	MyNameIsJobo	171
85	Hisiste	171
85	Winston_Ingram	171
88	lcvezra	169
89	Rich_Kat	167
90	xzvu	165
91	33sudo	158
92	RoboTramp7865	151
93	Enderxz3	147
93	TechnoNinja64	147
95	Nycteus_	145
96	lillips	144
97	vandmanden	143
98	MoistMicrowave	141
98	audiocracked	141
100	TooManyDuck	140
101	oscminus	135
102	claivin	134
103	VentiHilton	131
104	Shogunite	130
105	jcool7	128
106	H0UNDFRMH3LL	122
106	sp00ky_ghost977	122
108	Historical_Sand	120
109	SingedBread	117
110	kekhon	116
111	Myszoaz	109
111	Afinnity	109
113	fluddd	108
114	Apollo_993	104
115	Blaiku	103
116	BodaciousCake	100
116	Zaridey	100
118	ProfessorBee	99
119	Rumpletaezer	97
120	_Karmaa	92
120	brofrickcheaters	92
120	laron58	92
123	set67	88
124	Moyd_	80
124	EveryonesUncle	80
126	geekbird	75
127	SoosAmongus	70
127	Hpdinosaur	70
127	titanlax	70
130	Xclax101	69
131	Iagoku	68
131	Groundler	68
133	Secret_Canary	67
133	Inchef	67
135	skrongus	66
136	T045RTY	65
136	crying_wolf_13	65
138	Huwulling	64
138	Touched_Bread	64
138	Mattesco	64
138	PortlyPete69	64
142	LeGold	63
143	Skippeh	62
144	ssleepless	61
145	fkGrim	60
146	MissCeleste7	59
147	excelsionprime	55
147	_Bguette_	55
149	AlexxO_o	54
149	Dakar_	54
149	LeEricc	54
152	Jij0	53
152	tartanboy	53
152	EcksD	53
155	SellyZ	52
155	Katthaj	52
157	MinttyFressh	50
157	Zythose	50
157	JayToe	50
160	ActualPatbaf	48
161	iSammael	47
162	wezzzi	46
162	LazySupport00	46
164	MAns_44	45
165	12Magner05	44
165	Rasmanden	44
167	mariominejedi	43
167	CollinMH06	43
169	Deodorante	42
169	UrbanPlanningEx	42
171	jushykins	41
171	TheSeismicDuck	41
173	LeonelSalamanca	38
173	DTwenty	38
173	1442	38
173	ItsJWolff	38
177	Segotep999	37
177	Ezekson	37
179	Eczbek	36
180	Houstonion	35
181	ayamefag	34
182	legal_tax_evader	33
182	Snowflowe	33
184	_Virify_	32
184	SaucyDark	32
184	TheShyPig	32
187	ECstardust	30
187	Barlycorn	30
187	MovingFish7	30
190	Mahoose	29
190	poopybh	29
192	powercas_gamer	28
192	pappaberg	28
192	TheDumbHuman	28
195	EMC_	27
195	__TheNorseMan__	27
197	ShedJr_	26
197	Noah_Bez	26
197	Hyp3rion_	26
200	whoaluv	25
201	_k2x	24
201	MineMaster0012	24
201	Quotary	24
204	MrQuanQuan	23
204	Razzgriz	23
204	FishisTTV	23
207	Kura2218	22
207	_Mythic____	22
209	r123moore	21
209	Akoot_	21
209	Warlord324	21
212	Eczbox	20
212	ElectricDragon81	20
212	SvenskaHugo	20
212	Iamthejo	20
216	q_wq	19
216	tuckerdoodle	19
216	RebelAndroid	19
216	__tomato	19
216	SammiWolfGirl	19
221	himak1	17
221	XboxPanda	17
221	LilyNova	17
221	Powowowow	17
225	ClemenPine	16
225	PlasticOtari	16
227	Alteriity	15
227	Kakolbus	15
227	SkateboardR6	15
227	MustardSquid	15
231	CoffeeNoir	14
231	rarrq	14
231	zorin123	14
231	Skylord_Luke	14
231	FishyBoy3811	14
231	luseis	14
231	FlashMigma	14
231	Strangemonkey71	14
231	Jimb0nat0r	14
240	teslawolf38	13
240	_Razaria	13
240	Quincannon	13
240	MakeHistory157	13
240	pixelviolin	13
240	CalebDHawk	13
240	HesDemonPants	13
247	chipklip	12
247	SoftSix	12
247	redikul	12
247	domagawha	12
247	Fizznut909	12
252	Groovy_MoonBird	11
252	Soplight	11
254	Euclidoris	10
254	Scathra	10
256	groofles	9
256	WyngGoy	9
256	voiding_	9
259	CLG_Kata	8
259	MixerDixer	8
259	TheTrueClipse	8
259	ConnorDanky_	8
263	MattieHD	7
264	gary_	6
264	JuuustYeet	6
264	theonlymagikarp	6
264	ApophisNova	6
264	501g	6
264	sheherhers	6
264	Kijiki	6
264	MyNamaSheff	6
264	2blox_	6
273	SailiXX	5
273	Quaintster	5
273	Druid95	5
273	CornOnTheCobalt	5
277	k_ce	4
277	livingdaydreams	4
277	catandmoose	4
277	Vetral1	4
277	Leyna3	4
277	BumbleBeever	4
277	Kyrum2169	4
277	Juh1s	4
277	Sheldor097	4
277	Kferno	4
287	Sabby65	3
287	Swexti	3
287	Nicky_H225	3
287	Leksanda	3
287	pr33tu	3
287	lorpus	3
287	Aneurysmas	3
287	SuperPooch06	3
287	HAIRYCLOUD626	3
287	The_Cruncy	3
287	Ender_Souls	3
287	Spenduh	3
287	stellarjay	3
287	ProbsNotNova	3
