rank	username	minecraft:picked_up/minecraft:hopper
1	Hyp3rion_	71969
2	noam464	19672
3	catandmoose	16480
4	thewindmillman	9498
5	HellsSponge	9171
6	mihimihimihi	8444
7	Jackattack53	7068
8	eitanzaki	5090
9	Spacewardharpy7	3941
10	Di_infiri	3839
11	fffMike	3671
12	thescout7	3322
13	Werbe	2455
13	PigDab	2455
15	EcksD	2445
16	pixelviolin	2285
17	EMC_	2139
18	Kakolbus	2104
19	_Mythic____	1934
20	Eczbek	1624
21	Snowflowe	1492
22	AdmiralSmoke	1477
23	Awyrlas	1469
24	El_Jalapeno	1454
25	ProfessorBee	1364
26	Blaiku	1270
27	FreakGenius	1199
28	Ezekson	1055
29	Eczbox	998
30	non089	922
31	MightyWertu	851
32	obzii	782
33	Jimi7hits	761
34	MyNameIsJobo	741
35	Fuad_R	739
36	Jimb0nat0r	724
37	m_be9	683
38	Fullut	654
39	Arceus1975	651
40	SoosAmongus	611
41	MilleGrug	603
42	Deathkob	594
43	Historical_Sand	582
44	joethahobo	560
45	sp00ky_ghost977	528
46	beeperbeeper5	526
47	jnp_gaming	522
48	Skylord_Luke	518
49	Manaateee	503
50	Frozil20	499
51	Inbefour	494
52	Alteriity	467
53	12Magner05	462
54	pintsizedrogue	461
55	xolstoi	459
56	MineMaster0012	456
57	Spenduh	439
58	Zythose	423
59	Akoot_	417
60	lordpipe	411
61	TechnoNinja64	402
62	Jovaphobic	400
63	Segotep999	392
64	Lord_Jord	382
65	Lez_	354
66	Kowcio_	349
66	YungMaki	349
68	ApophisNova	340
68	MyNamaSheff	340
70	Warlord324	337
71	Huwulling	335
72	MustaLoordi	324
73	Bumpy419	311
74	Steelynan	287
75	r123moore	286
76	eviltunix	282
77	Sheldor097	281
78	EngagedGrub41	272
79	PortlyPete69	269
80	ImpavidArcher	265
81	skrongus	262
82	WyngGoy	259
83	T045RTY	255
83	Hiryu27	255
85	Ryan_GEMS	251
86	Nicserso	243
87	SteveCraftBlocks	239
88	Racengan	238
89	RebelAndroid	232
90	TheThomas69	225
91	yatsuta	223
92	kekhon	217
93	Groundler	212
94	ssleepless	210
95	Iamthejo	205
96	Mattesco	197
96	UCP_TheKingK	197
96	PlasticOtari	197
99	AstreaTSS	196
100	Rumpletaezer	188
101	Comma__	186
102	Zoeyfortnite	184
103	Legendosh	182
104	Hermanni__	181
105	_Nuf	180
106	yheece	179
107	King_Pancake1	175
108	soundad	173
108	Wooptey	173
110	Soplight	172
111	Mahoose	171
112	Quotary	157
113	_Virify_	154
113	Paintz	154
113	groofles	154
116	Rebytre	153
117	Sral7	148
118	ECstardust	143
119	DemTechAlpha	139
120	powercas_gamer	137
120	prizm_	137
120	zToasty69z	137
123	oscminus	136
124	The_slideV3	132
124	Hisiste	132
126	TheSecondLord	130
126	gcaisawesome	130
128	UrbanPlanningEx	129
129	TheDankPlatypus	128
130	PhantomsGhost_	127
130	__tomato	127
132	Blackberry1310	123
133	Swexti	121
133	Fildyr	121
133	HesDemonPants	121
136	EveryonesUncle	119
137	diamondgolem35	117
137	emrekn	117
139	Myntsys	114
140	Mr_Byzantine	112
140	shadowthemonkey	112
140	Samificator	112
143	ITDV	111
144	ShedJr_	110
145	_i_ERROR_i_	108
146	mwrty	107
147	AlexxO_o	106
148	DanTheBuilderino	105
149	Ssor69	104
149	Lutres_	104
151	TheShyPig	103
151	TheSeismicDuck	103
153	himak1	102
154	Bandito_Roamer	99
155	_Dean_123	98
156	MoistMicrowave	96
157	Apollo_993	95
157	Merv__	95
157	xxPipperDipperxx	95
157	Blu3beast	95
161	set67	92
161	hanaryheatwave	92
161	SammiWolfGirl	92
164	Octatrack	89
165	Archsam	87
166	eiC_	86
167	Covalents	85
167	2blox_	85
169	Masssonnn	83
169	SpacesickPrism	83
171	lorpus	73
172	anbbang	72
173	Nicky19	71
174	claivin	70
175	Prismyst	69
176	Quincannon	68
176	Jordan_R	68
178	q_wq	67
178	Crowman1	67
178	stavgod	67
181	Prodiginus	66
181	Secret_Canary	66
181	StinkyDiplomat	66
184	Shogunite	65
185	ConnorDanky_	64
186	Marbz_	63
187	Jackster03	62
187	vandmanden	62
189	SpaceGrenadier	61
190	Inchef	60
191	Hoid_the_Roamer	59
191	Truckoss	59
191	F_Uhre	59
191	Fuhrer_Teemo	59
195	teslawolf38	58
195	CarltheCuck	58
195	_8man	58
198	ItsAki_	57
198	h2p_emrld	57
200	SDMNAEK	56
200	ElKaySVK	56
202	Seyaboy	55
202	SlayerCrypto	55
202	Optiprimus	55
205	_darky1_	54
205	M_Patata	54
205	Kyrum2169	54
208	Winston_Ingram	53
209	Nicky_H225	52
209	4774	52
209	IforgotCS_Source	52
209	Rasmanden	52
209	DTwenty	52
209	luseis	52
215	500am	51
215	Eraza	51
215	Barlycorn	51
215	Factoroni	51
219	MasterNueve	50
220	Onennon	49
221	Badenbeele	48
221	SmashingPump	48
221	Touched_Bread	48
221	BartekB19	48
221	07shiny	48
221	tsitrawhy	48
227	FishyBoy3811	47
228	fw3xy74	46
228	kalzor	46
230	livingdaydreams	45
230	Malorn_Aetherius	45
230	PuFY	45
233	j5ylim	44
233	KGTV	44
233	HolyVenom	44
233	Airem_Core	44
233	OfficerAnvil	44
238	excelsionprime	43
239	rarrq	42
239	Scathra	42
239	Elastiq	42
239	Powowowow	42
243	CLG_Kata	41
243	oreee	41
243	CollinMH06	41
243	NameGenerat0r	41
247	slkiey	40
248	jcool7	39
249	gilesmcriles	38
249	jushykins	38
249	Leyna3	38
249	LexMakesHistory	38
249	Strangemonkey71	38
254	KingFaenor	37
254	Hpdinosaur	37
254	picardred	37
254	_Bguette_	37
254	BumbleBeever	37
254	MirielThePastor	37
260	I_Am_Mushkin	36
260	ExtraDumb	36
260	SellyZ	36
260	Voxin2K	36
264	bigstankyy	35
264	tuckerdoodle	35
