rank	username	minecraft:picked_up/minecraft:composter
1	noam464	6985
2	pintsizedrogue	662
3	eitanzaki	612
4	Di_infiri	545
5	Freak_Genius	443
6	thewindmillman	334
7	HellsSponge	272
8	Werbe	258
9	kekhon	219
10	Spacewardharpy7	209
11	PigDab	177
12	Soplight	155
13	thescout7	154
14	MightyWertu	152
15	EMC_	151
16	Steelynan	132
17	Blu3beast	131
18	Blaiku	103
18	Smoke____	103
20	EveryonesUncle	101
21	Jackattack53	98
22	joethahobo	97
23	TechnoNinja64	83
24	Hpdinosaur	80
25	Eczbek	77
26	Drlzyy	75
26	Mahoose	75
28	Ozixar	70
29	Comma__	69
30	beeperbeeper5	68
30	EcksD	68
32	El_Jalapeno	63
33	ayamefag	61
34	Groundler	60
34	pixelviolin	60
36	Xalithia	59
37	Hyp3rion_	57
38	MyNameIsJobo	56
39	q_wq	54
40	EfficientC52	53
40	Racengan	53
40	sp00ky_ghost977	53
43	CliffEmAll	51
44	loveseeker	50
45	diamondgolem35	48
46	Lord_Jord	46
47	claivin	45
48	Historical_Sand	42
49	ImpavidArcher	41
49	jnp_gaming	41
51	Cowison	40
52	gcaisawesome	39
53	Blackberry1310	38
53	BumbleBeever	38
55	youhjjhhhjj	37
55	ApophisNova	37
55	MyNamaSheff	37
58	r123moore	35
58	Rumpletaezer	35
60	Snowflowe	34
60	Sky_light_KING	34
62	dopplexd	32
63	Arceus1975	31
64	emrekn	30
65	Dan_Scha	29
66	500am	28
66	Onennon	28
66	The_slideV3	28
66	Luigipunch989	28
70	YungMaki	26
71	M_Patata	24
71	Winklepicker279	24
73	SammiWolfGirl	23
73	Ezekson	23
75	ProfessorBee	21
76	Zythose	20
76	Quaintster	20
76	MasterNueve	20
79	2blox	19
80	Fullut	18
80	Inbefour	18
80	Deathkob	18
80	DanTheBuilderino	18
80	FishisTTV	18
85	PhantomsGhost_	17
85	abramgray	17
85	Vizzoid	17
85	Cryptacity	17
85	TheSeismicDuck	17
85	Fizznut909	17
85	diggydog67	17
92	CoffeeNoir	16
92	mwrty	16
92	TheALV	16
95	KarlKaek	15
95	T045RTY	15
95	set67	15
95	chipklip	15
95	Frozil12	15
95	jcool7	15
95	kinas45y5	15
102	_Virify_	14
102	RebelAndroid	14
102	slkiey	14
102	BlueZabu	14
102	Kim_Jong_eel	14
102	Hermanni__	14
102	EcksDofficial	14
109	Harotio	13
109	Kamflame10	13
109	Kakolbus	13
112	Euclidoris	12
112	UncreativeArtist	12
112	TheShyPig	12
112	audiocracked	12
112	PortlyPete69	12
112	TheOuterCore	12
112	Legendosh	12
119	Louiis123	11
119	_stets	11
119	livingdaydreams	11
119	ShedJr_	11
119	_Nuf	11
124	Bandito_Roamer	10
124	fanofbands101	10
124	Prodiginus	10
124	NotMeanttoChange	10
124	benediktine1	10
124	Bolete	10
124	Bucscw24	10
124	SlayerCrypto	10
124	burbankbuilder28	10
124	xo_Marren_xo	10
124	JESS_THE_RERE	10
124	jaimshae	10
124	oxfordschool	10
137	XboxPanda	9
137	Skylord_Luke	9
137	fred870d	9
137	victorLIE	9
137	Hisiste	9
137	lordpipe	9
137	JosephCW	9
137	Dogcorn69420	9
137	mawileite	9
137	JayToe	9
147	ExtraDumb	8
147	Ryker	8
147	TAKrules	8
147	Inchef	8
147	theonlymagikarp	8
147	Skippeh	8
147	Zoeyfortnite	8
154	Merv__	7
154	Windo_licker	7
154	whoaluv	7
