rank	username	minecraft:picked_up/minecraft:enchanting_table
1	HellsSponge	70
2	Hyp3rion_	68
3	Jackattack53	65
4	noam464	31
5	Kubeusz2010	27
6	HAruSAme14	25
7	Snowflowe	22
8	oscminus	17
8	claivin	17
10	Kakolbus	11
10	_Karmaa	11
12	silverpopcorn	10
13	Batman922	9
14	pintsizedrogue	8
14	500am	8
14	hanaryheatwave	8
14	SSytex_X	8
14	Ezekson	8
19	peach0s	7
19	rarrq	7
19	m_be9	7
19	12Magner05	7
19	thescout7	7
19	Di_infiri	7
19	ApophisNova	7
19	El_Jalapeno	7
19	censorsheep	7
19	MyNamaSheff	7
19	Enderxz3	7
30	k_ce	6
30	robertsnose	6
30	royal_2	6
30	Euclidoris	6
30	roxycherry	6
30	TheSecondLord	6
30	o0z	6
30	mwrty	6
30	Kynigito	6
30	Soplight	6
30	WYFYoyo	6
41	Jovaphobic	5
41	Literally_Rat	5
41	KGTV	5
41	TheDankPlatypus	5
41	fr_ser	5
41	BRRRN179	5
41	PaperCanvas	5
41	Luminad3	5
41	wezzzi	5
41	Racengan	5
41	07shiny	5
41	Yamdalorian	5
53	Merv__	4
53	Caribouse	4
53	xXTheWolfmanXx	4
53	diamondgolem35	4
53	Kamflame	4
53	SharpDev	4
53	ROY4LE	4
53	__TheNorseMan__	4
53	Kubelz	4
53	CollinMH06	4
53	Rumpletaezer	4
53	burbankbuilder28	4
53	tobinwilliams	4
53	ItsAki_	4
53	F_Uhre	4
53	TheShyPig	4
53	wobn	4
53	Xclax101	4
53	_flud	4
53	LordSpeed37	4
53	IlkeCookes_	4
53	laron58	4
53	mobunni	4
76	seanitoo	3
76	Mr_Byzantine	3
76	BPTY4618	3
76	shineh10	3
76	hm947	3
76	Jackster03	3
76	YairZaki	3
76	Mahoose	3
76	joethahobo	3
76	gaziter10	3
76	ccwildfire1	3
76	Malorn_Aetherius	3
76	Frxnkz	3
76	jacxhadow	3
76	MattieHD	3
76	Secret_Canary	3
76	Irko	3
76	Inchef	3
76	XboxPanda	3
76	U_Mos_	3
76	pappaberg	3
76	kars0n	3
76	LordZacler	3
76	Azmodan_246	3
76	MustardDrinker	3
76	Corbsman	3
76	TheWildMateo	3
76	epiksk8erduck	3
76	LilLizardWizard	3
76	Maenara	3
76	Akoot_	3
76	Lord_Zacler	3
76	XxCookiequeenxX	3
76	MightyWertu	3
76	RedcatVII	3
76	Blaiku	3
76	Warlord324	3
76	Spacewardharpy7	3
76	_MeowMix	3
76	sp00ky_ghost977	3
76	Razzgriz	3
76	IvarEXE	3
76	stellarjay	3
76	Ir0npack	3
76	AppleJacks	3
76	Steelynan	3
76	Rainaldus	3
76	OfficerAnvil	3
76	Iamthejo	3
76	Wolverine4302	3
76	PlasticOtari	3
76	Spaghettatron	3
76	Yahrto	3
76	Northernrabbit	3
76	00000000-0000-0000-0009-01ff0c3e5e4f	3
131	Mr_Worthless	2
131	CLG_Kata	2
131	TildaAndrea	2
131	6king6colt6	2
131	MikeIsSalty	2
131	Hpdinosaur	2
131	wickedword	2
131	eitanzaki	2
131	Natty	2
131	Huwulling	2
131	ShedJr_	2
131	MSK__	2
131	skroobiez	2
131	QuiCreans	2
131	Ssor69	2
131	dopplexd	2
131	Upstro10	2
131	Saucepeh	2
131	ratglock	2
131	Comma__	2
131	hydrothebot	2
131	Tiberonus	2
131	kekhon	2
131	orxngejuice	2
131	Xalithia	2
131	Diavri	2
131	SpicyMeatballs	2
131	imcombxt	2
131	Zaridey	2
131	ReverendSmith	2
131	yaboo88	2
131	wx4z	2
131	Skylord_Luke	2
131	CaptainDeadBread	2
131	selectrix	2
