rank	username	minecraft:picked_up/minecraft:dark_oak_fence_gate
1	Snowflowe	2467
2	Hiryu27	803
3	HellsSponge	389
4	Hyp3rion_	353
5	pintsizedrogue	265
6	Powowowow	247
7	Jackattack53	176
8	Elastiq	173
9	joethahobo	154
10	Historical_Sand	142
11	Yamdalorian	133
12	beeperbeeper5	130
13	Winklepicker279	126
14	FreakGenius	116
15	Groundler	113
16	Hisiste	108
17	luseis	104
18	groofles	89
19	Fullut	85
20	Blackberry1310	81
21	Manaateee	80
22	Mahoose	77
23	Merv__	67
24	eitanzaki	60
25	TheShyPig	57
26	thewindmillman	56
27	rarrq	54
28	xzvu	53
29	EveryonesUncle	49
30	TheSecondLord	46
30	skitzxo	46
32	Werbe	45
33	QuiCreans	43
34	500am	40
35	noam464	39
36	Di_infiri	36
37	Jimb0nat0r	34
38	m_be9	33
38	Paintz	33
38	audiocracked	33
41	Soplight	29
42	SmashingPump	28
42	Notta	28
42	Wowful	28
45	SpacesickPrism	27
46	SDMNAEK	26
47	ImpavidArcher	25
47	Mattesco	25
49	NieToksikpl	22
50	SaucyDark	21
50	pixelviolin	21
52	Norrhede	20
52	Tyrannosplart	20
54	Eraxa	19
54	KingMatthew506	19
54	Skippeh	19
57	Dakar_	18
58	crashomon	17
58	Spacewardharpy7	17
58	Druid95	17
58	ZoomieZoomie	17
62	Lez_	16
62	xxPipperDipperxx	16
64	M_Patata	15
64	burbankbuilder28	15
64	Reneedium	15
64	MasterNueve	15
64	taengoos	15
69	intropass	14
69	Onennon	14
69	brycepants	14
69	The_slideV3	14
73	SyntheticSurgeon	13
73	Crowman1	13
73	Jakobo1337	13
73	GingerNeutron	13
73	EcksD	13
78	6king6colt6	12
78	FishyBoy3811	12
80	Sleek_Storm_721	11
80	Huwulling	11
80	XxCookiequeenxX	11
83	Tersea_	10
83	Stiar	10
83	TheDankPlatypus	10
83	dartwaffle	10
87	CLG_Kata	9
87	_Huge_Male_	9
87	censorsheep	9
87	Ezekson	9
87	PlasticOtari	9
92	Alteriity	8
92	kekhon	8
92	Kynigito	8
92	Leyna3	8
92	miramyu	8
92	Sral7	8
98	PazinGaming	7
98	EMC_	7
98	I_Am_Mushkin	7
98	Prismyst	7
98	BlankityMcBlank	7
103	Frozil20	6
103	RatatJuice	6
103	fragrantmonke444	6
103	Deguns123	6
103	ConnorDanky_	6
103	Legendosh	6
103	jnp_gaming	6
110	Incinere	5
110	heckface	5
110	orxngejuice	5
110	Sorry_Arey	5
110	SingedBread	5
110	Kowcio_	5
110	SammiWolfGirl	5
117	Mr_Byzantine	4
117	r123moore	4
117	Skylord_Luke	4
117	Felenov	4
117	PigDab	4
117	Russiancat1	4
117	BumbleBeever	4
117	mountaingirl311	4
117	Enderxz3	4
126	diamondgolem35	3
126	rachcl	3
126	Ryker	3
126	BobDeBouwer1337	3
126	Cortexia	3
126	thescout7	3
126	Marbz_	3
126	Rumpletaezer	3
126	PaperCanvas	3
126	NormanFetus	3
126	DTwenty	3
126	CalebDHawk	3
126	Kubeusz2010	3
139	Ryan_GEMS	2
139	SquadMonster	2
139	titanlax	2
139	Ravenbie	2
139	MattieHD	2
139	asspharte	2
139	ARandomHedge	2
139	WORLDENDVALHALLA	2
139	Krowuss	2
139	oscminus	2
139	DebbieBrunswick	2
139	Samificator	2
139	Y_A_N_N_I	2
139	wezzzi	2
139	AlphaWolfPlaysMC	2
139	420BreadLizard	2
139	Shogunite	2
139	claivin	2
139	Warlord324	2
139	lordpipe	2
139	bruh072	2
139	LordSpeed37	2
139	Ridh	2
139	LeeMcGee30	2
139	cichy096	2
139	CattSoup	2
139	Biites	2
139	JayToe	2
167	Apollo_993	1
167	dabloons	1
167	teslawolf38	1
167	bigstankyy	1
167	DinoDoctor_	1
167	NatrixxddxYT	1
167	C0by3llis	1
167	Archsam	1
167	viziqs	1
167	MSK__	1
167	Swexti	1
167	cyuar	1
167	Ssor69	1
167	catandmoose	1
167	minersam1	1
167	slkiey	1
167	MindyDooWho	1
167	eviltunix	1
167	benediktine1	1
167	Bucscw24	1
167	SuperPooch06	1
167	Chromary	1
167	RebytreGT	1
167	Mr_Sun15	1
167	HolyVenom	1
167	Jimi7hits	1
167	fw3xy74	1
167	Inbefour	1
167	Revolutions	1
167	ReflexCode	1
167	blackeemperor	1
167	fluddd	1
167	Racengan	1
167	ImagineRamen	1
167	djancak	1
167	fffMike	1
167	ImWhiteJesus	1
167	Steelynan	1
167	TheOuterCore	1
167	TheOnlyRake	1
167	TechnoNinja64	1
