rank	username	minecraft:picked_up/minecraft:wooden_pickaxe
1	AdmiralSmoke	11
2	Akoot_	10
3	Smashic	9
3	weabis	9
5	_Virify_	7
5	TheWildMateo	7
5	Racengan	7
5	PlzNoBM	7
5	xolstoi	7
10	set67	6
10	Tyrannosplart	6
12	eitanzaki	5
12	beeperbeeper5	5
12	cheerytomato	5
12	himak1	5
12	420BreadLizard	5
12	Blaiku	5
12	IAmTheWalrus910	5
12	fffMike	5
20	12Magner05	4
20	On35h0t1k1ll778	4
20	TheShyPig	4
20	lizardfightclub	4
20	Blackerstons	4
20	Eraxa	4
20	Kowcio_	4
20	_KuruKuru	4
20	561cool	4
29	pintsizedrogue	3
29	ImNotYuqii	3
29	ImpavidArcher	3
29	lotarp	3
29	Huwulling	3
29	Ozixar	3
29	redikul	3
29	LavenderBi1ch	3
29	SUSUGAM	3
29	mimbo1211	3
29	ouija_	3
29	TableTim	3
29	breadbowlgamer	3
29	BomberBoi69	3
29	Di_infiri	3
29	Jackattack53	3
29	Chromary	3
29	wTXop	3
29	Skylord_Luke	3
29	Onennon	3
29	iElijah	3
29	epiksk8erduck	3
29	jewbacaman	3
29	luseis	3
29	FreakGenius	3
29	fluddd	3
29	GravitySaint	3
29	sp00ky_ghost977	3
29	Ze_BaronKrigler	3
29	__tomato	3
29	Apicomplexa	3
29	Serval2000	3
29	TechnoNinja64	3
29	Deliriohm	3
63	Groovy_MoonBird	2
63	jjettii	2
63	PhantomsGhost_	2
63	fanofbands101	2
63	CloroxBleach385	2
63	PazinGaming	2
63	BigBootyHudge	2
63	Merv__	2
63	EkkoTraveler	2
63	ColeSnyder	2
63	DinoDoctor_	2
63	Franco093	2
63	joethahobo	2
63	Polahbear	2
63	Blackberry1310	2
63	Frxnkz	2
63	Tiberonus	2
63	kekhon	2
63	MattieHD	2
63	G1ldor	2
63	BINKENSTOCK	2
63	thescout7	2
63	physicalmedia	2
63	Mewar	2
63	ItsRyanM8	2
63	VanJosh	2
63	brrh	2
63	juuustpeachy	2
63	trixterrx	2
63	AJplaysMC_	2
63	kars0n	2
63	DAD_1996	2
63	F_Uhre	2
63	Jonte0599	2
63	XeroByMyth	2
63	brycepants	2
63	StitchCrashes	2
63	GoofyBread	2
63	HellsSponge	2
63	frodort	2
63	_Karmaa	2
63	QueenShuvi	2
63	El_Jalapeno	2
63	MS_Pryxx	2
63	MentheMan09	2
63	Airem_Core	2
63	VintagePlays	2
63	CheifJumbo	2
63	OG_Songsee	2
63	SexcMf	2
63	Soplight	2
63	Chuglyfe	2
63	PortlyPete69	2
63	DennyKai	2
63	Soffbord	2
63	Eczbek	2
63	laron58	2
63	ConnorDanky_	2
63	EcksD	2
63	_AAZAR	2
63	little_dUki	2
63	jnp_gaming	2
63	Powowowow	2
63	2blox_	2
63	WYFYoyo	2
63	00000000-0000-0000-0009-01f16526f034	2
129	MunkaKris	1
129	rats_life	1
129	Flamd	1
129	Lepthymo	1
129	Krimys	1
129	MuffinManzz	1
129	seanitoo	1
129	NatalieTW	1
129	Mr_Byzantine	1
129	No_Bena	1
129	BigMaoguai	1
129	Skyler_Diablo	1
129	chipklip	1
129	Jalvajar	1
129	mawnstrosity	1
129	CueMix	1
129	Ze1ig	1
129	not_a_duck_23	1
129	_darky1_	1
129	Azorathum	1
129	shineh10	1
129	Mocha_Mug	1
129	CarsonDoesMine	1
129	q_wq	1
129	KingFaenor	1
129	jpoxman	1
129	Frozil20	1
129	Sleek_Storm_721	1
129	IEatBooty	1
129	pokemonfreak45	1
129	KarlKaek	1
129	Nekowu	1
129	SirUnderpants	1
129	VG_RDF	1
129	elementorix	1
129	Lisppp	1
129	Isaac70096	1
129	Hpdinosaur	1
129	tuckerdoodle	1
129	imthatpikachu	1
129	ewsophie	1
129	seba070c	1
129	youhjjhhhjj	1
129	Bane_of_Solace	1
129	KomputerDude	1
129	Kuragari_	1
129	ivorico	1
129	Scags	1
129	Lez_	1
129	TheMaster972	1
129	NanoShot	1
129	tramizu	1
129	Ssor69	1
129	TheFlfthHorseman	1
129	FirsTimeGamingTV	1
129	AlejandroPH1	1
129	Prodiginus	1
129	dopplexd	1
129	prelutrinae	1
129	NieToksikpl	1
129	Cryptacity	1
129	TheSecondLord	1
129	ItsHydroMC	1
129	jacxhadow	1
129	Albertalo	1
129	Dnulgreb	1
129	TheRealGameBoy24	1
129	ProfessorBee	1
129	Guillemet	1
129	_Nuf	1
129	Lumien_	1
129	eclipseboi	1
129	lilsay	1
129	isak_oskar	1
129	Fullut	1
129	slkiey	1
129	PlasmaElk	1
129	LexiAngslig	1
129	Laykon	1
129	lorpus	1
129	UnderKat	1
129	Awyrlas	1
129	Motsaro	1
129	Ithaca19	1
129	actour	1
129	d91k	1
129	ROY4LE	1
129	xxPipperDipperxx	1
129	Resner	1
129	LittleIan365	1
129	TylerDupree	1
129	JMK208	1
129	smarticuno	1
129	John6970	1
129	Gamergirl420628	1
129	Avrelion	1
129	FennYuzuna	1
129	ZeroAbyssTTV	1
129	angeles1234	1
129	Kakolbus	1
129	Purplehere	1
129	fallingemma	1
129	ImDisconnected_	1
129	faulder	1
129	swag_bro2004	1
129	__Fanda__	1
129	thatbeanyboi	1
129	fr_ser	1
129	Marahuyo00	1
129	yheece	1
129	mick407	1
129	hanaryheatwave	1
129	Nope______	1
129	WET_WET_WET	1
129	Arceus1975	1
129	thewindmillman	1
129	Hyp3rion_	1
129	JitteryJared2	1
129	thebaddruid	1
129	domagawha	1
129	The_Fulgurator	1
129	Termi_Qc	1
129	Mpkkiller	1
129	Bumpy419	1
129	bean__salad	1
129	Rebytre	1
129	Inconvenionce	1
129	ItsAki_	1
129	Werbe	1
129	RobotMinion101	1
129	Kouridragon	1
129	DJenthousiast	1
129	Mattesco	1
129	DanielMmm	1
129	A_Potatoe	1
129	Moofyman	1
129	_Cloverbelle_	1
129	ptweezy	1
129	PigDab	1
129	Skomo	1
129	wordboy107	1
129	MikeTheMan4423	1
129	CaptainAvenger7	1
129	sammidk	1
129	zToasty69z	1
129	NormanFetus	1
129	SkyHighSkier	1
129	HoldThatPee	1
129	tyraxxx	1
