rank	username	minecraft:picked_up/minecraft:lead
1	Blackberry1310	993
2	beeperbeeper5	954
3	HellsSponge	912
4	Freak_Genius	802
5	thewindmillman	706
6	Mahoose	652
7	KingMatthew506	573
8	Smoke____	517
9	pintsizedrogue	487
10	xxPipperDipperxx	461
11	YungMaki	349
12	eitanzaki	348
13	bloodbiter	328
14	jnp_gaming	321
15	kekhon	297
16	IAmTheWalrus910	296
17	Arceus1975	279
18	noam464	276
19	ImpavidArcher	270
20	Natofthese	268
20	El_Jalapeno	268
22	Inbefour	251
23	djancak	235
23	LeeMcGee30	235
25	SammiWolfGirl	227
26	Fullut	225
27	SaucyDark	201
28	joethahobo	200
29	TheShyPig	190
30	T045RTY	182
31	Skippeh	165
32	lcvezra	157
33	The11thDoctor	150
34	Bumpy419	144
35	SHAOBADMAN	143
36	Rasmanden	141
37	Sral7	133
38	oxfordschool	131
39	EveryonesUncle	124
40	monky_irl	123
41	Quaintster	122
42	lillips	117
43	H72l9w	113
44	Historical_Sand	112
44	eviltunix	112
46	TheSecondLord	111
46	Ardennes	111
48	PlzNoBM	107
49	Hyp3rion_	106
50	TechnoNinja64	104
51	PhantomsGhost_	102
52	ProfessorBee	101
53	Akoot_	100
54	titanlax	95
55	Eraxa	93
56	Xclax101	92
57	AuroraValkyrie	89
57	Natty	89
59	sp00ky_ghost977	88
60	loveseeker	83
61	nocturne78	82
62	Soplight	80
63	Di_infiri	79
64	slkiey	77
65	egglapras	75
66	hm947	74
67	claivin	71
68	Frozil12	70
68	Spenduh	70
70	mariominejedi	68
71	Ezekson	67
72	Legendosh	63
73	Werbe	61
73	AssEatrAndLicker	61
73	Blu3beast	61
76	ratglock	58
77	KG1999	55
77	EcksD	55
79	Xalithia	54
79	NomadicRobin_	54
81	rarrq	53
81	MyNameIsJobo	53
81	Leyna3	53
81	Blaiku	53
85	MightyWertu	51
85	Spacewardharpy7	51
87	KeruNatsema	50
88	MattieHD	49
89	Groovy_MoonBird	48
90	dopplexd	47
91	6king6colt6	46
92	awesomeoneme	45
93	fred870d	44
93	Lord_Jord	44
93	Enderslayerxz3	44
96	RobotMinion101	43
97	_Dean_123	42
98	Myszoaz	41
98	Onennon	41
98	DarlaMeow	41
98	Groundler	41
102	Auseawesome	40
102	burbankbuilder28	40
102	HesDemonPants	40
105	500am	39
105	PortlyPete69	39
107	heckface	38
107	thescout7	38
107	AlphaWolfPlaysMC	38
107	BreadBacon	38
111	Drlzyy	37
112	Dusk_95	36
113	Quotary	35
114	Windo_licker	34
115	Merv__	33
115	Jackattack53	33
115	CaptainDeadBread	33
115	Luigipunch989	33
119	ewsophie	32
119	Reamdin	32
119	Roosje69	32
119	Kowcio_	32
123	KarlKaek	31
123	_3Stump_	31
123	PlasticOtari	31
126	bigstankyy	30
126	Ssor69	30
126	censorsheep	30
126	AvaRosey	30
126	EtherealEspresso	30
131	ShedJr_	29
131	MinttyFressh	29
131	M_Patata	29
131	pappaberg	29
131	MyNameIsDakar	29
131	MasterNueve	29
131	EcksDofficial	29
138	EMC_	28
138	MakeHistory157	28
138	TheALV	28
138	kinas45y5	28
142	SuperPooch06	27
143	ItsAki_	26
143	Kubeusz2010	26
145	chlorinex	25
145	Jiminie	25
145	diggydog67	25
148	sufjanlover	24
148	ewpunk	24
148	Fildyr	24
151	SteveCraftBlocks	23
151	Chromary	23
151	_Boipl_	23
151	lordpipe	23
151	OfficerAnvil	23
151	QueenOfDirt	23
151	Lowjinx	23
158	mwrty	22
158	Kakolbus	22
158	Hoid_the_Roamer	22
158	chipklip	22
158	Soul_Atreus	22
158	pixelviolin	22
164	Cowison	21
164	12Magner05	21
164	FetteMutter	21
164	RodSerlingCringe	21
164	Joestra	21
164	KlausVonStiglitz	21
164	halfbakedlasagna	21
164	Hermanni__	21
172	soundad	20
172	ROY4LE	20
172	MustaLoordi	20
172	IdeallyGrey	20
176	squigglybones	19
176	picardred	19
176	InfernalMound	19
176	LexMakesHistory	19
176	Wolverine4302	19
181	RatatJuice	18
181	BlankityMcBlank	18
181	jcool7	18
181	imaginek1d	18
185	HollieDaNugget	17
185	_AceOfSpace_	17
185	firesgal3116	17
185	m_be9	17
185	Zythose	17
185	_Karmaa	17
185	cichy096	17
192	numbra	16
192	Malorn_Aetherius	16
192	Ravenbie	16
192	r123moore	16
192	Bolete	16
192	KliBeast21	16
192	masskedman	16
192	Meatlaugh	16
200	Jovaphobic	15
200	TheFlfthHorseman	15
200	Voxin2K	15
200	NameGenerat0r	15
200	brofrickcheaters	15
200	2blox	15
206	Bandito_Roamer	14
