rank	username	minecraft:picked_up/minecraft:jungle_planks
276	ProfessorBee	2
276	paranoid_plant	2
276	NotMeanttoChange	2
276	Noah_Bez	2
276	SuperPooch06	2
276	KartivGal	2
276	_Bguette_	2
276	BumbleBeever	2
276	LargeCarl	2
276	Dusk_95	2
276	Chayula	2
276	Soffbord	2
276	FallenCorps	2
