rank	username	minecraft:picked_up/minecraft:comparator
1	Hyp3rion_	23716
2	noam464	12719
3	LuvLuvLove	2895
4	eitanzaki	1950
5	thewindmillman	1817
6	thescout7	1737
7	HellsSponge	1201
8	Di_infiri	1092
9	EcksD	852
10	Werbe	833
11	catandmoose	769
12	EMC_	687
13	Awyrlas	569
14	Eczbek	566
15	Jackattack53	529
16	Blaiku	489
17	Spacewardharpy7	469
18	fffMike	457
19	Yamdalorian	444
20	Studio4x32	360
21	FreakGenius	345
22	Alteriity	286
23	Kakolbus	272
24	wx4z	254
25	12Magner05	253
26	SteveCraftBlocks	235
27	Soplight	216
28	m_be9	209
29	Manaateee	208
30	El_Jalapeno	202
31	Arceus1975	200
32	Jimb0nat0r	160
33	TechnoNinja64	150
34	ssleepless	141
35	MightyWertu	138
36	emreknugrlu	127
37	beeperbeeper5	122
38	Lez_	117
39	Inbefour	115
40	MyNameIsJobo	114
41	TheSeismicDuck	111
42	Zythose	109
43	pixelviolin	104
44	es0th	103
45	Nicserso	102
46	r123moore	99
46	Hiryu27	99
48	doublemaki	96
49	Deathkob	94
50	oscminus	92
50	Fildyr	92
52	_Mythic____	91
53	PigDab	88
54	Fullut	86
54	Snowflowe	86
54	Ezekson	86
57	MattieHD	85
58	sp00ky_ghost977	84
59	Jimi7hits	81
60	TheShyPig	79
61	T045RTY	74
61	Sral7	74
63	mihimihimihi	71
64	Krowuss	69
65	obzii	66
66	hanaryheatwave	65
67	bl1ss0	64
67	Shogunite	64
67	Hisiste	64
67	Legendosh	64
67	TwinTowerV2	64
72	TheThomas69	62
73	Soap_Bender	61
74	Groundler	56
75	WyngGoy	54
76	Mr_Byzantine	53
76	MSK__	53
76	milltesco	53
79	SvenskaHugo	51
80	Spenduh	50
81	Donutt	49
81	non089	49
83	PhantomsGhost_	48
83	claivin	48
85	Akoot_	46
86	BumbleBeever	44
87	Archsam	43
87	jnp_gaming	43
89	Merv__	42
89	Ryan_GEMS	42
89	Fuad_R	42
92	Historical_Sand	41
93	_Nuf	40
94	Niklas20114552	39
94	Kowcio_	39
96	AstreaTSS	36
97	pintsizedrogue	35
97	Apollo_993	35
97	ImpavidArcher	35
100	joethahobo	34
101	craaaash	33
102	Pumpkin_P_Patch	32
103	Swexti	31
103	TheSecondLord	31
103	lorpus	31
103	DanTheBuilderino	31
103	TheKingK_	31
108	Frozil20	30
108	GravitySaint	30
110	Mahoose	29
110	Winston_Ingram	29
112	Paintz	27
112	PortlyPete69	27
114	Quotary	26
115	Rumpletaezer	25
115	Bumpy419	25
115	ConnorDanky_	25
118	IamCL4SSY	23
118	luseis	23
120	diamondgolem35	22
120	SlayerCrypto	22
120	07shiny	22
123	hermmm_	21
124	_Virify_	20
124	Blackberry1310	20
124	kekhon	20
124	Hoid_the_Roamer	20
124	Lord_Jord	20
129	Leyna3	19
129	The_slideV3	19
131	SoosAmongus	18
131	Gus2005	18
133	Quincannon	17
134	Sleepy_Evelyn	16
134	eli_tschki	16
134	lordpipe	16
134	MilleGrug	16
134	Enderxz3	16
134	The_SlideV5	16
140	RebelAndroid	15
140	CoffeeNoir	15
140	eviltunix	15
140	M_Patata	15
140	ScootOfBoot	15
140	FishyBoy3811	15
140	Steelynan	15
140	EngagedGrub41	15
140	taengoos	15
140	PlasticOtari	15
150	Prismyst	14
150	Covalents	14
150	masskedman	14
150	FiguraDei	14
150	SpacesickPrism	14
150	HesDemonPants	14
156	Huwulling	13
156	U_Mos_	13
156	Elastiq	13
156	Blu3beast	13
156	MasterNueve	13
161	_Duckery	12
161	Tyrannosplart	12
161	Xclax101	12
161	Warlord324	12
165	Jovaphobic	11
165	q_wq	11
165	bloodbiter	11
165	seramalen	11
165	fw3xy	11
170	ECstardust	10
170	ActualPatbaf	10
170	Prodiginus	10
170	slkiey	10
170	Skylord_Luke	10
170	ApophisNova	10
170	MAns_44	10
170	stavgod	10
170	MyNamaSheff	10
179	dimondking777	9
179	Ryker	9
179	Ssor69	9
179	Malorn_Aetherius	9
179	eiC_	9
179	shadowthemonkey	9
179	mariominejedi	9
179	Onennon	9
179	AspenLightVT	9
179	LexMakesHistory	9
179	Buuck_	9
179	Eraxa	9
179	CattSoup	9
192	powercas_gamer	8
192	Gregward_Smith	8
192	Auseawesome	8
192	NotMeanttoChange	8
192	emrekn	8
192	gcaisawesome	8
192	Azmodan_246	8
192	RobotMinion101	8
192	Samificator	8
192	Maenara	8
192	Wowful	8
192	ese_wn_po	8
192	bruh072	8
192	UltraZombie	8
206	CLG_Kata	7
206	BadenStayFly	7
206	robertsnose	7
206	AuroraValkyrie	7
206	Franco093	7
206	Rich_Kat	7
206	Secret_Canary	7
206	500am	7
206	Smashic	7
206	_witch_craft_	7
206	mwrty	7
206	Nyxiom_	7
206	Mattesco	7
206	groofles	7
206	BartekB19	7
206	Barlycorn	7
206	StarCookiees_	7
206	yatsuta	7
206	FishisTTV	7
225	Louiis123	6
225	Tobinator_007	6
225	RoskobiOne	6
225	Incinere	6
225	skroobiez	6
225	royal_2	6
225	philandr	6
225	xxPipperDipperxx	6
225	andy_rex	6
225	selectrix	6
225	MousePlays	6
225	HolyVenom	6
225	Fuhrer_Teemo	6
225	StinkyDiplomat	6
225	censorsheep	6
225	_flud	6
225	jcool7	6
225	DairyNickel756	6
243	nattybears	5
243	fr0stss	5
243	IgnoredBee	5
243	SquadMonster	5
243	heckface	5
243	Saucepeh	5
243	Scathra	5
243	Purplehere	5
243	Marbz_	5
243	domagawha	5
243	KeruNatsema	5
243	DarlaMeow	5
243	cuddlyMonster	5
243	Kyrum2169	5
243	vandmanden	5
258	j5ylim	4
258	NotMyLucKMC	4
258	SyntheticSurgeon	4
258	Cryptacity	4
258	Kkanot	4
258	SellyZ	4
258	XboxPanda	4
258	Galactic_Badger	4
258	Rasmanden	4
258	parodypatient	4
258	DTwenty	4
258	Lutres_	4
258	NameGenerat0r	4
258	Racengan	4
258	geekbird	4
258	Vetomo8000	4
258	Strangemonkey71	4
258	MC_Skribble	4
258	Logain42	4
258	11Brewer	4
278	bigstankyy	3
278	Comma__	3
278	_Dean_123	3
278	Tmb1	3
278	lpinfinity	3
278	himak1	3
278	Koalander	3
278	okCrypto	3
278	_8man	3
278	GamerDuck123	3
278	Jekyll	3
278	Nicky19	3
278	Jij0	3
278	calamariclam_I	3
292	H0UNDFRMH3LL	2
292	Sleek_Storm_721	2
292	Houstonion	2
292	Kegradigm	2
292	tuckerdoodle	2
292	livingdaydreams	2
292	Literally_Rat	2
292	Julmish	2
292	Crafter45	2
