rank	username	minecraft:picked_up/minecraft:big_dripleaf
1	12Magner05	5482
2	PlasticOtari	2815
3	Enderxz3	2082
4	pintsizedrogue	1773
5	500am	1213
6	thewindmillman	834
7	SpacesickPrism	686
8	Huwulling	618
9	Kowcio_	567
10	AdmiralSmoke	505
11	GooseWithin	445
12	Merv__	185
13	lorywithay	144
13	Manaateee	144
15	ImpavidArcher	142
16	k_ce	141
17	EMC_	138
18	ECstardust	136
18	Mahoose	136
18	Legendosh	136
21	Spacewardharpy7	131
22	Steelynan	116
23	_Boipl_	115
24	Ryker	95
25	EveryonesUncle	89
26	Myntsys	87
27	pixelviolin	86
28	YungMaki	84
29	lunathelemon	81
30	TheDankPlatypus	73
30	Silvo614	73
32	LeEricc	68
33	Alteriity	64
34	CLG_Kata	61
35	luseis	60
36	Krowuss	59
37	thebaddruid	53
38	Jackattack53	52
38	SvenskaHugo	52
40	Druid95	51
41	Iamthejo	49
42	Kakolbus	48
43	diamondgolem35	44
44	hanaryheatwave	43
45	jessewegottacook	38
45	AlexxO_o	38
47	chrolus	37
48	lillips	36
49	excelsionprime	35
50	Hahaa_0	34
51	eitanzaki	33
51	Touched_Bread	33
53	RebelAndroid	32
53	PaperCanvas	32
55	wwwwinnebagoooo	26
55	lordpipe	26
57	Avocadogerms	25
57	tsitrawhy	25
59	Segotep999	23
60	AuroraSkies	20
61	SyntheticSurgeon	19
61	gcaisawesome	19
63	Lez_	18
63	beeperbeeper5	18
63	Dakar_	18
63	EtherealEspresso	18
63	CattSoup	18
68	Killercatty78	17
69	powercas_gamer	14
69	Smashic	14
69	xolstoi	14
72	LagVibes	13
72	MAns_44	13
74	RoskobiOne	12
74	HyperCave	12
74	Klerick	12
77	Sleepy_Time_	11
77	ScootOfBoot	11
79	TheSecondLord	10
79	Hyp3rion_	10
81	weabis	9
81	ConnorTG5	9
81	Jimb0nat0r	9
81	00000000-0000-0000-0009-01ff0c3e5e4f	9
85	BPTY4618	8
85	PazinGaming	8
85	BINKENSTOCK	8
85	Ghemmah	8
85	LeGold	8
85	Soplight	8
85	coobert42	8
92	JETrotter	7
92	athereall	7
94	I_Moose	6
94	Reneedium	6
94	oscminus	6
94	TheWildMateo	6
94	sp00ky_ghost977	6
94	Hermanni__	6
100	e_hernandez57	5
100	Rebytre	5
100	Human_Resource	5
100	Ezekson	5
100	2blox_	5
105	Mr_Byzantine	4
105	ZaneABrain	4
105	Marbz_	4
105	Werbe	4
105	Dan_Scha	4
105	Elastiq	4
105	Sorry_Arey	4
105	DarlaMeow	4
105	_JrTurtle_	4
105	CrazyPotater	4
115	H0UNDFRMH3LL	3
115	Prismyst	3
115	Crowman1	3
115	fade_emerge78823	3
115	Inchef	3
115	0Vyp_	3
115	Skylord_Luke	3
115	Mattesco	3
115	LeonelSalamanca	3
115	Toriankel	3
115	TheALV	3
115	EcksD	3
127	j5ylim	2
127	MuffinManzz	2
127	_Razaria	2
127	joethahobo	2
127	_Nat666	2
127	nopekk	2
127	prizm_	2
127	Di_infiri	2
127	longappendage	2
127	Felenov	2
127	FILIP1e	2
127	FreakGenius	2
127	_Laverne_	2
127	thedreadeddream	2
127	UCP_TheKingK	2
127	_i_ERROR_i_	2
127	satuern	2
144	hm947	1
144	rarrq	1
144	Miroryk	1
144	Blackberry1310	1
144	SnowyAvi	1
144	Tsuki95	1
144	LeauVox4921	1
144	Arceus1975	1
144	Snowflowe	1
144	iElijah	1
144	FadedSpade82	1
144	PortlyPete69	1
144	Nicserso	1
144	_Dri_	1
144	MadmanRaven	1
