rank	username	minecraft:picked_up/minecraft:nether_brick_slab
1	FreakGenius	1880
2	Kakolbus	1788
3	EcksD	1245
4	yulgur1	889
5	BobDeBouwer1337	830
6	Hyp3rion_	700
7	h2p_emrld	640
8	YungMaki	597
9	pintsizedrogue	581
10	Mahoose	564
11	HellsSponge	488
12	Frozil20	418
13	MyNameIsJobo	359
13	Kowcio_	359
15	KliBeast21	319
16	PigDab	310
17	ooga47	286
17	El_Jalapeno	286
19	Eraxa	252
20	Sral7	226
21	livingdaydreams	188
22	TheShyPig	184
23	AdmiralSmoke	180
24	Vorlice	151
25	noam464	143
26	SaintJosie	142
27	lizardfightclub	136
28	Deathkob	128
29	jnp_gaming	127
30	Rebytre	112
31	Lord_Jord	111
32	Blackberry1310	110
33	ciemacigans	105
34	RaZer17	100
35	beeperbeeper5	86
36	whoaluv	82
37	Werbe	76
38	TheBiggestFeller	73
39	mwrty	72
40	TechnoNinja64	68
41	Snowflowe	65
42	m_be9	64
42	anbbang	64
44	OfficerAnvil	59
45	burbankbuilder28	56
46	Merv__	53
47	Soplight	51
48	Jindong	50
49	Di_infiri	45
50	_Nuf	44
51	Blu3beast	36
52	Skippeh	33
53	_i_ERROR_i_	32
54	thewindmillman	31
55	Groundler	30
56	RobotMinion101	26
57	6king6colt6	25
57	DermeinUser	25
57	MAns_44	25
60	lcvezra	24
61	CaptainDeadBread	22
62	ADEXTV	21
63	SmashingPump	20
63	500am	20
63	Chromary	20
66	Druid95	19
67	ShedJr_	18
67	MattieHD	18
67	_Bguette_	18
67	Spacewardharpy7	18
67	Legendosh	18
72	stellarjay	16
73	Kamflame10	15
74	k_ce	14
74	Lez_	14
74	jcool7	14
77	IamCL4SSY	13
78	H72l9w	12
78	Shogunite	12
78	PortlyPete69	12
81	EMC_	11
81	TheSecondLord	11
81	AlphaWolfPlaysMC	11
81	luseis	11
85	Bandito_Roamer	10
85	ImpavidArcher	10
85	eitanzaki	10
85	Vizzoid	10
85	Manaateee	10
90	dudcreeper	9
90	Freeman666	9
90	Njensen7	9
93	Arceus1975	8
93	starbits140	8
95	bloodbiter	7
96	Zedducius	6
96	xxPipperDipperxx	6
96	Jackattack53	6
96	TheEnderMan548	6
100	rarrq	5
100	Nyxiom_	5
100	F_Uhre	5
100	FlashMigma	5
100	stavgod	5
100	PlasticOtari	5
106	joethahobo	4
106	kekhon	4
106	Rumpletaezer	4
106	bearlystraight	4
106	lordpipe	4
106	sp00ky_ghost977	4
106	Hermanni__	4
113	Reamdin	3
113	Secret_Canary	3
113	himak1	3
113	ApophisNova	3
113	Tyrannosplart	3
113	fluddd	3
113	Aezekial	3
113	IAmTheWalrus910	3
113	obzii	3
113	MyNamaSheff	3
113	MrMeisterProper	3
124	teslawolf38	2
124	Tolhart	2
124	CoffeeNoir	2
124	Swexti	2
124	12Magner05	2
124	BilboBaggins23	2
124	eviltunix	2
124	r123moore	2
124	Giannism	2
124	Zythose	2
124	dendydoom	2
124	Hiryu27	2
124	The11thDoctor	2
124	LeonelSalamanca	2
124	EveryonesUncle	2
124	The_slideV3	2
124	Quincannon	2
124	RedcatVII	2
124	Fildyr	2
124	kyouma777	2
124	BlankityMcBlank	2
124	Sheldor097	2
124	Nicserso	2
124	UrbanPlanningEx	2
124	diggydog67	2
149	q_wq	1
149	HollieDaNugget	1
149	301851	1
149	jushykins	1
149	Tiberonus	1
149	Megarboh	1
149	xX_HaroldHolt_Xx	1
149	Guillemet	1
149	Pelbo	1
149	MRC_Gaming	1
149	emrekn	1
149	yheece	1
149	oscminus	1
149	Corbsman	1
149	Onennon	1
149	HwamzUK	1
149	DemTechAlpha	1
149	claivin	1
149	Sepulcro	1
149	MakeHistory157	1
149	MineMaster0012	1
149	annoyingenderman	1
149	striker90333	1
149	Aryamanee	1
149	Iamthejo	1
149	ConnorDanky_	1
149	Biites	1
149	MandenR1	1
