rank	username	minecraft:picked_up/minecraft:shaper_armor_trim_smithing_template
1	Kowcio_	27
2	thewindmillman	26
3	j5ylim	14
4	beeperbeeper5	5
5	Enderxz3	4
6	k_ce	3
6	Archsam	3
6	philandr	3
6	Hyp3rion_	3
6	oscminus	3
6	Werbe	3
6	Pumpkin_P_Patch	3
13	pintsizedrogue	2
13	Mr_Byzantine	2
13	lorywithay	2
13	Secret_Canary	2
13	_witch_craft_	2
13	Jackattack53	2
13	pixelviolin	2
20	Apollo_993	1
20	Huwulling	1
20	royal_2	1
20	TheSecondLord	1
20	hanaryheatwave	1
20	FiguraDei	1
20	DairyNickel756	1
20	Jimb0nat0r	1
20	Spaghettatron	1
