rank	username	minecraft:picked_up/minecraft:oak_pressure_plate
1	noam464	171
2	Cocoamallows	168
3	Njensen7	128
4	MustaLoordi	107
5	I_Am_Mushkin	68
6	BiggieDawg	66
7	thewindmillman	61
7	YungMaki	61
9	Mahoose	39
10	HellsSponge	34
11	CalebDHawk	33
12	Huwulling	32
12	Lez_	32
12	EveryonesUncle	32
15	Azmodan_246	30
16	El_Jalapeno	25
17	PortlyPete69	24
17	PlzNoBM	24
19	Akoot_	19
19	fffMike	19
21	Kubeusz2010	18
22	_Dean_123	17
23	Jackster03	16
23	Euclidoris	16
23	MyNameIsJobo	16
26	Xclax101	15
26	Ezekson	15
28	TechnoNinja64	14
29	MovingFish7	13
30	monky_irl	12
30	Iamthejo	12
30	Kateesaur	12
33	dopplexd	11
33	SteveCraftBlocks	11
33	Groundler	11
36	jacxhadow	10
36	kekhon	10
36	Megarboh	10
36	Werbe	10
36	Maenara	10
36	KlausVonStiglitz	10
42	beeperbeeper5	9
42	Whiterooster001	9
42	FirsTimeGamingTV	9
42	mwrty	9
42	The11thDoctor	9
42	FreakGenius	9
42	nonarso	9
49	weezygator	8
49	Mr_Byzantine	8
49	Ssor69	8
49	titanlax	8
49	GingerNeutron	8
49	CharlieButt	8
49	moist_jellyfish	8
49	thgrocks	8
49	AlphaWolfPlaysMC	8
49	Smoke____	8
49	00000000-0000-0000-0009-01f80c5e9346	8
60	pintsizedrogue	7
60	Natty	7
60	Blackberry1310	7
60	set67	7
60	Onennon	7
60	Soap_Bender	7
60	BlankityMcBlank	7
60	Western_1	7
60	Legendosh	7
60	jnp_gaming	7
60	00000000-0000-0000-0009-01f073f37a91	7
71	EMC_	6
71	6king6colt6	6
71	youhjjhhhjj	6
71	KomputerDude	6
71	Upstro10	6
71	MattieHD	6
71	JMK208	6
71	Snowflowe	6
71	RyuNeko932000	6
71	ApophisNova	6
71	CaptainAvenger7	6
71	TheShyPig	6
71	SaintJosie	6
71	LexMakesHistory	6
71	DrGrant	6
71	weabis	6
71	Blu3beast	6
71	djancak	6
71	MyNamaSheff	6
71	JayToe	6
91	Jovaphobic	5
91	joethahobo	5
91	Awyrlas	5
91	Hyp3rion_	5
91	Gryglu583	5
91	lordpipe	5
91	Burge_r	5
91	lcvezra	5
91	Luigipunch989	5
91	Skippeh	5
91	xorompole	5
91	Quotary	5
91	Powowowow	5
91	PlasticOtari	5
105	xXxSebastianLxXx	4
105	fade_emerge78823	4
105	CarltheCuck	4
105	happy_mileo	4
105	Zythose	4
105	Fast_Turtle	4
105	Bumpy419	4
105	MustardDrinker	4
105	zToasty69z	4
105	_Bguette_	4
105	Sank34	4
105	AssFullaCum	4
105	Soplight	4
105	OfficerAnvil	4
119	MunkaKris	3
119	Groovy_MoonBird	3
119	abramgray	3
119	eitanzaki	3
