rank	username	minecraft:picked_up/minecraft:dark_oak_leaves
1	Di_infiri	8223
2	XxCookiequeenxX	7602
3	Skippeh	5980
4	pintsizedrogue	3155
5	RatatJuice	3109
6	joethahobo	3037
7	eitanzaki	2782
8	burbankbuilder28	2720
9	Awyrlas	2512
10	Mahoose	2144
11	kekhon	2101
12	500am	2093
13	Manaateee	1900
14	ConnorDanky_	1221
15	Merv__	1126
16	ROY4LE	1110
17	HesDemonPants	1047
18	Meatlaugh	1030
19	Scathra	977
20	El_Jalapeno	971
21	gcaisawesome	964
22	Werbe	842
23	SuperPooch06	784
24	Maenara	771
25	groofles	767
26	FreakGenius	721
27	Kowcio_	716
28	HellsSponge	714
29	LeonelSalamanca	709
30	2blox_	682
31	noam464	661
32	beeperbeeper5	655
33	AdmiralSmoke	646
34	Soplight	641
35	pixelviolin	632
36	Groovy_MoonBird	613
37	ProfessorBee	596
38	featherflyy	575
39	TheDankPlatypus	565
40	lcvezra	527
41	Nicserso	521
42	seramalen	517
43	Deguns123	510
44	Tyrannosplart	490
45	420BreadLizard	479
46	LeEricc	470
47	SpaceGrenadier	446
48	Blu3beast	444
49	m_be9	432
50	TechnoNinja64	412
51	Blazebit	407
52	thescout7	372
53	lillips	364
54	itburb	336
55	ImpavidArcher	335
56	jnp_gaming	323
57	Pofen	314
58	luseis	306
59	platinumzero	305
60	set67	281
61	Snowflowe	268
62	wwwwinnebagoooo	265
63	xolstoi	264
64	LeGold	259
65	JayToe	254
66	KarlKaek	251
67	CarryLine	236
68	Ch4osDoom64	235
69	Leyna3	226
70	avalan64	222
71	__hinterland__	209
72	bigstankyy	203
73	SoftSix	196
74	Fullut	195
75	_Huge_Male_	190
76	Euclidoris	189
77	Lekol	181
78	PeteO1995	178
79	TheOnlyRake	175
80	TheSecondLord	173
81	Marbz_	163
82	Avrelion	157
83	Xalithia	155
84	ReSynced	146
85	CoffeeNoir	137
86	MoistMicrowave	136
87	Akoot_	134
88	SaucyDark	133
89	CalebDHawk	132
90	_Boipl_	129
90	PlasticOtari	129
92	godipose	128
93	Kekoo	122
94	Ezekson	121
95	Ozixar	120
96	Notta	116
96	Arceus1975	116
96	NomadicRobin_	116
99	SammiWolfGirl	115
100	TinMaster	114
100	Spacewardharpy7	114
102	Y_A_N_N_I	107
103	KeruNatsema	105
104	Hoid_the_Roamer	103
105	teslawolf38	97
106	CharlieButt	96
107	OffWithTheirHead	95
108	annoyingenderman	93
109	theofiel	86
110	NameGenerat0r	85
111	Blackberry1310	84
112	Slinkyy7071	83
112	NNikitas	83
112	SquidZooka2	83
115	Lord_Jord	77
116	Killercatty78	76
117	EMC_	70
118	Russiancat1	69
119	SmashingPump	67
119	KingMatthew506	67
121	lordpipe	64
122	H72l9w	58
123	Kura2218	57
124	rarrq	52
125	thewindmillman	51
125	_Karmaa	51
127	Ssor69	48
128	cheerytomato	46
129	MindyDooWho	45
130	JasmineGK	42
131	YungMaki	39
132	TheShyPig	38
133	PortlyPete69	37
133	_i_ERROR_i_	37
133	ZoomieZoomie	37
136	Mattesco	35
137	smogfrog	34
138	Steelynan	33
139	Typadopoulos	32
140	SyntheticSurgeon	31
141	Alteriity	30
141	selectrix	30
141	Barlycorn	30
141	Kubeusz2010	30
141	anbbang	30
146	Mr_Byzantine	27
147	Ryker	26
147	ThePoliteG	26
147	TheSeismicDuck	26
150	Segotep999	25
151	H0UNDFRMH3LL	24
151	Frozil20	24
151	Deathkob	24
154	SaintJosie	22
155	EcksD	21
156	Dakar_	20
156	Fuad_R	20
158	mwrty	19
159	DarkS0L	17
160	ShedJr_	16
160	NieToksikpl	16
160	minersam1	16
160	censorsheep	16
164	Xclax101	15
165	Inchef	14
165	Rumpletaezer	14
165	_Bguette_	14
