rank	username	minecraft:picked_up/minecraft:nether_sprouts
1	lordpipe	415
2	T045RTY	92
3	Fullut	64
4	Cowison	59
5	noam464	43
6	TheSecondLord	32
7	500am	15
8	SammiWolfGirl	11
9	Kowcio_	9
10	Inchef	5
10	Marbz_	5
12	ooga47	4
12	Soplight	4
14	beeperbeeper5	2
14	DarlaMeow	2
14	Dusk_95	2
14	sp00ky_ghost977	2
18	_Dean_123	1
18	Blaiku	1
18	Luigipunch989	1
