rank	username	minecraft:picked_up/minecraft:warped_button
1	Jackattack53	10235
2	thewindmillman	7922
3	EcksD	3576
4	noam464	1459
5	Hyp3rion_	1346
6	PigDab	884
7	Spacewardharpy7	117
8	12Magner05	109
9	Mattesco	81
10	StarCookiees_	69
11	Dakar_	53
12	doublemaki	37
13	beeperbeeper5	34
14	mihimihimihi	31
15	Mr_Byzantine	19
15	eitanzaki	19
15	Enderxz3	19
18	hanaryheatwave	18
18	Veillax135	18
20	oscminus	16
21	lordpipe	14
22	Legendosh	13
23	luseis	12
24	joethahobo	11
25	pintsizedrogue	10
25	Apollo_993	10
25	EMC_	10
28	teslawolf38	8
29	HolyVenom	7
30	Lutres_	6
30	robonya_	6
32	TheSecondLord	5
32	ConnorDanky_	5
32	Yamdalorian	5
35	_witch_craft_	4
35	Fuad_R	4
35	Soplight	4
35	LuvLuvLove	4
39	Awyrlas	3
39	wx4z	3
39	Eczbek	3
42	bl1ss0	2
42	Akoot_	2
42	_Mythic____	2
42	Ezekson	2
46	CLG_Kata	1
46	Huwulling	1
46	Lez_	1
46	kekhon	1
46	Smashic	1
46	Xalithia	1
46	Gab4101	1
46	Manaateee	1
46	blackeemperor	1
46	Kowcio_	1
46	djancak	1
46	VittoValenttino	1
46	EngagedGrub41	1
46	Jimb0nat0r	1
