rank	username	minecraft:picked_up/minecraft:deepslate_tiles
1	thewindmillman	16449
2	Hyp3rion_	12021
3	mihimihimihi	3724
4	00000000-0000-0000-0009-01ff0c3e5e4f	2845
5	Mattesco	1171
6	Fuad_R	1153
7	500am	935
8	SvenskaHugo	868
9	iSammael	809
10	pintsizedrogue	788
11	fade_emerge78823	767
12	RebelAndroid	726
13	RoskobiOne	710
14	AdmiralSmoke	671
15	ImpavidArcher	657
16	ZoomieZoomie	627
17	Winklepicker279	520
18	beeperbeeper5	439
19	k_ce	433
20	TheSecondLord	410
21	PlasticOtari	368
22	Kowcio_	295
23	tsitrawhy	289
24	hm947	275
25	lordpipe	231
26	Jimb0nat0r	206
27	thebaddruid	204
28	PigDab	192
29	Manaateee	191
30	Ezekson	190
31	Jackattack53	187
31	groofles	187
33	JETrotter	185
34	Wowful	172
35	prizm_	153
35	fw3xy74	153
37	YungMaki	147
38	LeEricc	139
39	Solar_Power	137
39	Elastiq	137
41	Steelynan	135
42	Lutres_	122
43	Deathkob	114
44	MineMaster0012	107
45	rarrq	101
46	Huwulling	98
47	EMC_	95
48	12Magner05	90
48	Dakar_	90
48	pixelviolin	90
51	Felenov	79
52	Mahoose	75
53	Crowman1	72
54	Mr_Byzantine	68
54	StinkyDiplomat	68
56	Mookle96	65
57	Iamthejo	64
58	HoltGrim	52
58	bearlystraight	52
60	Touched_Bread	47
61	teslawolf38	46
62	sp00ky_ghost977	41
63	non089	40
64	CaracolCxnt	36
64	benediktine1	36
64	_Boipl_	36
67	SquadMonster	33
68	Arceus1975	29
69	Weepingbiel	26
70	joethahobo	25
70	Pofen	25
70	FreakGenius	25
73	_i_ERROR_i_	22
74	Enderxz3	21
75	Inchef	20
76	jessewegottacook	19
77	Krowuss	18
78	Sleepy_Time_	17
79	MrKrabOnCoke	16
79	AltnumberF4	16
81	NATE_the_HALO	15
82	Alteriity	14
82	Moofyman	14
84	LeGold	13
84	luseis	13
84	Methalox1	13
87	Legendosh	11
88	Segotep999	10
89	Jimi7hits	9
89	Spacewardharpy7	9
91	PazinGaming	8
91	hanaryheatwave	8
93	Lez_	7
93	Megarboh	7
93	fluddd	7
96	arvous	6
96	Mr_Sun15	6
98	Smashic	5
98	Pineapplesugr	5
98	Eczbek	5
98	skrongus	5
102	ECstardust	4
102	Da_Boss_Rani	4
104	H0UNDFRMH3LL	3
104	Apollo_993	3
104	breadbowlgamer	3
104	AlexxO_o	3
104	UCP_TheKingK	3
104	CalebDHawk	3
104	Hermanni__	3
104	mobunni	3
104	RadarHz	3
113	_Huge_Male_	2
113	noam464	2
113	LeonelSalamanca	2
113	SingedBread	2
113	Soplight	2
113	Spenduh	2
119	_stets	1
119	SmashingPump	1
119	diamondgolem35	1
119	itburb	1
119	Axel_Foley	1
119	Blackberry1310	1
119	KGTV	1
119	LeauVox4921	1
119	TheDankPlatypus	1
119	Marbz_	1
119	fReE_bAtWiNg	1
119	longappendage	1
119	Jonafrog99	1
119	The_Fulgurator	1
119	Skylord_Luke	1
119	ApophisNova	1
119	Lord_Jord	1
119	Toasty_Tom	1
119	DarkS0L	1
119	NameGenerat0r	1
119	MAns_44	1
119	Nycteus_	1
119	Lord_Doob	1
119	ItsDeltaMC	1
119	Meeerkat	1
119	IdeallyGrey	1
119	SkinnyBois	1
119	SpacesickPrism	1
119	MyNamaSheff	1
