rank	username	minecraft:picked_up/minecraft:stripped_oak_wood
1	Zythose	363
2	noam464	324
3	Smoke____	261
4	PlasticOtari	212
5	Mahoose	184
6	Rebytre	118
7	CalebDHawk	96
8	Werbe	72
9	Inbefour	59
10	TheShyPig	43
11	EveryonesUncle	42
12	pintsizedrogue	35
13	Merv__	27
14	oxfordschool	21
15	PigDab	19
16	MyNameIsDakar	17
17	Spenduh	10
18	500am	8
18	Bumpy419	8
18	El_Jalapeno	8
18	Kowcio_	8
22	ImpavidArcher	7
22	Felenov	7
22	MightyWertu	7
25	M_Patata	6
25	Freak_Genius	6
25	MasterNueve	6
25	little_dUki	6
25	Oxygen16	6
30	rarrq	5
30	cowgirlkasia	5
32	EMC_	4
32	Frxnkz	4
32	kekhon	4
32	_naturell	4
32	Akoot_	4
32	NameGenerat0r	4
32	SammiWolfGirl	4
32	Ezekson	4
40	joethahobo	3
40	Stiar	3
40	Lord_Jord	3
40	proxivitoid	3
40	DanTheBuilderino	3
40	Groundler	3
40	Luigipunch989	3
40	Steelynan	3
48	Alteriity	2
48	oreee	2
48	SteveCraftBlocks	2
48	Smashic	2
48	MyNameIsJobo	2
48	Onennon	2
48	Kubeusz2010	2
55	Louiis123	1
55	soundad	1
55	Yatitay	1
55	m_be9	1
55	Enigma0251	1
55	Fullut	1
55	emrekn	1
55	CaptainBadKid	1
55	ImDisconnected_	1
55	Skylord_Luke	1
55	FishyBoy3811	1
55	Dan_Scha	1
55	Leyna3	1
55	master9067	1
55	Quaintster	1
55	Spacewardharpy7	1
55	Soplight	1
55	Poppy235	1
