rank	username	minecraft:picked_up/minecraft:red_sandstone_slab
1	Legendosh	112
2	Groovy_MoonBird	57
3	RatatJuice	42
4	skitzxo	38
5	ProfessorBee	24
6	ImpavidArcher	20
7	El_Jalapeno	12
7	Steelynan	12
9	beeperbeeper5	8
10	Mahoose	6
10	HellsSponge	6
12	TheShyPig	5
13	kekhon	2
13	asspharte	2
13	crashomon	2
16	pintsizedrogue	1
16	Frozil20	1
16	FreakGenius	1
