rank	username	minecraft:picked_up/minecraft:copper_ore
1	gcaisawesome	3356
2	Ezekson	2521
3	Enderslayerxz3	2321
4	thewindmillman	1996
5	PlasticOtari	1303
6	TheSecondLord	1116
7	EMC_	880
8	pintsizedrogue	852
9	500am	826
10	pixelviolin	722
11	Hyp3rion_	542
12	Smoke____	413
13	MilleGrug	375
14	SingedBread	323
15	MinttyFressh	301
16	Flores991	297
17	Mahoose	272
18	beeperbeeper5	241
19	Hermanni__	239
20	Mattesco	225
21	Ryker	220
21	Jackattack53	220
23	RebelAndroid	219
24	Spacewardharpy7	196
25	SvenskaHugo	189
26	Jimi7hits	188
27	EveryonesUncle	176
28	Segotep999	173
29	MSK__	155
30	Kakolbus	138
31	dartwaffle	136
32	Soplight	133
33	Miko_Fullbuster	129
34	ApophisNova	115
34	MyNamaSheff	115
36	Freak_Genius	97
37	Steelynan	93
38	SuperPooch06	86
39	Inchef	76
40	YungMaki	71
40	EcksD	71
42	eitanzaki	70
43	Quotary	67
44	Jiminie	66
45	12Magner05	63
46	BronkerBrum	58
47	Winklepicker279	53
48	RoskobiOne	45
48	PigDab	45
50	Kowcio_	41
51	diamondgolem35	40
51	NomadicRobin_	40
53	Smashic	39
54	jcool7	38
55	Legendosh	37
56	noam464	36
56	MAns_44	36
58	WYFYoyo	35
59	Megarboh	31
59	Dan_Scha	31
61	_stets	29
62	Deathkob	28
63	verynothing	23
64	lordpipe	21
65	Xalithia	20
65	Rebytre	20
67	IronArshXS	19
67	Steven1282598	19
67	wwwwinnebagoooo	19
67	Eczbek	19
71	tuckerdoodle	16
71	kyouma777	16
71	RadarHz	16
74	Skylord_Luke	15
74	little_dUki	15
76	IdeallyGrey	14
76	UCP_TheKingK	14
78	Merv__	13
78	ImpavidArcher	13
78	rarrq	13
81	CoffeeNoir	11
81	hcb238	11
83	2blox	10
84	Arceus1975	8
84	GlitchyPlate810	8
86	Sheldor097	7
87	4383	6
87	Ze_BaronKrigler	6
87	KG1999	6
90	AuroraSkies	5
90	_Karmaa	5
92	hm947	4
92	_Dean_123	4
92	Marbz_	4
92	lizardfightclub	4
92	yulgur1	4
92	ItsDeltaMC	4
98	Masssonnn	3
98	Akoot_	3
100	SquadMonster	2
100	Toriankel	2
100	Physics_Breaker	2
103	Drlzyy	1
103	AltnumberF4	1
103	trexgb	1
