rank	username	minecraft:picked_up/minecraft:honey_bottle
1	noam464	69886
2	thewindmillman	20428
3	EcksD	20041
4	Fullut	1531
5	beeperbeeper5	164
6	TheTommyGun63	112
7	HellsSponge	109
8	lillips	105
9	YungMaki	99
10	pintsizedrogue	96
11	eitanzaki	73
12	Di_infiri	69
13	Soplight	62
14	EcksDofficial	61
15	kekhon	56
16	jnp_gaming	47
17	PortlyPete69	39
18	PhantomsGhost_	37
18	Akoot_	37
20	Merv__	36
21	I_Am_Mushkin	34
21	Werbe	34
21	Freak_Genius	34
21	Eraxa	34
25	rarrq	31
25	Nicserso	31
27	Frozil12	29
28	EMC_	28
29	NameGenerat0r	25
29	kinas45y5	25
31	Razzgriz	22
32	stavgod	20
33	Mahoose	19
33	Blaiku	19
35	Froste131	17
36	set67	16
36	Spacewardharpy7	16
38	Inbefour	15
39	Chromary	13
40	Jovaphobic	12
40	Sral7	12
42	Jiminie	10
43	TheSecondLord	9
43	Rebytre	9
45	Blackberry1310	8
45	masskedman	8
47	Steelynan	7
48	ImpavidArcher	6
48	Ryker	6
48	ShedJr_	6
48	censorsheep	6
48	fluddd	6
53	thescout7	5
53	monky_irl	5
53	djancak	5
53	Smoke____	5
57	NomadicRobin_	4
57	claivin	4
57	CalebDHawk	4
60	GLLogan2	3
60	mwrty	3
60	Xalithia	3
60	r123moore	3
60	MangoTheFish	3
60	Afinnity	3
60	Eczbek	3
67	Groovy_MoonBird	2
67	6king6colt6	2
67	Awyrlas	2
67	XboxPanda	2
67	gabriels543	2
67	Jackattack53	2
67	Kouridragon	2
67	TheShyPig	2
67	ese_wn_po	2
67	EveryonesUncle	2
67	Deathkob	2
67	DarlaMeow	2
67	StinkyDiplomat	2
67	SammiWolfGirl	2
67	Kubeusz2010	2
82	Mowelan	1
82	KarlKaek	1
82	hm947	1
82	T045RTY	1
82	joethahobo	1
82	Gooberkid223	1
82	_Dean_123	1
82	egglapras	1
82	ketaminmann	1
82	Marbz_	1
82	fr_ser	1
82	Arceus1975	1
82	Skylord_Luke	1
82	Fuhrer_Teemo	1
82	LexMakesHistory	1
82	Nycteus_	1
82	lordpipe	1
82	somegirl12_	1
82	Sheldor097	1
82	xX_Stalin69_Xx	1
82	KingMatthew506	1
82	Hermanni__	1
82	alderban107	1
82	Zoeyfortnite	1
82	h2p_emrld	1
82	diggydog67	1
