rank	username	minecraft:picked_up/minecraft:waxed_weathered_copper_bulb
1	Buuck_	10
2	Spaghettatron	9
3	thewindmillman	3
4	Mr_Byzantine	2
4	MattieHD	2
6	Eczbek	1
