rank	username	minecraft:picked_up/minecraft:shelter_pottery_sherd
1	j5ylim	8
2	Jimb0nat0r	7
3	Jackattack53	6
4	Alteriity	5
4	Huwulling	5
6	pintsizedrogue	4
6	ZaneABrain	4
8	k_ce	3
8	beeperbeeper5	3
8	TheSecondLord	3
8	Kakolbus	3
8	Enderxz3	3
13	ECstardust	2
13	Fullut	2
13	MAns_44	2
13	pixelviolin	2
13	Steelynan	2
13	TheBananaKat	2
19	Mr_Byzantine	1
19	oscminus	1
19	Kowcio_	1
19	MineMaster0012	1
