rank	username	minecraft:picked_up/minecraft:acacia_sign
1	beeperbeeper5	537
2	Smoke____	225
3	Jackattack53	132
4	Werbe	121
5	eitanzaki	109
5	Blaiku	109
7	Hoid_the_Roamer	90
8	Mahoose	89
9	ProfessorBee	75
9	Powowowow	75
11	Euclidoris	68
12	Blu3beast	63
13	Karetoko	52
13	Meatlaugh	52
15	jcool7	43
16	Soplight	39
17	youhjjhhhjj	37
18	dopplexd	36
19	ApophisNova	34
19	MyNamaSheff	34
21	Notta	32
22	Merv__	31
22	ImpavidArcher	31
22	TheShyPig	31
25	Hiryu27	30
26	kekhon	28
27	EcksDofficial	26
28	PhantomsGhost_	25
28	Kynigito	25
30	stahouo	24
31	r123moore	23
31	YungMaki	23
31	fffMike	23
34	thescout7	22
34	Kakolbus	22
36	laron58	21
37	_TCARREIRA_	20
38	TheSecondLord	19
38	Soul_Atreus	19
40	KarlKaek	15
40	2Stout	15
40	MyNameIsJobo	15
40	Steelynan	15
40	MeetTheWollo	15
45	DarlaMeow	14
46	ShedJr_	13
46	Hyp3rion_	13
48	Awyrlas	12
48	ROY4LE	12
48	Akoot_	12
48	Spenduh	12
52	Groovy_MoonBird	11
52	Franco093	11
52	joethahobo	11
52	Scathra	11
52	chipklip	11
52	KingMatthew506	11
52	oxfordschool	11
52	h2p_emrld	11
60	Frozil20	10
60	awesomeoneme	10
60	Blackberry1310	10
60	eviltunix	10
60	Di_infiri	10
60	HellsSponge	10
60	Toriankel	10
60	IAmTheWalrus910	10
60	Dreamdbr14	10
60	PlasticOtari	10
70	JEWISHBadenBeele	9
70	SaucyDark	9
70	Jiminie	9
73	6king6colt6	8
73	jushykins	8
73	mariominejedi	8
73	Onennon	8
73	Legendosh	8
73	TechnoNinja64	8
79	Batman922	7
79	Rox_The_Box	7
79	Doom_melon	7
79	PigDab	7
79	jewbacaman	7
84	Mr_Byzantine	6
84	Zedducius	6
84	Rich_Kat	6
84	ThePoliteG	6
84	Flapjacker687	6
84	Arceus1975	6
84	Chuvacevedo	6
84	claivin	6
84	Freak_Genius	6
84	fluddd	6
84	lordpipe	6
84	underscore_2	6
84	tartanboy	6
97	pintsizedrogue	5
97	T045RTY	5
97	hzs91	5
97	Vizzoid	5
97	12Magner05	5
97	500am	5
97	audiocracked	5
97	KlausVonStiglitz	5
97	The_slideV3	5
97	Eraxa	5
97	Njensen7	5
97	Kubeusz2010	5
97	cichy096	5
97	smogfrog	5
97	FelixPSY375	5
112	Dogbound	4
112	PlasticPrinter	4
112	Malorn_Aetherius	4
112	_Dean_123	4
112	Fullut	4
112	NomadicRobin_	4
112	NameGenerat0r	4
112	Racengan	4
112	SammiWolfGirl	4
112	xX_Stalin69_Xx	4
112	Vellu21	4
112	EcksD	4
112	jnp_gaming	4
112	kinas45y5	4
126	KingFaenor	3
126	TheMilkerOfCats	3
126	Dedalus36	3
126	baxteerr	3
126	Auseawesome	3
126	noam464	3
126	eiC_	3
126	fr_ser	3
126	ChillenChiggen	3
126	AnnieBathory	3
126	Gryglu583	3
126	Deodorante	3
126	_Bguette_	3
126	560cool	3
126	JoCoLi	3
126	MakeHistory157	3
126	starbits140	3
126	PlzNoBM	3
126	ZeroKraken	3
126	Dr0xzy	3
126	561cool	3
147	Mocha_Mug	2
147	peach0s	2
147	bloodbiter	2
147	set67	2
147	DirtyBoar	2
147	Zaridey	2
147	Snowflowe	2
147	Bumpy419	2
147	RobotMinion101	2
147	Yaffs_OG	2
147	ooga47	2
147	wrinkledpiglet	2
147	Nicky19	2
147	valkam13	2
147	SkateboardR6	2
147	WyngGoy	2
147	sp00ky_ghost977	2
147	Seindi	2
147	Enderslayerxz3	2
166	Alexanderjac	1
166	ProbablyNick	1
166	caltosy	1
166	xXTheWolfmanXx	1
166	bigstankyy	1
166	BlancoFlaco	1
166	RebelAndroid	1
166	LionelHutzESQ	1
166	CoffeeNoir	1
166	Myszoaz	1
166	Cryptacity	1
166	Hamsanders	1
166	redikul	1
166	bustinmyeyes	1
166	Inchef	1
166	gcaisawesome	1
166	Noah_Bez	1
166	loveseeker	1
166	gabriels543	1
166	SuperPooch06	1
166	Rumpletaezer	1
166	lahavmor	1
166	Skylord_Luke	1
166	Corbsman	1
166	TheWildMateo	1
166	Chrisdeadeye	1
166	fred870d	1
166	Shiirazuku	1
166	cedric72	1
166	__dlo__	1
166	Lord_Jord	1
166	yulgur1	1
166	Inbefour	1
166	duqboy	1
166	Holden_17	1
166	LexMakesHistory	1
166	Shogunite	1
166	SeagullRedRover	1
166	Spacewardharpy7	1
166	OfficialDrewie	1
166	Strangemonkey71	1
166	rejenita	1
166	lcvezra	1
166	bitsplease	1
166	erkada	1
166	Skippeh	1
166	TitanCrafting	1
166	Ezekson	1
166	Lowjinx	1
166	Sral7	1
