rank	username	minecraft:picked_up/minecraft:spruce_slab
1	pintsizedrogue	7376
2	EMC_	6409
3	Onennon	4967
4	El_Jalapeno	4908
5	Legendosh	4277
6	Ezekson	4073
7	EveryonesUncle	3444
8	xolstoi	3416
9	Kakolbus	3302
10	Barlycorn	2787
11	Eraxa	2631
12	Mahoose	2532
13	rarrq	2468
14	kekhon	2414
15	500am	2330
16	Kowcio_	2305
17	Steelynan	2239
18	beeperbeeper5	2100
19	Hermanni__	2060
20	burbankbuilder28	1955
21	TheShyPig	1876
22	Snowflowe	1702
23	Merv__	1616
24	Smoke____	1506
25	ImpavidArcher	1431
26	SvenskaHugo	1419
27	TheSecondLord	1405
28	Historical_Sand	1386
29	_Dean_123	1368
30	PlasticOtari	1237
31	ApophisNova	1218
31	MyNamaSheff	1218
33	Soplight	1204
34	m_be9	1159
35	Groundler	1096
36	MyNameIsJobo	1069
37	luseis	1054
38	Cowison	1052
39	_Razaria	1025
40	SaintJosie	998
41	Hpdinosaur	997
42	Akoot_	978
43	fkGrim	968
44	PigDab	965
45	MirielThePastor	939
46	Rumpletaezer	918
47	RobotMinion101	912
48	Racengan	885
49	xxPipperDipperxx	840
50	OfficerAnvil	838
51	PortlyPete69	831
52	Winklepicker279	821
53	FreakGenius	811
54	Blackberry1310	785
55	KarlKaek	778
56	Skippeh	776
57	Fullut	758
58	diamondgolem35	752
59	Chromary	707
60	ConnorDanky_	696
61	_Karmaa	691
62	wwwwinnebagoooo	686
63	diggydog67	683
64	Groovy_MoonBird	677
65	MyNameIsDakar	669
66	Frozil20	652
67	Jackattack53	651
68	Hyp3rion_	643
69	Arceus1975	620
70	RatatJuice	614
71	HellsSponge	611
72	joethahobo	605
73	Huwulling	592
74	DarlaMeow	583
75	MovingFish7	580
76	NoChumpChange	555
77	Dusk_95	542
78	PhantomsGhost_	512
79	Xclax101	481
80	Cryptacity	475
81	pixelviolin	452
82	Ze_BaronKrigler	446
83	Natty	445
84	Kkanot	441
84	ogoa	441
86	Zythose	431
87	CoffeeNoir	427
88	Lez_	417
89	AuroraSkies	397
89	claivin	397
91	lcvezra	396
92	Tommhh	393
93	_stets	386
94	BlancoFlaco	371
94	G1ldor	371
96	Inchef	366
97	Deathkob	363
98	SmashingPump	358
99	Blu3beast	355
100	Jackster03	347
100	Enderxz3	347
102	6king6colt6	345
103	Spacewardharpy7	339
104	Jokerman369	336
105	titanlax	335
106	BreadBacon	329
107	Ssor69	326
107	redikul	326
109	set67	322
110	Rebytre	316
110	Meatlaugh	316
112	BlueZabu	313
112	Shogunite	313
114	thescout7	312
115	yaboo88	311
116	SquadMonster	309
117	anbbang	306
118	mwrty	298
118	FishyBoy3811	298
120	gaziter10	295
121	monolu	294
122	Di_infiri	288
123	fffMike	286
124	halfbakedlasagna	285
125	Mr_Byzantine	277
126	BartekB19	276
127	Fildyr	275
128	NoxxxxiS	273
129	groofles	264
130	YungMaki	253
131	NotMeanttoChange	252
132	LazySupport00	250
133	w3nd3lbo3	249
134	Dreamdbr14	234
135	Hanselhoof	231
135	DarkS0L	231
137	SpaceGrenadier	228
137	ProfessorBee	228
137	SlayerCrypto	228
137	sammidk	228
141	obzii	227
142	Lord_Jord	225
143	bigstankyy	223
143	MrKrabOnCoke	223
143	__Fanda__	223
146	NebulousBadger	222
147	pappaberg	221
148	Ailmast	220
149	MilleGrug	218
150	Luigipunch989	214
151	Skylord_Luke	213
152	Stiar	209
153	TooManyDuck	208
