rank	username	minecraft:picked_up/minecraft:dead_fire_coral_fan
1	noam464	88
2	Di_infiri	75
3	joethahobo	58
4	HellsSponge	40
5	Mahoose	24
6	fffMike	23
7	beeperbeeper5	13
8	PigDab	11
9	Blackberry1310	10
10	PortlyPete69	8
11	Blaiku	6
11	Soplight	6
13	TheSecondLord	5
13	thewindmillman	5
15	pintsizedrogue	4
15	RobotMinion101	4
17	eitanzaki	3
17	Factoroni	3
19	domagawha	2
19	Rebytre	2
19	fkGrim	2
19	Spacewardharpy7	2
19	Dusk_95	2
24	titanlax	1
24	Winklepicker279	1
24	SuperPooch06	1
24	Bumpy419	1
24	Onennon	1
24	NameGenerat0r	1
24	Quaintster	1
