rank	username	minecraft:picked_up/minecraft:seagrass
1	HellsSponge	3758
2	thewindmillman	2858
3	500am	2474
4	pintsizedrogue	1546
5	noam464	1343
6	kekhon	1241
7	Mahoose	1144
8	TheOnlyRake	1025
9	SSytex_X	981
10	Eraxa	964
11	beeperbeeper5	900
12	Smoke____	886
13	claivin	875
14	Racengan	778
15	SingedBread	754
16	Comma__	717
17	TechnoNinja64	643
18	jambvds	641
19	loveseeker	628
20	Nicky_H225	622
21	ImpavidArcher	593
22	TheShyPig	578
23	SaucyDark	577
24	h2p_emrld	544
25	Drlzyy	537
26	Deathkob	495
27	Blackberry1310	480
28	Bumpy419	450
29	Kubeusz2010	418
30	Nagasaki_Riku	394
31	T045RTY	386
32	Marbz_	383
33	Hiryu27	350
34	Legendosh	347
35	Fizznut909	343
36	Groovy_MoonBird	327
37	Arceus1975	322
38	eitanzaki	301
39	Pickel_Lord	296
40	YungMaki	277
41	Huic_ostiarius	272
42	SammiWolfGirl	263
43	imaginek1d	261
44	El_Jalapeno	254
45	PigDab	248
46	Freak_Genius	247
47	egglapras	246
48	Fullut	244
49	Hyugo	231
50	Sheldor097	219
51	H72l9w	218
52	reaperface123	216
53	Moetis	214
54	RoskobiOne	212
55	lcvezra	197
56	wezzzi	192
57	Reamdin	185
58	xxPipperDipperxx	179
58	EcksDofficial	179
60	Ardennes	178
61	cedric72	177
62	Luigipunch989	174
63	eiC_	171
64	Covalents	170
65	mwrty	168
66	JayToe	161
67	youhjjhhhjj	160
68	Xclax101	152
69	The_slideV3	146
70	q_wq	145
71	AuroraSkies	141
72	KeruNatsema	139
73	Quotary	137
74	RebelAndroid	124
74	Seyaboy	124
76	Voxin2K	121
77	Hyp3rion_	119
78	Stynxy	107
78	Werbe	107
80	DarlaMeow	104
81	bloodbiter	101
82	Atroxes	99
83	DanTheBuilderino	96
83	KingMatthew506	96
85	djancak	94
86	AuroraValkyrie	93
86	sandmire	93
88	Rumpletaezer	92
89	chlorinex	91
90	Segotep999	90
90	Soplight	90
92	oxfordschool	88
92	Zoeyfortnite	88
94	DarkLawD	84
95	Da_Boss_Rani	83
95	titanlax	83
97	The_SlideV5	82
98	robotemo	81
99	Maenara	80
99	Akoot_	80
101	XxCookiequeenxX	78
101	IAmTheWalrus910	78
103	TheSecondLord	74
104	jcool7	73
105	Onennon	72
106	hollowww	71
107	KomputerDude	70
108	Paleshield	69
109	aikabot	68
110	Euclidoris	67
110	2Stout	67
112	bigstankyy	65
112	Blu3beast	65
114	EveryonesUncle	64
114	MakeHistory157	64
116	ItsAki_	63
117	cowgirlkasia	60
118	TooManyDuck	59
119	CoffeeNoir	56
119	theofiel	56
121	MyNameIsJobo	55
122	ShedJr_	54
122	John6970	54
124	surfinggiraffejp	53
124	chipklip	53
126	Erased_Identity	52
127	MangoTheFish	49
128	_Virify_	48
128	TheSeismicDuck	48
128	GravitySaint	48
131	EfficientC52	47
132	Frozil12	46
132	Kiki_Majiki	46
134	IdeallyGrey	44
134	__tomato	44
134	Wolverine4302	44
137	QueenShuvi	42
137	Ezekson	42
139	Froste131	41
139	ewsophie	41
141	Awyrlas	39
142	BodaciousCake	38
142	_TCARREIRA_	38
144	Jackster03	36
145	Jiminie	35
146	NameGenerat0r	34
147	12Magner05	32
147	Xalithia	32
149	Giannism	31
150	LokisCharredFace	29
151	SteveWithClout	28
151	Seashimi	28
153	_Minnty_	27
153	CrateOfBoxes	27
153	ApophisNova	27
153	Steelynan	27
153	MyNamaSheff	27
158	Dusk_95	26
158	xX_Stalin69_Xx	26
158	diggydog67	26
161	JohnnyFyes	25
161	MattieHD	25
161	TheDiamondCG	25
161	RodSerlingCringe	25
161	Jiminbub	25
166	ROY4LE	24
166	fred870d	24
166	Fuhrer_Teemo	24
166	Winston_Ingram	24
170	Dedalus36	23
171	Bandito_Roamer	22
171	XboxPanda	22
171	Jackattack53	22
171	2blox	22
175	MOSS000	21
175	valiSW	21
175	smogfrog	21
175	Powowowow	21
179	Inchef	20
180	_Karmaa	19
180	Warlord324	19
180	pixelviolin	19
180	obzii	19
180	Drawgirll	19
180	YoshikageBites	19
186	hm947	18
186	tuckerdoodle	18
186	NinjaKnifeKill	18
186	markaus77	18
190	ColeSnyder	16
190	livingdaydreams	16
190	IWorkAtIkea	16
193	ADEXTV	15
193	pi_E_	15
195	gabriels543	14
195	_Cloverbelle_	14
195	Typadopoulos	14
