rank	username	minecraft:picked_up/minecraft:arrow
1	TechnoNinja64	17420
2	Hyp3rion_	12705
3	lordpipe	11578
4	HellsSponge	11177
5	Smoke____	8953
6	noam464	8292
7	beeperbeeper5	7915
8	Blaiku	7460
9	El_Jalapeno	6723
10	Ezekson	6693
11	MightyWertu	6211
12	pintsizedrogue	5844
13	eitanzaki	5505
14	Akoot_	5369
15	TheShyPig	5238
16	Jackattack53	5097
17	thewindmillman	4914
18	Spacewardharpy7	4540
19	Freak_Genius	4334
20	joethahobo	4270
21	rarrq	4242
22	kekhon	3793
23	Frozil12	3489
24	Di_infiri	3487
25	SingedBread	3371
26	Fullut	3359
27	Werbe	3229
28	censorsheep	3131
29	PigDab	3096
30	Jiminie	3018
31	YungMaki	2985
32	Eraxa	2898
33	Blackberry1310	2778
34	aec9	2721
34	sp00ky_ghost977	2721
36	eviltunix	2697
37	Mahoose	2682
38	MattieHD	2617
39	PortlyPete69	2612
40	Steelynan	2486
41	chipklip	2215
42	Zythose	2195
43	KarlKaek	2176
44	EveryonesUncle	2118
45	RodSerlingCringe	1977
46	Smashic	1936
47	Deerfoot	1894
48	Snowflowe	1891
49	thescout7	1843
50	SammiWolfGirl	1708
51	PhantomsGhost_	1688
51	Enderslayerxz3	1688
51	Legendosh	1688
54	Masssonnn	1679
55	oxfordschool	1623
56	ROY4LE	1610
57	Jovaphobic	1592
57	Soplight	1592
59	TheSecondLord	1560
60	BilboBaggins23	1529
61	EMC_	1526
62	NomadicRobin_	1509
63	gabriels543	1481
64	Nach0Bear	1451
65	Njensen7	1442
66	Chromary	1420
67	Blu3beast	1419
68	EcksD	1402
69	RebelAndroid	1400
70	gcaisawesome	1350
71	Bumpy419	1348
72	fffMike	1300
73	ebanana	1254
74	CalebDHawk	1217
75	claivin	1211
76	Xclax101	1154
77	ooga47	1122
78	Kakolbus	1111
79	Cowison	1092
80	Kamflame10	1091
81	Lord_Jord	1083
82	__tomato	1078
83	Miko_Fullbuster	1045
84	500am	1033
85	lcvezra	1032
86	Maenara	992
87	fred870d	958
88	Mewar	952
89	set67	947
90	Skippeh	923
91	T045RTY	918
91	m_be9	918
93	Rumpletaezer	913
94	stahouo	893
95	Deathkob	887
96	Winklepicker279	881
97	QueenShuvi	879
98	Groovy_MoonBird	868
98	6king6colt6	868
100	Kubeusz2010	857
101	Segotep999	851
102	jnp_gaming	828
103	Racengan	823
104	lillips	815
105	eiC_	810
106	M_Patata	801
107	_Dean_123	795
108	ImpavidArcher	782
109	CoffeeNoir	777
110	MasterNueve	763
111	Giannism	762
112	Typadopoulos	759
113	fanofbands101	756
114	Quotary	751
115	Bandito_Roamer	740
116	PlasticOtari	731
117	MyNameIsJobo	716
118	pixelviolin	715
119	LordSpeed37	710
120	EcksDofficial	685
121	FishyBoy3811	681
122	Arceus1975	680
123	Historical_Sand	672
124	Deodorante	668
125	Inchef	658
126	ApophisNova	648
126	MyNamaSheff	648
128	Kowcio_	647
129	Freedrik	644
130	Inbefour	642
131	q_wq	640
132	Cryptacity	639
132	Fildyr	639
134	AlphaWolfPlaysMC	638
135	Zoeyfortnite	631
136	NameGenerat0r	630
137	soundad	623
138	h2p_emrld	621
139	Hisiste	617
140	JayToe	613
141	GravitySaint	611
142	Euclidoris	609
143	Groundler	601
144	Merv__	600
145	Awyrlas	597
146	wezzzi	590
147	Airem_Core	585
148	MilleGrug	582
149	_Karmaa	573
149	Nicserso	573
151	TheSeismicDuck	570
152	Onennon	566
153	Zaridey	548
154	xxPipperDipperxx	542
155	_naturell	538
156	Spenduh	537
157	_TCARREIRA_	536
158	WET_WET_WET	535
159	vandmanden	534
160	WavyGravy_	532
161	Optiprimus	530
162	fluddd	529
163	AuroraValkyrie	527
164	bloodbiter	521
165	Ssor69	515
166	mwrty	511
167	The11thDoctor	508
168	TooManyDuck	506
169	Meatlaugh	499
170	Sky_light_KING	497
171	Rebytre	496
171	BreadBacon	496
173	_Virify_	492
174	OfficerAnvil	480
175	Natty	477
176	SuperPooch06	471
176	geekbird	471
178	r123moore	468
179	laron58	462
180	SvenskaHugo	460
180	obzii	460
182	youhjjhhhjj	457
183	Hpdinosaur	451
183	SellyZ	451
185	PlzNoBM	449
186	Drlzyy	447
186	himak1	447
186	IAmTheWalrus910	447
186	Powowowow	447
190	Sral7	446
191	SkateboardR6	441
192	diamondgolem35	440
193	The_slideV3	439
194	FirsTimeGamingTV	438
195	MeetTheWollo	434
196	Katthaj	431
197	diggydog67	429
198	Dusk_95	423
199	UrbanPlanner1978	420
200	djancak	414
201	Ryker	412
202	mariominejedi	408
203	SunsetwolfGG	404
204	SSytex_X	402
205	Barlycorn	401
206	LilLizardWizard	398
206	monky_irl	398
208	Nicky_H225	396
209	12Magner05	392
210	Luigipunch989	386
211	Wooptey	385
212	Xalithia	384
213	ProfessorBee	383
