rank	username	minecraft:picked_up/minecraft:ancient_debris
1	EcksD	17343
2	thewindmillman	2935
3	NomadicRobin_	2587
4	Enderslayerxz3	1425
5	Dedalus36	1353
6	Smoke____	713
7	bigstankyy	553
8	Smashic	539
9	HolyVenom	501
10	noam464	443
11	KG1999	425
12	TheSecondLord	414
13	set67	410
14	Yatitay	396
15	eitanzaki	363
16	Winklepicker279	339
17	_Yonk_	314
18	Fullut	288
19	Strangemonkey71	275
20	500am	274
21	MinttyFressh	262
22	beeperbeeper5	245
23	Segotep999	232
24	RadarHz	218
25	Hyp3rion_	212
26	MSK__	208
27	Kowcio_	204
28	Racengan	194
29	_Virify_	186
30	BlancoFlaco	185
31	fw3xywashere	173
32	jnp_gaming	171
33	Rebytre	165
34	bloodbiter	163
34	PigDab	163
36	thescout7	162
37	Chromary	150
37	SingedBread	150
39	SkateboardR6	145
40	_NieToksikpl_	143
41	PortlyPete69	140
42	r123moore	133
42	Skylord_Luke	133
44	NinjaKnifeKill	131
45	PlasticOtari	130
46	KartivGal	129
47	Jackattack53	128
48	kekhon	121
49	Miko_Fullbuster	120
50	gabriels543	116
51	RebelAndroid	115
52	YungMaki	111
53	rarrq	109
53	MightyWertu	109
55	PhantomsGhost_	106
55	Blaiku	106
57	JEWISHBadenBeele	105
58	T045RTY	103
59	Zythose	100
60	mwrty	99
61	Nicky_H225	98
62	Nycteus_	97
63	pintsizedrogue	96
64	joethahobo	93
65	oxfordschool	92
66	Menthas	87
67	12Magner05	85
67	monky_irl	85
69	Drlzyy	80
69	EveryonesUncle	80
71	Snowflowe	78
72	Spacewardharpy7	74
73	livingdaydreams	73
73	Freak_Genius	73
73	fffMike	73
76	SuperPooch06	72
76	fred870d	72
78	ToastedGamingYT	70
79	Fuad_R	68
80	diggydog67	65
81	jacxhadow	64
82	Ezekson	63
83	Dusk_95	61
83	UCP_TheKingK	61
83	SammiWolfGirl	61
86	FirsTimeGamingTV	59
87	nataliecool	57
87	ROY4LE	57
87	TheEnderman548	57
87	Legendosh	57
91	Alteriity	56
92	Mahoose	55
93	Hpdinosaur	54
93	Lord_Jord	54
93	h2p_emrld	54
96	Wooptey	53
97	GlitchyPlate810	52
98	Kakolbus	51
99	RoskobiOne	50
99	NoChumpChange	50
101	CoffeeNoir	49
101	HellsSponge	49
101	Eraxa	49
104	M_Patata	46
104	MasterNueve	46
