rank	username	minecraft:picked_up/minecraft:orange_stained_glass_pane
1	pintsizedrogue	1285
2	beeperbeeper5	684
3	Hoid_the_Roamer	378
4	FreakGenius	352
5	El_Jalapeno	156
6	m_be9	98
7	jacxhadow	74
8	Wowful	70
9	BobDeBouwer1337	63
10	Winklepicker279	60
11	TheShyPig	49
12	Kowcio_	39
13	Mattesco	27
14	jnp_gaming	26
15	Blackberry1310	25
15	Steelynan	25
17	TheSecondLord	24
17	Yamdalorian	24
19	lordpipe	19
20	EMC_	18
21	k_ce	14
21	SuperPooch06	14
21	RebytreGT	14
24	LexMakesHistory	12
25	MangoSalad316	10
26	Chromary	9
27	Lez_	8
28	Groovy_MoonBird	7
28	yheece	7
28	Onennon	7
31	Ryan_GEMS	6
31	UncreativeArtist	6
31	NomadicRobin_	6
31	PlasticOtari	6
35	_Virify_	5
35	eitanzaki	5
35	noam464	5
35	Blaiku	5
39	Hpdinosaur	4
39	luseis	4
41	r123moore	3
42	Merv__	2
42	ShedJr_	2
42	Fullut	2
42	zToasty69z	2
42	NameGenerat0r	2
42	pretty_pink_reno	2
42	Spacewardharpy7	2
42	Eraxa	2
42	Spenduh	2
42	HesDemonPants	2
42	Jimb0nat0r	2
53	ECstardust	1
53	Historical_Sand	1
53	hanaryheatwave	1
53	pappaberg	1
53	EcksD	1
