rank	username	minecraft:picked_up/minecraft:andesite_slab
1	Legendosh	4437
2	Lutres_	2228
3	Mahoose	1644
4	Lord_Jord	1424
5	xolstoi	1142
6	EveryonesUncle	959
7	_Dean_123	848
8	HellsSponge	653
9	PlasticOtari	576
10	Kakolbus	481
11	luseis	469
12	TheSecondLord	436
13	pintsizedrogue	406
14	Cryptacity	392
15	Hermanni__	352
16	FreakGenius	331
17	joethahobo	278
18	Hyp3rion_	226
19	TheShyPig	203
20	Historical_Sand	198
21	ReSynced	179
22	Steelynan	137
23	Stiar	127
24	Cambo5000	117
25	I_Am_Mushkin	109
26	PhantomsGhost_	103
27	FishyBoy3811	98
28	Snowflowe	91
29	Malorn_Aetherius	86
30	oreee	82
31	Shiirazu	77
32	rarrq	71
33	Enderxz3	68
34	AdmiralSmoke	64
35	Kowcio_	61
36	kekhon	60
37	500am	58
38	EcksD	56
39	Huwulling	54
40	epiksk8erduck	50
41	Ezekson	49
42	ApophisNova	47
42	Maenara	47
42	MyNamaSheff	47
45	noam464	43
46	Frozil20	41
46	ColeSnyder	41
48	Tiberonus	40
48	set67	40
50	m_be9	39
50	Jackattack53	39
52	_Meow_Mix	38
52	YungMaki	38
54	ReyTheLegend	35
55	soundad	33
55	Manaateee	33
57	mihimihimihi	30
58	eitanzaki	28
58	cog	28
58	Racengan	28
61	Nycteus_	27
62	Merv__	26
62	Blaiku	26
64	Arceus1975	25
65	EMC_	24
65	IamCL4SSY	24
65	GravitySaint	24
68	Eraxa	20
69	ImNotYuqii	19
69	Shin69	19
71	Blackberry1310	18
71	MonitorLizards	18
71	ogoa	18
71	SvenskaHugo	18
75	CharlieButt	17
75	mawileite	17
77	pixelviolin	15
78	shineh10	14
78	eviltunix	14
78	Cyntrical	14
81	ImpavidArcher	13
81	SteveCraftBlocks	13
81	Chromary	13
81	oscminus	13
81	fkGrim	13
81	claivin	13
87	Cowison	12
87	KingFaenor	12
87	beeperbeeper5	12
87	Ssor69	12
87	heckface	12
87	LibertyMutual	12
87	SpacesickPrism	12
87	Biites	12
95	The_Cruncy	11
95	The_slideV3	11
95	weabis	11
95	PortlyPete69	11
99	diamondgolem35	10
99	Onennon	10
99	Meatlaugh	10
99	Warlord324	10
103	Groovy_MoonBird	9
103	Fullut	9
103	Xalithia	9
103	07shiny	9
103	Jimb0nat0r	9
108	SquadMonster	8
108	Smashic	8
108	yulgur1	8
108	anbbang	8
108	Quotary	8
108	trexgb	8
114	himak1	7
114	xFaiithyX	7
114	Rebytre	7
114	Mattesco	7
114	_Bguette_	7
114	Dakar_	7
114	Matorz	7
114	SkateboardR6	7
114	kyouma777	7
114	IdeallyGrey	7
114	MineMaster0012	7
114	annoyingenderman	7
114	Eczbek	7
114	FelixPSY375	7
128	MunkaKris	6
128	PazinGaming	6
128	q_wq	6
128	jessewegottacook	6
128	12Magner05	6
128	Inchef	6
128	xxPipperDipperxx	6
128	LexMakesHistory	6
128	Quincannon	6
137	Jindong	5
137	T045RTY	5
137	gcaisawesome	5
137	burbankbuilder28	5
137	cedric72	5
137	non089	5
143	Natty	4
143	Di_infiri	4
143	Akoot_	4
143	Soap_Bender	4
143	UCP_TheKingK	4
143	CalebDHawk	4
143	MineCryptian	4
143	Nicserso	4
151	Sleek_Storm_721	3
151	ExtraDumb	3
151	IWorkAtIkea	3
151	TheMaster972	3
151	GLLogan2	3
151	paranoid_plant	3
151	Bumpy419	3
151	Inbefour	3
151	Deerfoot	3
151	wwwwinnebagoooo	3
151	lordpipe	3
151	ayamefag	3
151	starbits140	3
151	MilleGrug	3
151	tartanboy	3
151	smogfrog	3
151	2blox_	3
151	Zoeyfortnite	3
169	Crowvens	2
169	livingdaydreams	2
169	Alteriity	2
169	Lez_	2
169	NieToksikpl	2
169	NotMeanttoChange	2
169	ROY4LE	2
169	prizm_	2
169	iTurbo	2
169	XxCookiequeenxX	2
169	Karbl	2
169	__tomato	2
169	h2p_emrld	2
182	CoffeeNoir	1
182	Arteriana	1
182	Megarboh	1
182	Covalents	1
182	SecretSH	1
182	Rumpletaezer	1
182	Charmyboi	1
182	DreadVegas2k	1
182	TheWildMateo	1
182	DemTechAlpha	1
182	Blu3beast	1
182	Cavetorch	1
182	Bloo2406	1
182	Barlycorn	1
182	MakeHistory157	1
182	OG_Songsee	1
182	Conrad139	1
182	layabout100	1
182	SammiWolfGirl	1
182	Nargotah	1
