rank	username	minecraft:picked_up/minecraft:diorite_slab
1	HellsSponge	731
2	FreakGenius	726
3	Crowman1	640
4	Xalithia	466
5	Mr_Byzantine	388
6	thechoosenone69	383
7	The_SlideV5	378
8	Huwulling	365
9	Kowcio_	353
10	Eraxa	302
11	Mahoose	278
12	Werbe	274
13	Legendosh	273
14	YungMaki	254
15	MrExplorer	239
16	Cryptacity	222
17	rarrq	209
18	Stiar	206
19	CattSoup	165
20	Jackattack53	114
21	himak1	106
21	Zythose	106
23	EMC_	87
24	Enderxz3	84
25	DanTheBuilderino	83
26	EngagedGrub41	76
27	Snowflowe	74
27	Dakar_	74
29	PegLegPete93	61
30	ApophisNova	57
30	MyNamaSheff	57
32	NameGenerat0r	52
33	KarlKaek	48
33	Njensen7	48
35	OwenBrew	42
35	eviltunix	42
35	purpolepickle	42
35	Maenara	42
39	diggydog67	36
40	TheShyPig	35
40	xolstoi	35
42	Inbefour	29
43	ediballbearings	28
44	ZoomieZoomie	27
45	ImpavidArcher	26
46	NotMeanttoChange	25
47	luseis	23
48	trexgb	21
49	Meatlaugh	18
50	MoistMicrowave	17
51	LeonelSalamanca	15
52	PhantomsGhost_	13
53	QuiCreans	12
54	PazinGaming	9
54	GLLogan2	9
56	IamCL4SSY	8
57	MilleGrug	7
58	orxngejuice	6
58	Racengan	6
58	Airem_Core	6
58	_i_ERROR_i_	6
62	TheSecondLord	5
62	Avocadogerms	5
64	CarsonDoesMine	4
64	noam464	4
64	Chromary	4
64	Mattesco	4
64	EcksD	4
64	WYFYoyo	4
70	lorywithay	3
70	oreee	3
70	Bumpy419	3
70	DemTechAlpha	3
70	Leeeegend	3
70	Blu3beast	3
70	THEKINGLyric10	3
70	MineMaster0012	3
70	tartanboy	3
79	_Huge_Male_	2
79	AlexChristian	2
79	anbbang	2
82	pintsizedrogue	1
82	joethahobo	1
82	IWorkAtIkea	1
82	AMOTOS_LASODEMIA	1
82	LilyNova	1
82	cog	1
82	Barlycorn	1
82	Spenduh	1
82	HAruSAme14	1
82	AdmiralSmoke	1
