rank	username	minecraft:picked_up/minecraft:dark_oak_wood
1	EveryonesUncle	2852
2	Euclidoris	1726
3	M_Patata	572
4	MasterNueve	527
5	SuperPooch06	260
6	Kowcio_	249
7	Blackberry1310	231
8	Steelynan	222
9	NameGenerat0r	213
10	Smoke____	199
11	Historical_Sand	194
12	Werbe	175
13	noam464	140
14	_Cloverbelle_	126
15	BlancoFlaco	110
16	500am	108
17	Di_infiri	104
17	GlitchyPlate810	104
19	beeperbeeper5	103
20	Sheldor097	102
21	Enderxz3	95
22	eitanzaki	91
23	ShedJr_	85
24	m_be9	83
25	PlasticOtari	74
26	The_slideV3	63
27	Touched_Bread	62
28	rarrq	56
29	IamCL4SSY	43
30	groofles	35
31	Fullut	34
32	LazySupport00	32
33	Cartoonmaniac	30
34	BlankityMcBlank	28
35	Frozil20	25
36	Sleek_Storm_721	24
37	Rebytre	22
38	TheShyPig	20
39	emrekn	17
40	CollinMH06	16
41	pintsizedrogue	15
41	ExtraDumb	15
41	TheSecondLord	15
44	paranoid_plant	14
44	RohnJosin	14
46	Bandito_Roamer	13
46	ImpavidArcher	13
46	PigDab	13
46	CalebDHawk	13
46	h2p_emrld	13
51	luseis	12
52	SyK7	11
52	NatrixxddxYT	11
54	LeGold	10
55	KarlKaek	9
55	Legendosh	9
55	xolstoi	9
58	Mahoose	8
58	xxPipperDipperxx	8
58	Leyna3	8
61	Russiancat1	7
62	F_Uhre	6
62	Vetral1	6
62	FishyBoy3811	6
62	fffMike	6
66	gcaisawesome	5
66	The11thDoctor	5
66	pixelviolin	5
69	Nycteus_	4
69	LeEricc	4
71	Lez_	3
71	kekhon	3
71	GingerNeutron	3
71	Arceus1975	3
71	stuy9	3
71	avalan64	3
71	ConnorDanky_	3
78	teslawolf38	2
78	Esme_1	2
78	Natty	2
78	Jakobo1337	2
78	ProfessorBee	2
78	Smashic	2
78	ceAndy200	2
78	lordpipe	2
78	gusstationwerker	2
87	dudcreeper	1
87	301851	1
87	Eraza	1
87	Inchef	1
87	dartwaffle	1
87	Blu3beast	1
87	Blaiku	1
87	Hisiste	1
87	Spacewardharpy7	1
87	Soplight	1
87	MilleGrug	1
87	Ezekson	1
87	jnp_gaming	1
