rank	username	minecraft:picked_up/minecraft:wayfinder_armor_trim_smithing_template
1	j5ylim	10
2	thewindmillman	8
3	Jimb0nat0r	7
4	pintsizedrogue	6
4	beeperbeeper5	6
6	k_ce	5
6	Archsam	5
6	Secret_Canary	5
9	Werbe	4
9	pixelviolin	4
11	Mr_Byzantine	3
11	FiguraDei	3
11	Kowcio_	3
14	Merv__	2
14	lorywithay	2
14	royal_2	2
14	MattieHD	2
14	craaaash	2
14	oscminus	2
14	Pumpkin_P_Patch	2
14	Enderxz3	2
22	ECstardust	1
22	philandr	1
22	_witch_craft_	1
22	Jackattack53	1
22	Hyp3rion_	1
22	Samificator	1
22	DairyNickel756	1
