rank	username	minecraft:picked_up/minecraft:ward_armor_trim_smithing_template
1	Hyp3rion_	2
1	Strats__	2
3	beeperbeeper5	1
3	akap47	1
3	Fullbit_	1
3	Jackattack53	1
3	Reneedium	1
3	Kowcio_	1
