rank	username	minecraft:picked_up/minecraft:lime_stained_glass
1	eitanzaki	1546
2	El_Jalapeno	1072
3	noam464	551
4	Racengan	330
5	NameGenerat0r	323
6	Hyp3rion_	314
7	_Virify_	304
8	stavgod	288
9	Inbefour	285
10	beeperbeeper5	284
11	thewindmillman	266
12	Di_infiri	212
13	KG1999	208
14	oreee	203
15	mwrty	159
16	ROY4LE	157
17	Sky_light_KING	132
18	Spacewardharpy7	83
19	lordpipe	80
20	PortlyPete69	77
21	Chromary	67
22	gcaisawesome	64
23	Groundler	62
24	Smoke____	58
25	Fullut	57
26	MyNameIsJobo	48
26	Werbe	48
26	AssEatrAndLicker	48
29	Groovy_MoonBird	46
30	500am	40
31	Swexti	39
31	oxfordschool	39
33	EveryonesUncle	31
34	Kakolbus	23
35	Akoot_	20
36	Spenduh	18
37	lillips	17
38	CliffEmAll	12
38	EcksD	12
40	RodSerlingCringe	11
40	Eraxa	11
42	Onennon	10
43	Jovaphobic	7
43	AuroraValkyrie	7
43	Snowflowe	7
43	HellsSponge	7
47	SaucyDark	6
47	titanlax	6
47	PigDab	6
50	ProfessorDiaper	5
50	Dusk_95	5
52	MilleGrug	4
53	rarrq	3
53	thescout7	3
53	Bumpy419	3
53	Maenara	3
53	jnp_gaming	3
58	_Nuf	2
58	Inchef	2
58	xxPipperDipperxx	2
58	SlayerCrypto	2
58	SuperPooch06	2
58	Blaiku	2
64	Mahoose	1
64	Blackberry1310	1
64	Awyrlas	1
64	claivin	1
64	MightyWertu	1
64	djancak	1
64	obzii	1
64	KingMatthew506	1
