rank	username	minecraft:picked_up/minecraft:dead_brain_coral_fan
1	thewindmillman	118
2	Di_infiri	71
3	noam464	50
4	Lez_	43
5	pintsizedrogue	41
6	luseis	23
7	Marbz_	20
8	Jackattack53	15
9	Spacewardharpy7	12
10	_Mythic____	9
11	eitanzaki	8
12	Mahoose	4
12	Prismyst	4
12	joethahobo	4
12	gamerlord1324	4
12	WyngGoy	4
12	11Brewer	4
18	PigDab	3
18	HellsSponge	3
18	FreakGenius	3
18	Factoroni	3
22	beeperbeeper5	2
22	EdGalbraith	2
22	pixelviolin	2
22	EcksD	2
22	PlasticOtari	2
22	FishisTTV	2
28	AstreaTSS	1
28	Enderxz3	1
