rank	username	minecraft:picked_up/minecraft:tripwire_hook
1	500am	201
2	Groundler	154
3	HellsSponge	148
4	kekhon	118
5	m_be9	108
6	Mr_Byzantine	102
7	Smoke____	98
8	Jackattack53	75
9	thescout7	71
10	eitanzaki	70
11	KarlKaek	65
12	Shogunite	64
13	WyngGoy	52
14	Hyp3rion_	50
15	El_Jalapeno	48
16	pintsizedrogue	46
16	TheSecondLord	46
18	PhantomsGhost_	43
19	Incinere	40
19	LordSpeed37	40
21	Di_infiri	38
22	noam464	37
23	censorsheep	35
24	SvenskaHugo	34
25	TheShyPig	32
26	_Bguette_	31
27	legal_tax_evader	28
27	PlasticOtari	28
29	_Karmaa	26
30	Arceus1975	23
31	H72l9w	22
31	YungMaki	22
33	Fullut	20
33	Paintz	20
33	Wowful	20
33	EveryonesUncle	20
37	MattieHD	19
38	Myszoaz	18
38	xxPipperDipperxx	18
38	Mythic1130	18
41	TechnoNinja64	17
42	Mahoose	16
43	MyNameIsJobo	15
43	Rumpletaezer	15
43	_Boipl_	15
43	SvenskaAlvar	15
43	Leyna3	15
43	RoofTyler	15
43	ayamefag	15
50	rarrq	14
50	luseis	14
52	Merv__	13
52	beeperbeeper5	13
52	Kkanot	13
52	Onennon	13
52	ediballbearings	13
57	SuperPooch06	12
57	Akoot_	12
57	Eraxa	12
57	Soplight	12
61	DepressedCubic	11
61	Snowflowe	11
63	EMC_	10
63	PegLegPete93	10
65	titanlax	9
65	ooga47	9
65	DASH_X7	9
65	sp00ky_ghost977	9
65	JayToe	9
70	Cryptacity	8
70	slkiey	8
70	eiC_	8
70	thewindmillman	8
70	Felenov	8
70	selectrix	8
70	Maenara	8
70	rylikesrawtoast	8
70	Toiton	8
70	Soul_Atreus	8
70	ConnorDanky_	8
81	DinoDoctor_	7
81	joethahobo	7
81	QuiCreans	7
81	Blackberry1310	7
81	Tyrannosplart	7
81	Spacewardharpy7	7
81	MovingFish7	7
81	_TCARREIRA_	7
81	Ezekson	7
90	ImpavidArcher	6
90	Paleshield	6
90	livingdaydreams	6
90	12Magner05	6
90	ProfessorBee	6
90	_Dean_123	6
90	Covalents	6
90	Donutt	6
90	RobotMinion101	6
90	fxiryglitch	6
90	Lord_Jord	6
90	ese_wn_po	6
90	DarlaMeow	6
90	claivin	6
90	Racengan	6
90	Optiprimus	6
90	Kyrum2169	6
90	Powowowow	6
108	Froste131	5
108	Firecracker320	5
108	RebelAndroid	5
108	Rich_Kat	5
108	mwrty	5
108	Mewar	5
108	Xalithia	5
108	LeauVox4921	5
108	gabriels543	5
108	Kim_Jong_eel	5
108	master9067	5
108	MAns_44	5
108	FreakGenius	5
108	bndo	5
108	AvaRosey	5
108	RealGroot	5
108	lcvezra	5
108	laron58	5
108	Legendosh	5
108	Zoeyfortnite	5
128	AuroraValkyrie	4
128	SaucyDark	4
128	Huwulling	4
128	NanoShot	4
128	jacxhadow	4
128	Ardennes	4
128	Smashic	4
128	popcanter	4
128	MangoTheFish	4
128	Stephenpoling	4
128	Xclax101	4
128	Luigipunch989	4
128	Eczbek	4
128	EcksD	4
142	Bandito_Roamer	3
142	FazeObama69	3
142	ssleepless	3
142	Wooptey	3
142	youhjjhhhjj	3
142	ivorico	3
142	Prismyst	3
142	FirsTimeGamingTV	3
142	Euclidoris	3
142	GingerNeutron	3
142	Cambo5000	3
142	Inchef	3
142	Touched_Bread	3
142	Kakolbus	3
142	moist_jellyfish	3
142	Windo_licker	3
142	Marbz_	3
142	LilyNova	3
142	Bumpy419	3
142	Btabtab	3
142	seramalen	3
142	PigDab	3
142	SaintJosie	3
142	TheSeismicDuck	3
142	audiocracked	3
142	Russiancat1	3
142	Fuhrer_Teemo	3
142	Quaintster	3
142	Nycteus_	3
142	wwwwinnebagoooo	3
142	LetsDoItLive	3
142	iTheRaiden	3
142	Jij0	3
142	djancak	3
142	NATE_the_HALO	3
142	TheOuterCore	3
142	MissCeleste7	3
142	00000000-0000-0000-0009-01ff0c3e5e4f	3
180	Groovy_MoonBird	2
180	diamondgolem35	2
180	Qalech	2
180	gren_ben	2
180	omariacts	2
180	SidorAlex	2
180	Da_Boss_Rani	2
180	dopplexd	2
180	Crowman1	2
180	MinttyFressh	2
180	_Nuf	2
180	boog4loo	2
180	crying_wolf_13	2
180	MindyDooWho	2
180	xXxSebastianLxXx	2
180	ROY4LE	2
180	UncleDanDan	2
180	TableTim	2
180	Zaridey	2
180	fallingemma	2
180	Winklepicker279	2
180	Chromary	2
180	Hiryu27	2
180	Werbe	2
180	wezzzi	2
180	Deathkob	2
180	Meatlaugh	2
180	KermitTheKripple	2
180	Lifedy	2
180	DanTheBuilderino	2
180	QueenShuvi	2
180	fluddd	2
180	cringenaynaybaby	2
180	Typadopoulos	2
180	silverpopcorn	2
180	monky_irl	2
180	Dusk_95	2
180	Cocoamallows	2
180	UCP_TheKingK	2
180	SammiWolfGirl	2
180	MNMann44	2
180	CalebDHawk	2
180	Skippeh	2
180	JungeSchnauzer	2
180	mountaingirl311	2
180	MrMeisterProper	2
180	diggydog67	2
227	TheBiggestFeller	1
227	Mr_Worthless	1
227	Batoser	1
227	k_ce	1
227	chipklip	1
227	pZygh0st	1
227	KingFaenor	1
227	Frozil20	1
227	Sleek_Storm_721	1
227	BlackShadow_1007	1
227	Gemstuff	1
227	EkkoTraveler	1
227	Esme_1	1
227	Killercatty78	1
227	KiRemon77	1
227	openatheclose	1
227	T045RTY	1
227	Alteriity	1
227	Reamdin	1
227	Jackster03	1
227	buss081	1
227	jessewegottacook	1
227	Historical_Sand	1
227	tramizu	1
227	luckymage	1
227	Prodiginus	1
227	ratglock	1
227	TheDiamondCG	1
227	UncreativeArtist	1
227	peanutbader	1
227	Awyrlas	1
227	eviltunix	1
227	2Stout	1
227	Lotvailer	1
227	benediktine1	1
227	John6970	1
227	mimbo1211	1
227	RustyKedel	1
227	CollinMH06	1
227	Useless_Relic	1
227	AnnieBathory	1
227	impossibleteapot	1
227	AlexStrange	1
227	domagawha	1
227	Azmodan_246	1
227	Rebytre	1
227	grislgrobl	1
227	Kouridragon	1
227	Smussa	1
227	_Cloverbelle_	1
227	ZA07	1
227	Klerick	1
227	Tergandius	1
227	GooseWithin	1
227	ChrisKyleST3	1
227	Fakiuss	1
227	monomara	1
227	binman420	1
227	NomadicRobin_	1
227	SolicitedPuma101	1
227	lillips	1
227	LexMakesHistory	1
227	1442	1
227	Blaiku	1
227	VilsSwag	1
227	lordpipe	1
227	IAmTheWalrus910	1
227	Kura2218	1
227	legoclone09	1
227	_Tilariel_	1
227	IdeallyGrey	1
227	Zetsey	1
227	Kowcio_	1
227	__tomato	1
