rank	username	minecraft:picked_up/minecraft:popped_chorus_fruit
1	lordpipe	10808
2	thewindmillman	8744
3	Jackattack53	5217
4	Hyp3rion_	3562
5	Spacewardharpy7	964
6	hoaimi	376
7	noam464	327
8	jnp_gaming	192
9	Blackberry1310	171
10	eitanzaki	138
11	Lez_	136
12	robertsnose	128
12	hanaryheatwave	128
14	lpinfinity	96
15	Iamthejo	66
16	2a1169f5-2eaf-4ab7-adff-73315e7d9ddf	65
16	robonya_	65
18	imcombxt	64
18	mihimihimihi	64
18	starbits140	64
18	PortlyPete69	64
22	LexMakesHistory	55
22	Yamdalorian	55
24	kekhon	52
25	Tyrannosplart	46
26	Studio4x32	42
26	Jimb0nat0r	42
28	godipose	38
29	Racengan	32
29	Enderxz3	32
31	I_Am_Mushkin	30
32	Bandito_Roamer	29
33	TheEnderMan548	25
34	Awyrlas	21
35	pintsizedrogue	16
35	ApophisNova	16
35	XxCookiequeenxX	16
35	Steelynan	16
35	ConnorDanky_	16
35	MyNamaSheff	16
41	TheSecondLord	14
42	joethahobo	13
43	MakeHistory157	12
44	titanlax	10
45	El_Jalapeno	9
46	luseis	6
47	Cambo5000	5
47	burbankbuilder28	5
47	LuvLuvLove	5
50	cuddlyMonster	4
50	MilleGrug	4
52	Apollo_993	3
52	jimintyy	3
52	beeperbeeper5	3
52	CaracolCxnt	3
52	Ritter__	3
52	Nicserso	3
52	TechnoNinja64	3
59	WET_WET_WET	2
59	TwinTowerV2	2
61	SpartanNamor	1
61	surfinggiraffejp	1
61	thatbeanyboi	1
61	NomadicRobin_	1
61	MAns_44	1
61	iSammael	1
61	Kowcio_	1
61	brofrickcheaters	1
61	Kubeusz2010	1
61	Legendosh	1
