rank	username	minecraft:picked_up/minecraft:magenta_concrete_powder
1	Hyp3rion_	48736
2	Spacewardharpy7	1838
3	jnp_gaming	501
4	thewindmillman	285
5	noam464	269
6	Mr_Byzantine	256
7	mwrty	222
8	Manaateee	219
9	ROY4LE	214
10	sp00ky_ghost977	133
11	beeperbeeper5	116
12	lordpipe	99
13	PigDab	67
14	EMC_	64
15	Steelynan	51
16	LordSpeed37	26
17	lillips	21
18	Strangemonkey71	20
19	Legendosh	15
20	TheBiggestFeller	14
21	luseis	12
21	Enderxz3	12
23	Swexti	8
23	Truckoss	8
25	EveryonesUncle	6
25	AdmiralSmoke	6
27	HellsSponge	5
27	xzvu	5
29	SvenskaHugo	3
29	Jimb0nat0r	3
31	eitanzaki	2
31	Parcc	2
31	YungMaki	2
31	Ezekson	2
35	T045RTY	1
35	TheSecondLord	1
35	Zedducius	1
35	Smashic	1
35	UrbanPlanningEx	1
