rank	username	minecraft:picked_up/minecraft:music_disc_otherside
1	pintsizedrogue	67
2	beeperbeeper5	43
3	Marbz_	34
4	Enderxz3	31
5	SteveCraftBlocks	28
5	Manaateee	28
7	MrKrabOnCoke	27
7	Mr_Sun15	27
9	PlasticOtari	24
10	Kowcio_	20
10	Nicserso	20
12	Rebytre	18
13	12Magner05	15
13	fw3xy74	15
13	luseis	15
13	Iamthejo	15
17	prizm_	14
17	thewindmillman	14
19	ECstardust	13
20	olliebollie48	11
20	Eczbek	11
22	Mr_Byzantine	9
23	SaphLaseer	8
23	TheBananaKat	8
25	jessewegottacook	7
26	CLG_Kata	6
26	DinoDoctor_	6
26	Lez_	6
26	Sleepy_Time_	6
26	TheSecondLord	6
26	ItsMrRamen	6
26	Mattesco	6
26	THEKINGLyric10	6
26	UCP_TheKingK	6
26	AdmiralSmoke	6
36	k_ce	5
36	Apollo_993	5
36	Crowman1	5
36	Jackattack53	5
36	MineMaster0012	5
41	ImpavidArcher	4
41	Huwulling	4
41	Mahoose	4
41	SnowyAvi	4
41	Hyp3rion_	4
41	Krowuss	4
41	Fuad_R	4
41	Jimb0nat0r	4
49	PazinGaming	3
49	Alteriity	3
49	joethahobo	3
49	0ost	3
49	Moofyman	3
49	Wowful	3
49	Soplight	3
49	Njensen7	3
57	nattybears	2
57	MinttyFressh	2
57	catandmoose	2
57	Inchef	2
57	TheDankPlatypus	2
57	Kondzik2008	2
57	Skylord_Luke	2
57	LeonelSalamanca	2
57	JoeSaysBingBong	2
57	Daedalus342	2
57	Segotep999	2
57	tsitrawhy	2
57	ZoomieZoomie	2
57	Legendosh	2
71	H0UNDFRMH3LL	1
71	BPTY4618	1
71	EMC_	1
71	AverageGorg	1
71	RatatJuice	1
71	T045RTY	1
71	_themselves	1
71	rarrq	1
71	I_Moose	1
71	Secret_Canary	1
71	Smashic	1
71	excelsionprime	1
71	Masssonnn	1
71	fade_emerge78823	1
71	LeauVox4921	1
71	xxPipperDipperxx	1
71	imcombxt	1
71	UNCCashews	1
71	hanaryheatwave	1
71	thebaddruid	1
71	AlexxO_o	1
71	PaperCanvas	1
71	StinkyDiplomat	1
71	Racengan	1
71	lordpipe	1
71	TheEnderMan548	1
71	00000000-0000-0000-0009-01ff0c3e5e4f	1
