rank	username	minecraft:picked_up/minecraft:hopper_minecart
1	thewindmillman	199
2	Spacewardharpy7	41
3	eitanzaki	36
4	noam464	27
5	HellsSponge	14
6	EcksD	11
7	Valoth	10
8	joethahobo	9
9	Hyp3rion_	8
9	Snowflowe	8
9	jnp_gaming	8
9	TechnoNinja64	8
13	SpacesickPrism	7
14	Jackattack53	6
15	Skylord_Luke	5
16	EMC_	4
16	Blu3beast	4
16	fffMike	4
16	Smoke____	4
20	UncleDanDan	3
20	Di_infiri	3
20	Hiryu27	3
20	Freak_Genius	3
20	Blaiku	3
20	mihimihimihi	3
26	Touched_Bread	2
26	Segotep999	2
26	Miko_Fullbuster	2
26	oxfordschool	2
30	Jovaphobic	1
30	q_wq	1
30	ssleepless	1
30	Jahara	1
30	beeperbeeper5	1
30	Comma__	1
30	ThePoliteG	1
30	kekhon	1
30	set67	1
30	thescout7	1
30	eviltunix	1
30	SellyZ	1
30	xxPipperDipperxx	1
30	M_Patata	1
30	MyNameIsJobo	1
30	Queen_Jalapeno	1
30	fred870d	1
30	Fuad_R	1
30	NameGenerat0r	1
30	DanTheBuilderino	1
30	El_Jalapeno	1
30	MightyWertu	1
30	Racengan	1
30	silverpopcorn	1
30	MasterNueve	1
30	ayamefag	1
30	YungMaki	1
30	Kyrum2169	1
30	starbits140	1
30	__tomato	1
30	ItsJunoIGuess	1
30	Hermanni__	1
30	PlasticOtari	1
30	Sral7	1
30	EcksDofficial	1
