rank	username	minecraft:picked_up/minecraft:mossy_stone_bricks
1	El_Jalapeno	5392
2	HellsSponge	3409
3	joethahobo	3183
4	mihimihimihi	1285
5	Legendosh	1139
6	YungMaki	1028
7	luseis	764
8	pintsizedrogue	701
9	Maenara	694
10	TheSecondLord	559
11	TheShyPig	541
12	kekhon	489
13	Ezekson	479
14	AssFullaCum	444
15	MyNameIsJobo	414
16	FreakGenius	404
17	Crowman1	394
18	cedric72	374
19	MrKrabOnCoke	323
20	Elastiq	269
21	Comma__	244
22	Tyrannosplart	219
23	Eraxa	216
24	Iamthejo	202
25	Tommhh	189
26	UCP_TheKingK	178
27	500am	170
28	SvenskaHugo	167
29	Akoot_	166
29	Blu3beast	166
31	fkGrim	157
32	alderban107	152
33	Racengan	142
34	iSammael	134
35	layabout100	127
36	Blackberry1310	124
37	Bumpy419	123
38	Kubelz	112
38	Zythose	112
40	plato2066	105
41	Wowful	102
42	SaucyDark	99
43	Fuad_R	96
44	Fullut	95
45	Kowcio_	93
46	Mahoose	79
47	ogoa	77
48	chipklip	75
49	Eraza	74
50	eitanzaki	73
50	noam464	73
52	yatsuta	67
53	Historical_Sand	66
54	Xalithia	65
55	RefluxRatio	64
56	Shogunite	62
57	Bandito_Roamer	61
57	wwwwinnebagoooo	61
57	KingMatthew506	61
60	RobotMinion101	60
60	binman420	60
60	NoChumpChange	60
60	_Bguette_	60
64	_Karmaa	59
65	SaintJosie	57
66	Smoke____	54
67	Di_infiri	53
67	Spacewardharpy7	53
69	Skylord_Luke	52
70	PortlyPete69	48
71	2Stout	43
71	lizardfightclub	43
71	00000000-0000-0000-0009-01ff0c3e5e4f	43
74	thewindmillman	42
75	eviltunix	39
75	Werbe	39
77	WyngGoy	38
78	Hiryu27	37
79	UrbanPlanningEx	35
80	thescout7	33
80	killmeiamtraitor	33
82	Enderxz3	32
83	PlasticOtari	31
84	Merv__	29
85	Notta	28
85	Inchef	28
87	KarlKaek	27
87	Rich_Kat	27
87	burbankbuilder28	27
90	Mr_Byzantine	25
90	Marbz_	25
92	Kamflame10	23
92	himak1	23
92	smogfrog	23
95	Lez_	22
95	Jimi7hits	22
95	MinuteMira	22
95	KujikawaRisechi	22
99	beeperbeeper5	20
100	SuperPooch06	19
100	H_Biscuit	19
100	CattSoup	19
103	SmashingPump	18
103	ExtraDumb	18
103	rarrq	18
103	epiksk8erduck	18
103	LilLizardWizard	18
103	Nycteus_	18
109	Ecplosive	17
109	balin55	17
111	m_be9	16
111	Arceus1975	16
111	RoofTyler	16
111	kyouma777	16
115	crying_wolf_13	15
115	FallenCorps	15
115	JayToe	15
118	Jackattack53	14
118	claivin	14
118	_TCARREIRA_	14
121	titanlax	13
121	M_Patata	13
121	Rumpletaezer	13
121	Toiton	13
121	MasterNueve	13
126	T045RTY	11
126	SyntheticSurgeon	11
126	Euclidoris	11
126	12Magner05	11
126	MinttyFressh	11
126	Hyp3rion_	11
126	F_Uhre	11
126	ChrisKyleST3	11
126	Blaiku	11
126	Barlycorn	11
126	Dusk_95	11
126	TechnoNinja64	11
138	Cryptacity	10
138	Fuhrer_Teemo	10
138	DarlaMeow	10
138	Steelynan	10
142	TableTim	9
142	Zaridey	9
142	Snowflowe	9
142	Fildyr	9
142	ProbsNotNova	9
142	MissCeleste7	9
148	Scathra	8
148	mwrty	8
148	impossibleteapot	8
148	groofles	8
148	Inbefour	8
148	XxCookiequeenxX	8
148	HELLO_I_AM_BEAR	8
148	SammiWolfGirl	8
148	SirBreadward	8
148	EngagedGrub41	8
148	EcksD	8
159	FazeObama69	7
159	livingdaydreams	7
159	Silenttieg	7
159	ZeroAbyssTTV	7
159	pappaberg	7
159	PigDab	7
159	ConnorDanky_	7
159	Quotary	7
159	diggydog67	7
168	Frozil20	6
168	Winklepicker279	6
168	Nickitoe	6
168	J4ko8_	6
168	aec9	6
168	Kim_Jong_eel	6
168	Leyna3	6
168	TheTrueClipse	6
168	wezzzi	6
177	_Dean_123	5
177	_Boipl_	5
177	dankxing	5
177	godipose	5
177	Xclax101	5
177	IdeallyGrey	5
177	krutas2000	5
177	MirielThePastor	5
185	bigstankyy	4
185	LeDuctTape	4
185	ThePoliteG	4
185	AnnieBathory	4
185	Jeteight	4
185	Kouridragon	4
185	Capss	4
185	Vorlice	4
185	Mistruth	4
185	Jij0	4
185	__tomato	4
185	non089	4
185	jcool7	4
185	Jimb0nat0r	4
185	xolstoi	4
200	Houstonion	3
200	Alteriity	3
200	Sleepy_Time_	3
200	ratglock	3
200	set67	3
200	Yirtle	3
200	ROY4LE	3
200	xxPipperDipperxx	3
200	Noah_Bez	3
200	eiC_	3
200	TheDankPlatypus	3
200	legal_tax_evader	3
200	whoaluv	3
200	okCrypto	3
200	Donutt	3
200	Voxin2K	3
200	Lord_Jord	3
200	drumine	3
200	censorsheep	3
200	monky_irl	3
200	xzvu	3
