rank	username	minecraft:picked_up/minecraft:stone_bricks
98	Manaateee	2751
99	ShedJr_	2662
100	tsitrawhy	2649
101	Ryan_GEMS	2606
102	SpacesickPrism	2488
103	h2p_emrld	2406
104	Shogunite	2357
105	RobotMinion101	2356
106	Hiryu27	2321
107	fr0stss	2309
108	MissCeleste7	2285
109	Spenduh	2218
110	impossibleteapot	2188
111	xxPipperDipperxx	2053
111	lordpipe	2053
113	mwrty	2010
114	crashomon	2004
115	miramyu	1969
116	Segotep999	1968
117	CrateOfBoxes	1961
118	The_slideV3	1938
119	Huwulling	1924
120	Megarboh	1915
121	Quotary	1890
122	PhantomsGhost_	1859
122	r123moore	1859
124	Archsam	1851
125	Toiton	1842
126	Blackberry1310	1778
127	hanaryheatwave	1776
128	PazinGaming	1732
129	__Auspicious	1723
130	ConnorDanky_	1722
131	selectrix	1710
132	set67	1655
133	Ryker	1638
134	_stets	1634
135	Fuhrer_Teemo	1615
136	k_ce	1614
137	Ze_BaronKrigler	1605
138	AssFullaCum	1585
139	TechnoNinja64	1579
140	MattieHD	1575
141	SmashingPump	1562
142	Malorn_Aetherius	1561
143	Zaridey	1553
144	BadenStayFly	1539
145	Druid95	1527
146	Dakar_	1523
147	Ssor69	1472
148	Mattesco	1445
149	XboxPanda	1435
150	NameGenerat0r	1434
151	CattSoup	1425
152	JETrotter	1389
153	MightyWertu	1382
154	CaptainDeadBread	1377
155	oscminus	1373
156	RebytreGT	1367
157	Lez_	1349
158	Enderxz3	1330
159	Lekol	1320
160	LeauVox4921	1303
161	_Huge_Male_	1300
162	crying_wolf_13	1285
163	Hoid_the_Roamer	1284
164	censorsheep	1275
165	TheSandwhich_	1272
166	NieToksikpl	1249
167	Lutres_	1229
168	Soap_Bender	1213
169	EdGalbraith	1201
170	benediktine1	1196
171	lorpus	1137
172	fkGrim	1126
173	podduszenie	1123
174	SaphLaseer	1115
175	KingMatthew506	1108
176	07shiny	1107
177	SlayerCrypto	1100
178	claivin	1096
179	CalebDHawk	1094
180	teslawolf38	1084
181	Kubelz	1063
182	Merv__	1050
182	IamCL4SSY	1050
184	Avocadogerms	1046
185	Inbefour	1032
186	eviltunix	1030
187	Pumpkin_P_Patch	1029
188	ProfessorBee	1011
189	SteveCraftBlocks	1010
190	Fildyr	1007
191	Stiar	996
192	jacxhadow	992
193	_i_ERROR_i_	983
194	Crowman1	963
195	F_Uhre	962
196	gcaisawesome	959
197	Kamflame	937
198	UrbanPlanningEx	915
199	Masssonnn	913
200	Crowvens	888
201	StarCookiees_	877
202	Boipl	866
203	Hisiste	855
204	Sheldor097	844
205	LAVA129	843
206	XxCookiequeenxX	835
206	DemTechAlpha	835
208	Blaiku	833
209	fw3xy74	832
210	SquadMonster	822
211	prizm_	814
212	U_Mos_	813
213	Sral7	802
214	Comma__	800
215	Tiberonus	790
216	TooManyDuck	784
217	PeteO1995	781
218	SyntheticSurgeon	767
219	SvenskaHugo	759
220	NotMeanttoChange	746
220	weabis	746
222	RebelAndroid	744
223	RoskobiOne	742
224	zorin123	741
225	q_wq	735
226	Tommhh	734
227	elliebelle107	733
228	Notta	731
229	MonitorLizards	729
230	__tomato	728
231	T045RTY	723
232	Steelynan	721
233	FirsTimeGamingTV	718
234	BumbleBeever	716
235	himak1	715
236	PortlyPete69	709
237	Natty	707
238	ssleepless	700
239	groofles	697
