rank	username	minecraft:picked_up/minecraft:music_disc_ward
1	Blu3beast	120
2	chipklip	91
3	HellsSponge	82
4	Soplight	65
5	PhantomsGhost_	43
6	_Bguette_	40
7	Inchef	33
8	pintsizedrogue	32
9	Eczbek	30
10	MangoTheFish	28
11	Hermanni__	26
12	RobotMinion101	25
13	ImpavidArcher	21
13	Hyp3rion_	21
15	Fullut	17
16	Guillemet	15
17	ROY4LE	14
17	Quaintster	14
19	H72l9w	13
19	TheSecondLord	13
19	kekhon	13
22	joethahobo	12
22	Akoot_	12
24	_Boipl_	11
25	SteveCraftBlocks	10
25	lordpipe	10
25	Eraxa	10
25	TechnoNinja64	10
25	kinas45y5	10
30	youhjjhhhjj	9
30	beeperbeeper5	9
30	Euclidoris	9
30	12Magner05	9
30	NomadicRobin_	9
30	Freak_Genius	9
36	YungMaki	8
37	Merv__	7
37	Mahoose	7
37	surfinggiraffejp	7
37	claivin	7
37	fluddd	7
37	sadvavilloso	7
43	mwrty	6
43	himak1	6
43	MyNameIsJobo	6
43	Bumpy419	6
43	ApophisNova	6
43	censorsheep	6
43	Blaiku	6
43	ediballbearings	6
43	Ezekson	6
43	MyNamaSheff	6
43	jnp_gaming	6
54	Jovaphobic	5
54	I_Am_Mushkin	5
54	Hpdinosaur	5
54	eitanzaki	5
54	_Dean_123	5
54	noam464	5
54	Skylord_Luke	5
54	Njensen7	5
62	bloodbiter	4
62	Nicky_H225	4
62	ProfessorBee	4
62	Awyrlas	4
62	Donutt	4
62	Rebytre	4
62	Onennon	4
62	ILoveCarrot	4
62	pixelviolin	4
62	SammiWolfGirl	4
62	CalebDHawk	4
62	Steelynan	4
74	teslawolf38	3
74	Blackberry1310	3
74	Kkanot	3
74	thescout7	3
74	CruncyIsTaken	3
74	_Cloverbelle_	3
74	audiocracked	3
74	EveryonesUncle	3
74	Jiminie	3
74	DemTechAlpha	3
74	yatsuta	3
74	Spenduh	3
74	stahouo	3
74	Legendosh	3
74	FishisTTV	3
89	Flegneh	2
89	Healthing	2
89	Dedalus36	2
89	hm947	2
89	ShedJr_	2
89	Megarboh	2
89	Scathra	2
89	r123moore	2
89	Kakolbus	2
89	mariominejedi	2
89	Di_infiri	2
89	SuperPooch06	2
89	Rumpletaezer	2
89	Parcc	2
89	thgrocks	2
89	AlphaWolfPlaysMC	2
89	yulgur1	2
89	duqboy	2
89	Deodorante	2
89	NameGenerat0r	2
89	El_Jalapeno	2
89	_czarny	2
89	Yahir091	2
89	MakeHistory157	2
89	Nagasaki_Riku	2
89	IdeallyGrey	2
89	lcvezra	2
89	fffMike	2
89	alderban107	2
89	oxfordschool	2
89	Smoke____	2
89	h2p_emrld	2
121	Groovy_MoonBird	1
121	Cowison	1
121	Incinere	1
121	T045RTY	1
121	Natty	1
121	Reamdin	1
121	Barjas	1
121	MOSS000	1
121	rarrq	1
121	Stynxy	1
121	Prodiginus	1
121	jushykins	1
121	zorin123	1
121	CyrusIsTired	1
121	set67	1
121	egglapras	1
121	Tjhodskins19	1
121	Resner	1
121	Bolete	1
121	loveseeker	1
121	Jackattack53	1
121	whoaluv	1
121	Arceus1975	1
121	thewindmillman	1
121	The11thDoctor	1
121	MinerDec	1
121	epiksk8erduck	1
121	RodSerlingCringe	1
121	TheTrueClipse	1
121	wezzzi	1
121	DTwenty	1
121	ese_wn_po	1
121	lillips	1
121	Katthaj	1
121	DarlaMeow	1
121	Frozil12	1
121	Racengan	1
121	NotMeowMix	1
121	Dusk_95	1
121	sp00ky_ghost977	1
121	Soul_Atreus	1
121	Kowcio_	1
121	EtherealEspresso	1
121	__tomato	1
121	jcool7	1
121	Dreamdbr14	1
121	MilleGrug	1
121	_3Stump_	1
121	KingMatthew506	1
121	EcksD	1
121	UrbanPlanner1978	1
121	vandmanden	1
121	JayToe	1
