rank	username	minecraft:picked_up/minecraft:polished_blackstone_stairs
1	EveryonesUncle	555
2	Freak_Genius	486
3	rarrq	425
4	500am	263
5	Lord_Jord	240
6	burbankbuilder28	227
7	PlasticOtari	201
8	TheSecondLord	151
9	Hyp3rion_	139
10	Lutres_Torane	134
11	YungJakobo	120
12	Mattesco	97
13	Legendosh	94
14	Nycteus_	93
15	eitanzaki	84
16	fffMike	83
17	SkateboardR6	82
18	SteveCraftBlocks	67
19	pintsizedrogue	64
20	Solar_Power	60
21	Optiprimus	58
22	beeperbeeper5	57
23	Racengan	56
24	noam464	55
25	YoshikageBites	47
26	lillips	44
27	Mahoose	42
28	NameGenerat0r	40
29	kekhon	35
29	set67	35
31	EcksD	33
32	r123moore	32
33	ImpavidArcher	30
33	bloodbiter	30
33	Spenduh	30
36	Blackberry1310	27
37	MSK__	26
38	FishyBoy3811	25
39	CalebDHawk	24
40	Spacewardharpy7	23
41	Jiminie	22
42	Dusk_95	21
43	Deathkob	20
44	Rebytre	18
44	TheShyPig	18
46	Cowison	17
47	joethahobo	15
48	xxPipperDipperxx	14
48	lordpipe	14
50	_Dean_123	13
50	Smoke____	13
52	eli_tschki	10
52	anbbang	10
54	BobDeBouwer1337	9
55	livingdaydreams	8
55	T045RTY	8
57	_NieToksikpl_	7
57	teslawolf38	7
57	Eraxa	7
60	Fullut	6
60	Snowflowe	6
62	ShedJr_	5
62	YungMaki	5
64	Gundam_Steven	4
64	Arceus1975	4
66	titanlax	3
66	ApophisNova	3
66	TheTommyGun63	3
66	MyNamaSheff	3
66	Enderslayerxz3	3
71	Dedalus36	2
71	himak1	2
71	XboxPanda	2
71	PigDab	2
71	Eczbek	2
76	ROY4LE	1
76	fReE_bAtWiNg	1
76	Di_infiri	1
76	TheCordicus	1
76	MAns_44	1
76	Frozil12	1
76	KG1999	1
76	Winston_Ingram	1
76	jnp_gaming	1
