rank	username	minecraft:picked_up/minecraft:black_candle
1	500am	164
2	thewindmillman	78
3	Manaateee	59
4	TheSecondLord	16
5	luseis	12
6	Nicserso	11
7	Merv__	10
7	_witch_craft_	10
9	EMC_	9
10	doublemaki	8
11	robonya_	7
12	Mahoose	6
12	ykgelatina	6
14	Crowman1	5
15	Ryker	4
15	beeperbeeper5	4
15	ritzvik	4
15	Enderxz3	4
19	Buuck_	3
19	Kowcio_	3
21	pintsizedrogue	2
21	Apollo_993	2
21	cutelilreno	2
21	Spacewardharpy7	2
21	Soplight	2
21	Jimb0nat0r	2
27	PazinGaming	1
27	Inchef	1
27	lordpipe	1
27	iSammael	1
