rank	username	minecraft:picked_up/minecraft:copper_block
1	thewindmillman	39623
2	sebastiensaborio	1514
3	500am	422
4	OtariCharlie	139
5	pintsizedrogue	121
6	ApophisNova	65
6	MyNamaSheff	65
8	mobunni	38
9	Enigma0251	34
9	pixelviolin	34
11	CoffeeNoir	32
12	WYFYoyo	29
13	Smoke____	24
14	Flores991	23
15	RadarHz	17
16	sp00ky_ghost977	14
17	starbits140	13
18	SingedBread	11
18	Enderslayerxz3	11
20	EveryonesUncle	9
21	12Magner05	6
21	Winklepicker279	6
21	HolyVenom	6
24	diamondgolem35	3
24	TheSecondLord	3
24	SteveCraftBlocks	3
24	Soplight	3
28	Myszoaz	2
28	beeperbeeper5	2
28	SuperPooch06	2
31	ShedJr_	1
31	noam464	1
31	Kakolbus	1
31	Frozil12	1
