rank	username	minecraft:picked_up/minecraft:red_sand
1	Sral7	49881
2	Frozil20	42669
3	AdmiralSmoke	25059
4	TheSecondLord	16400
5	SvenskaHugo	14705
6	TheShyPig	13989
7	ConnorDanky_	13459
8	pintsizedrogue	13155
9	FreakGenius	9843
10	mariominejedi	9420
11	thewindmillman	8738
12	EcksD	8230
13	set67	7451
14	lordpipe	7272
15	SDMNAEK	7111
16	Rumpletaezer	6634
17	joethahobo	6542
18	Blaiku	6461
19	PlasticOtari	6009
20	Mahoose	5792
21	Xclax101	5465
22	Manaateee	5124
23	ROY4LE	4917
24	Legendosh	4665
25	kekhon	4246
26	HellsSponge	3997
27	ImpavidArcher	3908
28	diggydog67	3721
29	Groovy_MoonBird	3671
30	Fullut	3621
31	PhantomsGhost_	3470
32	KingMatthew506	3062
33	legal_tax_evader	2980
34	Dogcorn69420	2964
35	IamCL4SSY	2934
36	SexcMf	2629
37	Nicserso	2515
38	xolstoi	2435
39	Rebytre	2285
40	Cocoamallows	2214
41	noam464	2199
42	Euclidoris	2161
43	Hermanni__	2061
44	301851	2040
45	Marbz_	1932
46	Xalithia	1856
47	Lord_Jord	1847
48	UrbanPlanningEx	1835
49	Creativebuilder2	1787
50	weabis	1782
51	TheWildMateo	1714
52	Parcc	1677
53	TheBananaKat	1643
54	YungMaki	1576
55	selectrix	1504
56	yheece	1490
57	Wowful	1216
58	Steelynan	1081
59	ApophisNova	1050
60	djancak	1048
61	Mr_Byzantine	962
62	F_Uhre	929
63	MilleGrug	904
64	m_be9	847
65	Mattesco	823
66	Alteriity	821
67	_8man	804
68	RatatJuice	799
69	El_Jalapeno	784
70	Spacewardharpy7	733
71	beeperbeeper5	690
72	EMC_	601
73	gcaisawesome	599
74	Inbefour	589
75	Huwulling	587
76	NameGenerat0r	582
77	500am	581
78	audiocracked	565
79	bloodbiter	540
80	Krowuss	524
81	Onennon	509
82	Kakolbus	456
83	livingdaydreams	448
84	SammiWolfGirl	421
85	Deerfoot	411
86	Hoid_the_Roamer	383
87	T045RTY	377
88	QuiCreans	366
89	ooga47	363
90	Soap_Bender	341
91	UCP_TheKingK	338
92	Lez_	321
93	BumbleBeever	307
94	_Bguette_	283
95	TheSeismicDuck	274
96	Snowflowe	258
97	SuperPooch06	232
98	Merv__	227
99	Arceus1975	213
100	ItsDeltaMC	200
101	eviltunix	199
102	JESS_THE_RERE	195
103	RoskobiOne	186
104	ProfessorBee	185
105	Moofyman	167
106	xzvu	166
107	_Karmaa	153
108	Kowcio_	148
109	Noah_Bez	144
110	M_Patata	139
110	MasterNueve	139
112	Bumpy419	134
113	ShedJr_	131
114	TooManyDuck	130
115	oreee	128
115	MrMeisterProper	128
117	THEKINGLyric10	126
118	PortlyPete69	115
119	The_Cruncy	114
120	Bandito_Roamer	109
121	eitanzaki	108
122	Hyp3rion_	107
123	yatsuta	100
124	Ozixar	93
125	hanaryheatwave	90
125	Jimb0nat0r	90
127	Tyrannosplart	87
128	wirelesstree	80
129	Akoot_	77
130	Skippeh	72
131	MovingFish7	68
132	ReflexCode	65
132	TechnoNinja64	65
134	excelsionprime	64
134	SpouHn	64
136	Deathkob	62
136	UbeCheesePie	62
138	tuckerdoodle	60
139	Darkgon	54
140	RedcatVII	50
141	Eraxa	44
142	mwrty	41
143	12Magner05	40
144	Werbe	35
144	MandenR1	35
146	monky_irl	34
147	NomadicRobin_	33
148	RebelAndroid	32
149	the_russell1611	31
149	Ezekson	31
151	Soplight	28
152	Pearlplatinum	24
153	bmac2718	23
154	Enderxz3	22
155	MyNameIsJobo	21
156	_TCARREIRA_	19
157	SellyZ	18
157	jcool7	18
159	CalebDHawk	17
160	TheBaconKing44	16
160	Slovitypagus	16
162	Blu3beast	15
163	AnnieBathory	14
164	Zippyzam	13
164	WinterYoke	13
166	Avocadogerms	12
167	KarlKaek	11
167	MattieHD	11
167	Nycteus_	11
170	natajimi	10
171	R1CHY2K	9
171	fxiryglitch	9
171	Ze_BaronKrigler	9
171	JasmineGK	9
175	Hiryu27	8
175	sp00ky_ghost977	8
177	CoffeeNoir	7
178	Blackberry1310	6
178	Chromary	6
178	_Boipl_	6
178	Kim_Jong_eel	6
178	mafiKiwi	6
178	MustaLoordi	6
178	Racengan	6
185	chipklip	5
185	Zaridey	5
185	TheALV	5
185	EngagedGrub41	5
185	Iamthejo	5
190	teslawolf38	4
190	Nucket	4
190	Taddaiv	4
190	LexMakesHistory	4
194	_Virify_	3
194	Apollo_993	3
194	dabloons	3
194	titanlax	3
194	thescout7	3
194	fr_ser	3
194	groofles	3
194	XxCookiequeenxX	3
194	Quincannon	3
194	MAns_44	3
194	GravitySaint	3
194	Optiprimus	3
194	skrongus	3
207	Louiis123	2
207	CryoInferno_	2
207	Dogbound	2
207	Swexti	2
207	rarrq	2
207	_Dean_123	2
207	Cambo5000	2
207	fade_emerge78823	2
207	xxPipperDipperxx	2
207	Arsinic7	2
207	Zythose	2
207	sxc_	2
207	lillips	2
207	QueenShuvi	2
207	SprinklerMan	2
207	MyNamaSheff	2
207	Powowowow	2
207	h2p_emrld	2
207	00000000-0000-0000-0009-01ff0c3e5e4f	2
226	Jovaphobic	1
226	6king6colt6	1
226	ActualPatbaf	1
226	Prismyst	1
226	NanoShot	1
226	SteveCraftBlocks	1
226	Scattman_	1
