rank	username	minecraft:picked_up/minecraft:jungle_boat
1	himak1	198
2	Mahoose	174
3	_Nuf	144
4	Hyp3rion_	131
5	PigDab	113
5	fluddd	113
7	Soplight	102
8	mwrty	79
9	Steelynan	74
10	beeperbeeper5	70
11	Werbe	64
12	Merv__	63
12	EveryonesUncle	63
14	yatsuta	61
15	Lord_Jord	60
16	kekhon	54
17	set67	51
17	Onennon	51
19	Kamflame10	50
19	Kim_Jong_eel	50
21	rarrq	49
21	kinas45y5	49
23	Jordan_R	48
24	MightyWertu	46
24	TechnoNinja64	46
26	John6970	44
26	claivin	44
28	sxc_	41
28	HellsSponge	41
30	TylerDupree	40
31	Euclidoris	39
32	Mr_Byzantine	38
33	chipklip	37
34	_Virify_	36
35	Legendosh	35
36	Jackattack53	34
37	Fullut	33
37	DarlaMeow	33
39	Quaintster	32
40	Doom_melon	31
41	Bandito_Roamer	30
41	AuroraValkyrie	30
41	Kakolbus	30
44	KarlKaek	29
44	Blackberry1310	29
44	thgrocks	29
47	Freak_Genius	28
47	Eraxa	28
49	RobotMinion101	27
50	pintsizedrogue	26
50	_Dean_123	26
52	NomadicRobin_	25
53	Rich_Kat	24
53	Frozil12	24
55	Meatlaugh	23
55	Blu3beast	23
55	erkada	23
55	EcksD	23
59	WET_WET_WET	22
59	Nycteus_	22
61	Groovy_MoonBird	21
61	eviltunix	21
61	HoltGrim	21
61	SammiWolfGirl	21
65	Myszoaz	20
65	TheSecondLord	20
65	Nach0Bear	20
65	ROY4LE	20
65	Akoot_	20
65	NameGenerat0r	20
71	Septemb3r	19
71	YungMaki	19
71	Spenduh	19
74	WarHammer3	18
74	FungalCat	18
74	_naturell	18
74	Racengan	18
74	Ezekson	18
74	Sral7	18
80	Swexti	17
80	Katthaj	17
80	_TCARREIRA_	17
80	PortlyPete69	17
84	ZaneABrain	16
84	m_be9	16
84	Fuad_R	16
87	Snowflowe	15
87	ApophisNova	15
87	_Bguette_	15
87	lordpipe	15
87	MyNamaSheff	15
87	Smoke____	15
93	T045RTY	14
93	SHAOBADMAN	14
93	alderban107	14
96	Hpdinosaur	13
96	joethahobo	13
96	500am	13
96	redikul	13
96	RefluxRatio	13
96	aec9	13
96	MovingFish7	13
96	Enderslayerxz3	13
104	thescout7	12
104	Xalithia	12
104	noam464	12
104	Di_infiri	12
104	Zythose	12
104	RyuNeko932000	12
104	Voxin2K	12
104	stahouo	12
112	Krasnal1337	11
112	egglapras	11
112	loveseeker	11
112	HyperCave	11
112	Deathkob	11
112	_k2x	11
112	__hinterland__	11
112	Skippeh	11
112	Zoeyfortnite	11
121	JohnnyFyes	10
121	eitanzaki	10
121	Hoid_the_Roamer	10
121	fred870d	10
121	Inbefour	10
121	Ragnar2105	10
121	Nagasaki_Riku	10
121	striker90333	10
129	nataliecool	9
129	ImpavidArcher	9
129	speenduhXD	9
129	heckface	9
129	Notta	9
129	Covalents	9
129	moderncraft	9
129	TheShyPig	9
129	Jiminie	9
129	proxivitoid	9
129	brofrickcheaters	9
129	PlzNoBM	9
129	RadarHz	9
142	Dedalus36	8
142	Cryptacity	8
142	Nicky_H225	8
142	Bazongoman	8
142	Marbz_	8
142	BusinesManFrecks	8
142	ooga47	8
142	Cocoamallows	8
142	jcool7	8
151	numbra	7
151	Incinere	7
151	MLG_Kirby69	7
151	Misato_0	7
151	12Magner05	7
151	SteveCraftBlocks	7
151	Ecplosive	7
151	fr_ser	7
151	SamZombie	7
151	NoobSlayerPro	7
151	fkGrim	7
151	KlausVonStiglitz	7
151	Lutres_Torane	7
151	QueenShuvi	7
151	Universz	7
151	CalebDHawk	7
167	HazyDrummer	6
167	Crowvens	6
167	q_wq	6
167	6king6colt6	6
167	ssleepless	6
167	jimintyy	6
167	bloodbiter	6
167	NotMeanttoChange	6
167	emrekn	6
167	XboxPanda	6
167	CharlieButt	6
167	Maenara	6
167	Testificate_517	6
167	WyngGoy	6
167	ediballbearings	6
167	Kferno	6
183	Harotio	5
183	Lisppp	5
183	Rasaq	5
183	lotarp	5
183	peach0s	5
183	SteveWithClout	5
183	Historical_Sand	5
183	Albertalo	5
183	TheDiamondCG	5
183	xxPipperDipperxx	5
183	SeverianTheLame	5
183	Arceus1975	5
183	andy_rex	5
183	BronkerBrum	5
183	ItsAki_	5
183	FishyBoy3811	5
183	RodSerlingCringe	5
183	Nicky19	5
183	AlphaWolfPlaysMC	5
183	DemTechAlpha	5
183	GravitySaint	5
183	cog	5
183	Blaiku	5
183	SingedBread	5
183	IAmTheWalrus910	5
183	MakeHistory157	5
183	Strangemonkey71	5
183	07shiny	5
183	Siguy__	5
183	_3Stump_	5
183	Hermanni__	5
183	oxfordschool	5
183	PlasticOtari	5
183	Yogscast_Manden	5
217	Gary_	4
217	Thaumatarge	4
217	CoffeeNoir	4
217	Butternutsquatch	4
217	Sleepy_Time_	4
217	chlorinex	4
217	Comma__	4
217	YungJakobo	4
217	crying_wolf_13	4
217	paranoid_plant	4
217	Mariopreeet	4
217	intropass	4
217	2Stout	4
217	Rumpletaezer	4
217	pappaberg	4
217	Rocco_Lane	4
217	SokaOtaku	4
217	drompje	4
217	Hiryu27	4
217	RustyBr0	4
217	MisterKanister	4
217	StormPool	4
217	DC_XII	4
217	yulgur1	4
217	XxCookiequeenxX	4
217	Charleszetoast	4
217	TiborSterle	4
217	censorsheep	4
217	silverpopcorn	4
217	Kayotx	4
217	Eczbek	4
217	smogfrog	4
217	imaginek1d	4
217	Thrasaere	4
217	jnp_gaming	4
252	Menthas	3
252	teslawolf38	3
252	I_Am_Mushkin	3
252	ExtraDumb	3
252	F0mpel	3
252	SaucyDark	3
252	Zlatovlas	3
252	Natty	3
252	Rox_The_Box	3
252	Dipjol	3
252	InfernalMound	3
252	jumpyPog	3
252	Mewar	3
252	gcaisawesome	3
252	Winklepicker279	3
252	valiSW	3
252	Useless_Relic	3
252	SuperPooch06	3
252	Chromary	3
252	thewindmillman	3
252	ADEXTV	3
252	Deodorante	3
252	LexMakesHistory	3
252	The_slideV3	3
252	Airem_Core	3
252	Kowcio_	3
252	__tomato	3
252	UltraZombie	3
252	Njensen7	3
252	ZoomieZoomie	3
252	Lord_Lollo	3
252	Quotary	3
284	JimmyTISC	2
284	HiveSkins	2
284	PhantomsGhost_	2
284	dudcreeper	2
284	SlavBylat	2
284	bigstankyy	2
284	TAKrules	2
284	KomputerDude	2
284	DrichAldrich	2
284	H72l9w	2
284	Awyrlas	2
284	NotTrixi	2
284	Torza	2
284	K3NY0	2
284	LikeableSausage	2
284	Kryszmatic	2
284	benediktine1	2
