rank	username	minecraft:picked_up/minecraft:mutton
1	Mahoose	1114
2	joethahobo	884
3	Blackberry1310	746
4	djancak	598
5	Snowflowe	587
6	NatalieTW	523
7	HellsSponge	517
8	monky_irl	493
9	KingMatthew506	443
10	El_Jalapeno	430
11	kekhon	426
12	Legendosh	416
13	Moofyman	414
14	pintsizedrogue	387
15	starbits140	356
16	500am	352
17	FreakGenius	314
18	UrbanPlanningEx	287
19	BumbleBeever	278
20	youhjjhhhjj	268
21	YungMaki	234
22	Blaiku	232
23	ProfessorBee	227
24	Groovy_MoonBird	224
25	burbankbuilder28	214
26	Akoot_	207
27	SaucyDark	203
28	anbbang	196
29	EveryonesUncle	189
30	6king6colt6	184
31	Werbe	180
32	CharlieButt	168
33	Blu3beast	161
34	_Cloverbelle_	158
34	Xclax101	158
36	Di_infiri	157
37	BlancoFlaco	155
38	Maenara	154
38	Luigipunch989	154
40	hcb238	153
41	TheShyPig	152
42	m_be9	150
43	corvidpartyfor6	148
43	AnnieBathory	148
45	thescout7	143
46	Kateesaur	142
47	Vetral1	133
47	sufjanlover	133
49	Njensen7	129
50	seramalen	127
51	trixterrx	122
52	Smussa	119
53	Skylord_Luke	115
54	brofrickcheaters	112
55	Kura2218	111
56	Touched_Bread	109
56	Jackattack53	109
58	pappaberg	107
59	jnp_gaming	106
60	mwrty	105
61	Hyp3rion_	102
62	Inchef	101
63	Wolverine4302	97
64	SpicyMeatballs	93
65	ConnorDanky_	92
66	noam464	91
67	00000000-0000-0000-0009-01ff0c3e5e4f	89
68	dopplexd	88
68	Decaying_Lotus	88
68	Erased_Identity	88
71	Frozil20	87
71	RebelAndroid	87
71	Pelbo	87
71	RedcatVII	87
71	EngagedGrub41	87
76	Bumpy419	86
76	KlausVonStiglitz	86
76	Smoke____	86
79	PhantomsGhost_	85
79	GingerNeutron	85
81	eiC_	84
82	ratglock	83
82	spellmre	83
84	Invisie	81
85	Windo_licker	80
86	Comma__	78
87	_Karmaa	76
87	Rainaldus	76
89	EcksD	75
90	Fullut	74
90	TheDankPlatypus	74
90	gabriels543	74
93	ALoafOfBreadn	73
94	SuperPooch06	71
95	livingdaydreams	70
95	wezzzi	70
97	TheSecondLord	68
97	yulgur1	68
97	Spacewardharpy7	68
100	KermitTheKripple	67
101	Tommhh	66
101	Historical_Sand	66
101	KeruNatsema	66
101	Toriankel	66
101	bladeefan2009	66
106	soundad	65
106	TooManyDuck	65
106	MattieHD	65
109	St4nLe7	64
109	ThisUserIsStump	64
111	Ninzyyy	63
111	The11thDoctor	63
113	UltimuShadow	62
113	Prodiginus	62
113	CollinMH06	62
113	Inbefour	62
113	claivin	62
118	EMC_	61
118	boog4loo	61
118	ProfessorDiaper	61
121	Myrlewen	60
121	420BreadLizard	60
123	Mowelan	59
123	Rumpletaezer	59
125	Xalithia	58
126	PortlyPete69	56
127	intropass	55
127	Russiancat1	55
127	MinuteMira	55
127	sp00ky_ghost977	55
127	Kowcio_	55
132	Groyperbuscus	54
132	Bloo2406	54
134	SkateboardR6	53
134	tartanboy	53
134	Zoeyfortnite	53
137	KarlKaek	52
137	eitanzaki	52
137	Kryktal	52
137	MightyWertu	52
137	xolstoi	52
142	bigstankyy	51
142	Scathra	51
144	_Bguette_	50
144	Ze_BaronKrigler	50
146	Enigma0251	49
146	SHAOBADMAN	49
148	ImpavidArcher	48
148	Huwulling	48
148	Eraza	48
148	legal_tax_evader	48
148	ooga47	48
148	fkGrim	48
148	Lutres_Torane	48
148	Typadopoulos	48
156	SugarMyNuggets	47
156	Blazebit	47
156	MyNameIsDakar	47
156	TheRoboSock	47
160	TheFlfthHorseman	46
160	thewindmillman	46
160	Tyrannosplart	46
163	I_Am_Mushkin	45
163	_Dean_123	45
163	Kubelz	45
163	lOlmantschi	45
163	ReyTheLegend	45
163	Skippeh	45
169	Lepthymo	44
169	PigDab	44
169	CoryJJ	44
172	beeperbeeper5	43
172	Fildyr	43
172	Enderxz3	43
175	TheBiggestFeller	42
175	Batman922	42
175	ccormacs	42
175	Vizzoid	42
175	LeGold	42
175	BreadBacon	42
181	SDW_Insanity	41
181	Merv__	41
181	SlowMoNinja1994	41
181	SailiXX	41
181	FirsTimeGamingTV	41
181	Kynigito	41
181	MAns_44	41
188	Froste131	40
188	shineh10	40
188	mariominejedi	40
188	Jiminbub	40
192	PeteO1995	39
192	_Boipl_	39
192	TheSeismicDuck	39
192	masskedman	39
192	trexgb	39
197	CoffeeNoir	38
197	Reamdin	38
197	SingedBread	38
197	babyjimmyneutron	38
197	PabloGonza02	38
202	_Razaria	37
202	set67	37
202	Lord_Jord	37
202	smogfrog	37
206	Jokerman369	36
206	Kouridragon	36
206	Barlycorn	36
206	fffMike	36
210	Dipjol	35
210	MOSS000	35
210	F_Uhre	35
210	Eraxa	35
210	morningelegance	35
210	FallenCorps	35
216	Mr_Byzantine	34
216	Natty	34
216	lotarp	34
216	SDMNAEK	34
216	Quaintster	34
216	fluddd	34
216	LordSpeed37	34
223	ThiccExotic	33
223	TheThomas69	33
223	leaf26	33
223	Arceus1975	33
223	DAD_1996	33
223	censorsheep	33
223	BuildTheGondola	33
230	maxdacatv2	32
230	__TheNorseMan__	32
230	Glowhetic	32
230	M_Patata	32
230	ApophisNova	32
230	MS_Pryxx	32
230	MyNamaSheff	32
230	Goat_Man512	32
238	mcFarty	31
238	MasterNueve	31
238	Deguns123	31
241	Paintz	30
241	Lord_Zacler	30
241	bloomkieren	30
241	Quotary	30
245	Alexanderjac	29
245	ivorico	29
245	MrExplorer	29
245	NoxxxxiS	29
245	Winklepicker279	29
245	SpaggeDR	29
245	_Crimson_Legate	29
245	xzvu	29
245	Kubeusz2010	29
254	Z22n	28
254	tsohomie	28
254	bloodbiter	28
254	MinttyFressh	28
254	ZeroAbyssTTV	28
254	AJplaysMC_	28
254	DTwenty	28
254	Eczbek	28
254	_Dri_	28
263	tuckerdoodle	27
263	Sadeena	27
263	cheerytomato	27
263	Notta	27
263	Tjhodskins19	27
263	wrinkledpiglet	27
263	Austinizzle	27
263	trashmammals	27
263	CornOnTheCobalt	27
263	pixelviolin	27
263	athereall	27
274	xxPipperDipperxx	26
274	SeverianTheLame	26
274	grislgrobl	26
274	TheWildMateo	26
274	IamCL4SSY	26
279	dudcreeper	25
279	Esme_1	25
279	Cidah	25
279	Yirtle	25
279	Zaridey	25
279	Silvo614	25
279	LilLizardWizard	25
279	SaintJosie	25
279	Quincannon	25
279	Soul_Atreus	25
279	NeoJordache	25
290	BigBootyHudge	24
290	IWorkAtIkea	24
290	Shazzyling	24
290	TeenMomTom	24
290	Fuhrer_Teemo	24
290	obzii	24
296	Cowison	23
296	picardred	23
296	Foltest1	23
296	brycepants	23
296	XMiner22	23
