rank	username	minecraft:picked_up/minecraft:polished_deepslate_stairs
1	Hyp3rion_	379
2	Winklepicker279	205
3	Spacewardharpy7	111
4	Jackattack53	100
5	500am	87
6	pintsizedrogue	66
7	RoskobiOne	56
7	PlasticOtari	56
9	ImpavidArcher	54
10	Lord_Jord	45
11	Legendosh	29
12	hm947	21
12	thewindmillman	21
14	Mattesco	19
15	Myszoaz	18
15	pixelviolin	18
17	EMC_	16
17	TheSecondLord	16
19	Steelynan	10
20	Kubelz	7
21	Merv__	3
21	Enderslayerxz3	3
23	Mahoose	2
23	beeperbeeper5	2
25	titanlax	1
25	lizardfightclub	1
25	Deathkob	1
25	UCP_TheKingK	1
