rank	username	minecraft:picked_up/minecraft:gold_block
1	thewindmillman	142043
2	Hyp3rion_	16917
3	joethahobo	9153
4	Spacewardharpy7	4512
5	EcksD	2539
6	YungMaki	1909
7	beeperbeeper5	1821
8	Di_infiri	1536
9	noam464	1472
10	Frozil12	1418
11	Smoke____	1354
12	Mahoose	1288
13	Legendosh	1253
14	Snowflowe	1198
15	Nycteus_	1165
16	GlitchyPlate810	1116
17	Blaiku	956
18	gcaisawesome	913
19	MilleGrug	905
20	Kakolbus	860
21	Segotep999	848
22	Groundler	824
23	NomadicRobin_	799
24	T045RTY	784
25	oxfordschool	766
26	eitanzaki	705
27	fw3xywashere	524
28	Blu3beast	517
28	MightyWertu	517
30	_Nuf	496
31	El_Jalapeno	457
32	Historical_Sand	416
33	Racengan	409
34	kekhon	407
35	Skippeh	402
36	Fullut	399
37	gabriels543	382
38	KingMatthew506	380
39	mwrty	375
40	Inchef	372
40	SammiWolfGirl	372
42	Enderslayerxz3	361
43	EMC_	352
44	RebelAndroid	349
45	pintsizedrogue	335
46	Eraxa	326
47	TheSecondLord	315
48	claivin	311
49	Freak_Genius	310
50	PlasticOtari	301
51	WyngGoy	299
52	500am	294
53	lcvezra	267
54	Akoot_	254
55	Ezekson	243
56	RoskobiOne	238
57	fade_emerge78823	227
58	Cowison	225
58	yulgur1	225
60	Yatitay	213
60	KartivGal	213
62	lizardfightclub	211
63	CoffeeNoir	210
64	Lord_Jord	207
65	fluddd	198
66	jcool7	194
67	Shogunite	191
68	Megarboh	189
68	masskedman	189
70	Incinere	188
70	88Hazza88	188
72	ROY4LE	181
73	Steelynan	174
74	stahouo	169
75	MeetTheWollo	167
76	KG1999	164
77	Soplight	163
78	Bumpy419	162
78	Powowowow	162
80	Xclax101	161
81	LotusProject	157
81	ToastedGamingYT	157
83	Groovy_MoonBird	149
83	Marbz_	149
83	Kowcio_	149
83	PlzNoBM	149
87	12Magner05	148
87	Corbsman	148
89	EveryonesUncle	144
89	__tomato	144
91	awesomeoneme	143
91	PigDab	143
91	Miko_Fullbuster	143
94	fred870d	142
95	Jackattack53	141
95	SingedBread	141
97	Smashic	139
97	HellsSponge	139
99	Blackberry1310	137
100	AuroraValkyrie	135
101	pixelviolin	133
102	chipklip	131
103	TheShyPig	130
104	Lutres_Torane	128
104	Airem_Core	128
106	rarrq	123
106	MAns_44	123
108	RobotMinion101	121
109	RodSerlingCringe	114
110	teslawolf38	111
111	Menthas	108
111	Kyrum2169	108
113	Zaridey	100
114	NoChumpChange	99
115	Maenara	98
116	Comma__	96
116	MyNameIsDakar	96
116	jnp_gaming	96
119	lillips	94
120	ApophisNova	92
120	sp00ky_ghost977	92
120	MyNamaSheff	92
123	Xalithia	91
124	Chromary	89
125	NotMeowMix	88
126	ooga47	87
126	MakeHistory157	87
128	Deathkob	84
129	ImpavidArcher	83
130	Inbefour	82
130	Dusk_95	82
132	ExtraDumb	80
133	Kubelz	78
133	fkGrim	78
133	alderban107	78
136	wwwwinnebagoooo	75
137	MinttyFressh	74
138	FelixPSY375	73
139	_TCARREIRA_	72
140	thescout7	71
141	_Virify_	67
141	IWorkAtIkea	67
143	fanofbands101	66
143	WET_WET_WET	66
143	KnightmareD	66
146	tuckerdoodle	64
146	Prodiginus	64
146	Werbe	64
146	PortlyPete69	64
150	_Karmaa	63
150	anbbang	63
152	Iagoku	62
152	set67	62
152	Rebytre	62
155	Skylord_Luke	61
156	KingEgg1	60
157	Arceus1975	59
158	PeteO1995	58
159	Awyrlas	56
160	TheDankPlatypus	55
160	CalebDHawk	55
162	Onennon	53
162	Barlycorn	53
162	vandmanden	53
165	Merv__	51
165	diggydog67	51
167	SaucyDark	49
167	Nicserso	49
169	Gundam_Steven	48
170	r123moore	47
170	HolyVenom	47
172	CliffEmAll	46
172	Winklepicker279	46
172	Rumpletaezer	46
175	DemTechAlpha	45
176	EcksDofficial	44
177	Jovaphobic	43
177	noodlepack	43
179	ClemenPine	42
180	6king6colt6	41
180	ShedJr_	41
180	Jimi7hits	41
180	RadarHz	41
184	MSK__	40
184	DanTheBuilderino	40
184	Quotary	40
187	XboxPanda	39
187	Sheldor097	39
189	tobinwilliams	38
189	Rasmanden	38
189	fffMike	38
192	wezzzi	37
193	livingdaydreams	36
194	07shiny	35
195	PhantomsGhost_	33
196	MattieHD	32
196	egglapras	32
196	obzii	32
199	soundad	31
199	Cryptacity	31
199	xxPipperDipperxx	31
202	VentiHilton	30
202	TechnoNinja64	30
204	Da_Boss_Rani	28
205	Drlzyy	27
205	Th6masss	27
205	djancak	27
208	Alteriity	26
208	NameGenerat0r	26
208	Luigipunch989	26
211	lotarp	25
211	Kamflame10	25
213	AlphaWolfPlaysMC	24
213	501g	24
213	h2p_emrld	24
216	diamondgolem35	23
216	Mewar	23
216	WYFYoyo	23
219	kinas45y5	21
220	RefluxRatio	20
220	Soul_Atreus	20
222	_NieToksikpl_	19
222	ChampPog_	19
222	Hiryu27	19
222	Spenduh	19
226	Mr_Byzantine	18
226	YungJakobo	18
226	IronyMan69	18
229	burbankbuilder28	17
230	JingleLizi	16
230	boog4loo	16
230	Skomo	16
230	SpookyDraggin	16
230	Hisiste	16
230	voiding_	16
230	Dogcorn69420	16
237	Wooptey	15
237	Prismyst	15
237	Ssor69	15
237	eviltunix	15
237	ImDisconnected_	15
237	sufjanlover	15
237	lordpipe	15
237	MineMaster0012	15
245	surfinggiraffejp	14
245	intropass	14
245	Lord_Zacler	14
245	SkateboardR6	14
245	MovingFish7	14
245	Kubeusz2010	14
245	HesDemonPants	14
245	UrbanPlanner1978	14
253	Flores991	13
253	Dogbound	13
253	_Dean_123	13
253	UncreativeArtist	13
253	loveseeker	13
253	CarltheCuck	13
253	monky_irl	13
253	ZeroKraken	13
253	OfficerAnvil	13
262	SyK7	12
262	MixerDixer	12
262	TooManyDuck	12
262	_Razar	12
262	TheEnderman548	12
267	nataliecool	11
267	picardred	11
267	CollinMH06	11
267	Kynigito	11
267	FishyBoy3811	11
267	Nicky19	11
267	Gryglu583	11
267	CoryJJ	11
267	Kferno	11
267	FallenCorps	11
277	301851	10
277	mimbo1211	10
277	AlexxO_o	10
277	MonitorLizards	10
277	audiocracked	10
282	TheThomas69	9
282	M_Patata	9
282	MyNameIsJobo	9
282	Invisie	9
282	MasterNueve	9
282	TheDumbHuman	9
282	SvenskaHugo	9
282	tartanboy	9
290	dimondking777	8
290	q_wq	8
290	ssleepless	8
290	_Frepp_	8
290	fr0stss	8
290	bloodbiter	8
290	crying_wolf_13	8
290	KGTV	8
290	Zythose	8
290	MangoTheFish	8
290	TheTrueClipse	8
