rank	username	minecraft:picked_up/minecraft:wooden_sword
1	eli_tschki	45
1	Deathkob	45
3	teslawolf38	29
4	Eraxa	16
5	PlzNoBM	15
6	ediballbearings	13
7	Akoot_	10
8	kekhon	9
9	TheShyPig	8
10	Prodiginus	7
11	TheSecondLord	6
11	claivin	6
11	E775	6
11	Frozil12	6
15	ImpavidArcher	5
15	500am	5
15	RoyalDorrr	5
18	r123moore	4
18	msJabberwock	4
18	FishyBoy3811	4
18	NomadicRobin_	4
18	_Bguette_	4
18	_Karmaa	4
18	Freak_Genius	4
18	fluddd	4
18	how_are_you	4
18	kinas45y5	4
28	Drlzyy	3
28	Blackberry1310	3
28	Fullut	3
28	Nach0Bear	3
28	hcb238	3
28	Winklepicker279	3
28	Windo_licker	3
28	MyNameIsJobo	3
28	SuperPooch06	3
28	k1ngGilgamesh	3
28	Onennon	3
28	stahouo	3
28	_Yonk_	3
28	jcool7	3
28	oxfordschool	3
43	Lepthymo	2
43	hm947	2
43	eitanzaki	2
43	sejekasper1	2
43	dopplexd	2
43	sick_nubs	2
43	fr_ser	2
43	gabriels543	2
43	Useless_Relic	2
43	Chromary	2
43	Termi_Qc	2
43	Kouridragon	2
43	Jonte0599	2
43	sammidk	2
43	GoofyBread	2
43	Blaiku	2
43	sp00ky_ghost977	2
43	WingedTortoise	2
43	ElectricDragon81	2
43	__tomato	2
43	Soplight	2
43	PortlyPete69	2
43	Soffbord	2
43	Deliriohm	2
43	h2p_emrld	2
68	Thaumatarge	1
68	_Virify_	1
68	HazyDrummer	1
68	SyK7	1
68	PhantomsGhost_	1
68	fanofbands101	1
68	Vollkommenheit	1
68	6king6colt6	1
68	ergoalias	1
68	elementorix	1
68	BlancoFlaco	1
68	Incinere	1
68	T045RTY	1
68	joethahobo	1
68	Historical_Sand	1
68	Stright_	1
68	beeperbeeper5	1
68	FirsTimeGamingTV	1
68	Stynxy	1
68	Devintronix	1
68	firesgal3116	1
68	Nicky_H225	1
68	StanceTB	1
68	MattieHD	1
68	rpmm	1
68	Lor1113	1
68	_Bruhtastic_	1
68	set67	1
68	_Kosovo_	1
68	egglapras	1
68	IforgotCS_Source	1
68	Irko	1
68	ROY4LE	1
68	Zenlou	1
68	SLASHZEERA	1
68	xBaltaci	1
68	noam464	1
68	brrh	1
68	BlueZabu	1
68	Marahuyo00	1
68	Di_infiri	1
68	AJplaysMC_	1
68	FlashingDemon	1
68	Hyp3rion_	1
68	Parcc	1
68	XNL	1
68	N7November	1
68	Werbe	1
68	RohnJosin	1
68	Afinnity	1
68	fred870d	1
68	LittleOoccoo	1
68	epiksk8erduck	1
68	Skomo	1
68	Oragious	1
68	SweetOverlord	1
68	jewbacaman	1
68	XeroByMyth	1
68	LilLizardWizard	1
68	Rasmanden	1
68	Sky_light_KING	1
68	Austinizzle	1
68	TheTrueClipse	1
68	Dabatha	1
68	ElderRifken	1
68	yulgur1	1
68	Lord_Zacler	1
68	ese_wn_po	1
68	Jiminie	1
68	NYJ	1
68	dreamerasot	1
68	DarlaMeow	1
68	NameGenerat0r	1
68	Shogunite	1
68	CookTheChef3	1
68	AssEatrAndLicker	1
68	El_Jalapeno	1
68	RedcatVII	1
68	Racengan	1
68	Toriankel	1
68	MentheMan09	1
68	TheTommyGun63	1
68	plato2066	1
68	bloomkieren	1
68	Kyrum2169	1
68	SammiWolfGirl	1
68	_TCARREIRA_	1
68	ARCTICxLORD	1
68	Poppy235	1
68	obzii	1
68	Moetis	1
68	DennyKai	1
68	Njensen7	1
68	ssniffles	1
68	Kubeusz2010	1
68	laron58	1
68	realSkullFace	1
68	EcksD	1
68	Legendosh	1
68	EcksDofficial	1
68	Smoke____	1
