rank	username	minecraft:picked_up/minecraft:melon_slice
1	noam464	328313
2	thewindmillman	222622
3	Blaiku	128263
4	Freak_Genius	107199
5	MightyWertu	85118
6	Frozil20	84565
7	pixelviolin	80577
8	slkiey	21020
9	RadarHz	19032
10	eitanzaki	18343
11	Di_infiri	15086
12	PigDab	13578
13	Soplight	13531
14	Spacewardharpy7	12600
15	joethahobo	12396
16	CoffeeNoir	12119
17	YungMaki	10248
18	thescout7	9895
19	Inbefour	8014
20	m_be9	7306
21	Jackattack53	7297
22	The_slideV3	7095
23	Sky_light_KING	7021
24	Blackberry1310	6571
25	Comma__	6416
26	lillips	6254
27	TechnoNinja64	6218
28	SteveCraftBlocks	6184
29	diamondgolem35	5897
30	Hermanni__	5744
31	KarlKaek	5187
32	EngagedGrub41	5057
33	kekhon	4853
34	Kakolbus	4765
35	El_Jalapeno	4735
36	pintsizedrogue	4230
37	starbits140	4213
38	Negriuke	4179
39	Smoke____	3445
40	Lord_Jord	3430
41	Hyp3rion_	3300
42	q_wq	3086
43	Voxin2K	2976
44	Lez_	2736
45	ProfessorBee	2609
46	SaucyDark	2589
47	fw3xywashere	2442
48	EcksD	2255
49	lordpipe	2225
50	6king6colt6	2177
51	lizardfightclub	2086
52	HellsSponge	2043
53	SpacesickPrism	2041
54	Ssor69	2029
55	dudcreeper	1944
56	jcool7	1932
57	Lowjinx	1897
58	lcvezra	1886
59	Akoot_	1885
60	beeperbeeper5	1837
61	NotMeanttoChange	1737
62	OfficerAnvil	1569
63	Werbe	1494
64	Katsuragi0243218	1465
65	UncreativeArtist	1447
66	JayToe	1417
67	Rumpletaezer	1333
68	Killercatty78	1299
69	NameGenerat0r	1218
70	TheShyPig	1196
71	PegLegPete93	1195
72	UrbanPlanner1978	1172
73	sp00ky_ghost977	1134
74	BobDeBouwer1337	1132
75	xxPipperDipperxx	1122
76	FishisTTV	1095
77	Mahoose	1086
78	ZaneABrain	1077
79	Corbsman	1056
80	_Bguette_	1055
81	Merv__	1036
82	Incinere	1031
83	Bandito_Roamer	1022
84	seramalen	1016
85	ComplexSquirrel	1012
86	rotten_mango	986
87	Snowflowe	957
88	_stets	938
89	T045RTY	892
90	binman420	888
91	_Tilariel_	881
92	Steelynan	879
93	diggydog67	877
94	claivin	813
95	HollieDaNugget	713
96	ItsAki_	677
97	fred870d	667
98	Dedalus36	652
99	AlphaWolfPlaysMC	647
100	corvidpartyfor6	640
101	Quotary	625
102	Skippeh	620
103	nut_e	609
104	Studyhallsaver	605
105	Mr_Byzantine	596
106	CaptainDeadBread	595
107	Zetsey	591
108	MonitorLizards	571
109	Hiryu27	570
110	wiqor	566
110	chipklip	566
112	Dali1465	565
113	Sheldor097	555
114	Nekomin0	553
115	TrollerYT	545
116	GingerNeutron	538
117	Enderslayerxz3	524
118	openatheclose	521
119	Motsaro	515
120	smogfrog	513
121	Blu3beast	498
122	Warlord324	466
123	LordAurum	465
124	Xalithia	446
125	PhantomsGhost_	432
126	Jiminie	431
127	EcksDofficial	426
128	Hisiste	423
129	LeeMcGee30	419
130	Fast_Turtle	412
131	platinumzero	407
132	Ezekson	399
133	youhjjhhhjj	394
133	Eraxa	394
135	PlzNoBM	384
136	rarrq	374
137	Kamflame10	355
137	Legendosh	355
139	Tolhart	347
140	PortlyPete69	340
140	oxfordschool	340
142	elicobnoah	337
143	Omar_Alone	336
144	John6970	333
145	surfinggiraffejp	328
146	TAKrules	325
147	Barlycorn	321
148	Zoeyfortnite	320
149	Zythose	316
150	Kyrum2169	313
150	djancak	313
150	Earlesstrain4	313
153	KG1999	312
154	sammidk	308
154	Frnjokl	308
156	SammiWolfGirl	307
157	striker90333	306
158	ooga47	304
159	ImpavidArcher	302
160	ori0le	296
161	Joestra	285
162	theonlymagikarp	281
163	TheOnlyRake	277
164	FirsTimeGamingTV	276
165	NatrixxddxYT	267
166	TakeThis2UrGrave	266
166	AnnieBathory	266
168	Alteriity	262
168	Zaridey	262
170	Xclax101	261
171	Freeman666	256
171	wezzzi	256
171	__tomato	256
174	DarkFisto	246
175	I_Am_Mushkin	244
175	whoaluv	244
175	Spenduh	244
178	fffMike	242
179	Historical_Sand	239
180	carloselpapii	234
181	titanlax	233
182	Dogcorn69420	231
183	Hpdinosaur	229
184	ImagineRamen	225
185	JohnnyMines	224
185	groofles	224
187	rats_life	221
187	awesomeoneme	221
189	301851	219
190	gcaisawesome	218
191	Vorlice	214
192	natajimi	213
193	SpaceTurtleOX	212
194	videogames_	211
195	WYFYoyo	208
196	BlancoFlaco	206
196	livingdaydreams	206
198	kinas45y5	202
199	Fullut	200
200	ROY4LE	195
201	CollinMH06	193
201	WyngGoy	193
203	brofrickcheaters	192
204	Michaelelelelele	191
205	Mercadies	190
206	Begformurrcy	188
206	MustardDrinker	188
206	jnp_gaming	188
209	Valoth	187
210	andy_rex	186
211	Meatlaugh	185
212	WET_WET_WET	181
212	ElderRifken	181
214	Houstonion	180
214	Guillemet	180
216	SwiftyPlayz__	179
217	mimbo1211	177
218	alderban107	176
219	KingMatthew506	175
220	Stright_	172
221	IdeallyGrey	170
222	EveryonesUncle	168
223	ShedJr_	167
224	Bumpy419	165
225	TheSecondLord	163
226	intropass	161
227	Huwulling	157
227	DarlaMeow	157
227	CoryJJ	157
230	fluddd	155
230	Soul_Atreus	155
232	leaf26	154
232	Leyna3	154
234	Bruh77	151
235	Groovy_MoonBird	148
236	AuroraValkyrie	147
237	Arceus1975	146
237	SexcMf	146
237	Faart	146
240	Nycteus_	143
240	stahouo	143
242	MattieHD	141
243	Euclidoris	139
243	grislgrobl	139
243	thgrocks	139
246	mwrty	138
246	AlexStrange	138
246	KeruNatsema	138
249	FelixPSY375	137
250	numbra	135
251	FGamerJ	132
252	Zipdrip	129
252	Drewen24	129
254	_Virify_	128
254	lia1337owo	128
254	Taddaiv	128
254	IronyMan69	128
