rank	username	minecraft:picked_up/minecraft:mangrove_stairs
1	Huwulling	150
2	Enderxz3	102
3	Mr_Byzantine	80
4	AdmiralSmoke	61
5	k_ce	53
5	Steelynan	53
7	oscminus	39
8	Jimb0nat0r	37
9	hanaryheatwave	25
9	bearlystraight	25
11	Werbe	24
12	pintsizedrogue	20
13	Lez_	16
14	luseis	12
15	ECstardust	11
16	CalebDHawk	9
17	Merv__	8
17	beeperbeeper5	8
17	Jackattack53	8
17	SvenskaHugo	8
21	Mahoose	7
21	12Magner05	7
23	Sleepy_Time_	6
24	PazinGaming	5
24	Touched_Bread	5
24	Soplight	5
27	Kowcio_	3
28	jessewegottacook	2
28	Mattesco	2
28	CarryLine	2
28	pixelviolin	2
28	00000000-0000-0000-0009-01fc3bb26159	2
33	_Huge_Male_	1
33	Jonafrog99	1
33	Nicserso	1
33	Legendosh	1
