rank	username	minecraft:picked_up/minecraft:azure_bluet
284	NinjaKnifeKill	8
284	oreee	8
284	elmer1234	8
284	rarrq	8
284	PlasmaElk	8
284	__Fanda__	8
284	kars0n	8
284	TahkoLive	8
284	Lord_Zacler	8
284	Shogunite	8
284	07shiny	8
284	xorompole	8
284	Ezekson	8
284	EcksD	8
