rank	username	minecraft:picked_up/minecraft:polished_tuff_slab
1	net_flex	3
2	Mr_Byzantine	2
2	Buuck_	2
4	CLG_Kata	1
4	Secret_Canary	1
4	thewindmillman	1
4	oscminus	1
4	Spaghettatron	1
