rank	username	minecraft:picked_up/minecraft:heavy_core
1	Mr_Byzantine	2
1	CLG_Kata	2
1	oscminus	2
1	TheKingK_	2
5	k_ce	1
5	MyMawgDonaldsGon	1
5	net_flex	1
5	beeperbeeper5	1
5	Secret_Canary	1
5	thewindmillman	1
