rank	username	minecraft:picked_up/minecraft:lilac
1	thewindmillman	85302
2	noam464	15097
3	hanaryheatwave	10837
4	Mahoose	5681
5	xolstoi	5571
6	lordpipe	5075
7	luseis	4836
8	beeperbeeper5	3755
9	Huwulling	3644
10	Alteriity	3480
11	AdmiralSmoke	2383
12	joethahobo	1968
13	ConnorDanky_	1749
14	Fuad_R	1667
15	Lez_	1653
16	Marbz_	1549
17	Blackberry1310	1364
18	Hyp3rion_	1318
19	SpacesickPrism	1230
20	_Dean_123	1124
21	eitanzaki	968
22	sp00ky_ghost977	910
23	YungMaki	817
24	TheShyPig	698
25	EMC_	657
26	kekhon	532
27	Frozil20	486
28	EveryonesUncle	450
29	xxPipperDipperxx	437
30	TheSecondLord	430
31	PlasticOtari	428
32	Kowcio_	423
33	DarlaMeow	383
34	Werbe	371
35	wwwwinnebagoooo	325
36	pintsizedrogue	317
36	El_Jalapeno	317
38	Nicserso	249
39	Legendosh	235
40	HellsSponge	230
41	CoffeeNoir	228
41	Manaateee	228
43	chipklip	220
44	Merv__	190
45	500am	184
46	Lutres_	183
46	CattSoup	183
48	FreakGenius	171
49	j5ylim	164
50	ROY4LE	163
51	Inbefour	149
52	00000000-0000-0000-0009-01ff0c3e5e4f	145
53	Jimb0nat0r	142
54	Jackattack53	134
55	TechnoNinja64	118
56	oscminus	109
57	Spacewardharpy7	105
58	Steelynan	103
59	Soplight	101
60	NotMeanttoChange	98
61	Di_infiri	96
62	Arceus1975	93
62	wezzzi	93
64	kyouma777	87
65	SteveCraftBlocks	86
66	BlancoFlaco	85
67	jnp_gaming	83
68	yheece	79
68	AnnieBathory	79
68	Maenara	79
68	RedcatVII	79
72	burbankbuilder28	78
73	TheEnderMan548	73
74	KeruNatsema	71
75	Akoot_	69
76	lcvezra	68
77	Hpdinosaur	66
78	Eraxa	62
79	Crowman1	61
80	SaucyDark	60
80	FishyBoy3811	60
82	HAIRYCLOUD626	58
83	Hermanni__	57
84	Mr_Byzantine	55
84	cheerytomato	55
84	SuperPooch06	55
87	Rasmanden	54
88	Bumpy419	51
89	PeteO1995	49
90	SammiWolfGirl	47
91	intropass	46
92	sufjanlover	45
93	Pofen	44
93	corvidpartyfor6	44
93	AJplaysMC_	44
93	Spenduh	44
97	Karetoko	42
98	epiksk8erduck	41
