rank	username	minecraft:picked_up/minecraft:mojang_banner_pattern
1	Kakolbus	2
1	TheShyPig	2
1	Steelynan	2
4	ECstardust	1
4	Incinere	1
4	rarrq	1
4	lorpus	1
4	Tyrannosplart	1
4	Blu3beast	1
4	ConnorDanky_	1
4	skrongus	1
